subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,opt_1,opt_2,opt_3,opt_4,VF_pos,VF_neg
90,3,7,ec,4,negative,F   L   O   R,maske_1.bmp,maske_2.bmp,9920.bmp,0.061,S   N   A   D,F   L   O   R,B   O   R   L,D   A   N   S,no,yes,no,no,no,yes
90,3,8,ec,2,positive,W   A   P   S,maske_2.bmp,maske_1.bmp,7350.bmp,0.061,W   A   P   S,B   L   O   F,F   L   O   R,D   A   N   S,yes,no,no,no,yes,no
90,3,9,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,6020.bmp,0.5,H   Y   V   Z,K   I   G   M,G   M   U   X,T   E   H   V,no,no,no,yes,no,yes
90,3,10,ec,8,positive,D   A   N   S,maske_2.bmp,maske_1.bmp,2071.bmp,0.061,D   A   N   S,B   L   O   R,D   W   A   P,F   R   O   B,yes,no,no,no,yes,no
90,3,11,ec,6,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,2160.bmp,0.061,S   N   A   D,S   W   A   D,B   L   O   R,J   O   R   F,yes,no,no,no,yes,no
90,3,12,ec,5,positive,S   P   A   W,maske_1.bmp,maske_2.bmp,5831.bmp,0.061,B   O   R   L,B   R   O   L,S   P   A   W,P   A   W   S,no,no,yes,no,yes,no
90,3,13,ec,1,negative,J   O   R   F,maske_2.bmp,maske_1.bmp,3550.bmp,0.061,W   A   P   S,J   O   R   F,S   P   A   W,B   L   O   R,no,no,no,yes,no,yes
90,3,14,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,6570.1.bmp,0.5,K   I   G   M,G   M   U   X,T   E   H   V,H   Y   V   Z,no,no,no,yes,no,yes
90,3,15,ec,3,negative,B   O   R   L,maske_1.bmp,maske_2.bmp,2375.1.bmp,0.061,D   A   N   S,J   O   R   B,B   O   R   L,W   A   P   S,no,no,yes,no,no,yes
90,3,16,ec,1,positive,S   W   A   P,maske_1.bmp,maske_2.bmp,5460.bmp,0.061,W   A   P   S,J   O   R   B,S   W   A   P,B   L   O   F,no,no,no,yes,yes,no
90,3,17,ec,8,negative,B   L   O   F,maske_1.bmp,maske_2.bmp,2750.bmp,0.061,B   L   O   F,D   W   A   P,J   O   R   F,P   A   W   S,yes,no,no,no,no,yes
90,3,18,ec,5,negative,F   R   O   B,maske_1.bmp,maske_2.bmp,9561.bmp,0.061,F   L   O   R,S   N   A   D,F   R   O   B,S   P   A   W,no,no,yes,no,no,yes
90,3,19,ec,7,negative,B   R   O   L,maske_2.bmp,maske_1.bmp,9182.bmp,0.061,B   R   O   L,S   W   A   D,F   R   O   B,S   W   A   P,no,no,yes,no,no,yes
90,3,20,ec,3,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,5594.bmp,0.061,D   W   A   P,J   O   R   B,J   O   R   F,S   W   A   P,no,no,no,yes,yes,no
90,4,1,ec,5,positive,S   P   A   W,maske_1.bmp,maske_2.bmp,2550.bmp,0.061,S   N   A   D,J   O   R   B,S   P   A   W,B   O   R   L,no,no,yes,no,yes,no
90,4,2,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,9265.bmp,0.5,T   E   H   V,K   I   G   M,H   Y   V   Z,G   M   U   X,yes,no,no,no,no,yes
90,4,3,ec,1,negative,J   O   R   F,maske_1.bmp,maske_2.bmp,9520.bmp,0.061,J   O   R   F,B   R   O   L,P   A   W   S,W   A   P   S,yes,no,no,no,no,yes
90,4,4,ec,4,positive,P   A   W   S,maske_2.bmp,maske_1.bmp,2080.bmp,0.061,F   L   O   R,S   P   A   W,P   A   W   S,J   O   R   F,no,no,yes,no,yes,no
90,4,5,ec,7,positive,S   N   A   D,maske_1.bmp,maske_2.bmp,2050.bmp,0.061,P   A   W   S,S   N   A   D,B   R   O   L,J   O   R   F,yes,no,no,no,yes,no
90,4,6,ec,3,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,7350.bmp,0.061,D   A   N   S,D   W   A   P,B   O   R   L,B   L   O   R,yes,no,no,no,yes,no
90,4,7,ec,7,negative,B   R   O   L,maske_1.bmp,maske_2.bmp,3300.bmp,0.061,J   O   R   B,D   A   N   S,D   W   A   P,B   R   O   L,no,no,no,yes,no,yes
90,4,8,ec,8,positive,D   A   N   S,maske_1.bmp,maske_2.bmp,1440.bmp,0.061,J   O   R   B,D   A   N   S,D   W   A   P,B   R   O   L,no,no,yes,no,yes,no
90,4,9,ec,8,negative,B   L   O   F,maske_2.bmp,maske_1.bmp,6530.bmp,0.061,B   L   O   F,S   N   A   D,B   L   O   R,W   A   P   S,yes,no,no,no,no,yes
90,4,10,ec,2,positive,W   A   P   S,maske_1.bmp,maske_2.bmp,2340.bmp,0.061,F   R   O   B,B   L   O   F,S   W   A   D,W   A   P   S,no,no,no,yes,yes,no
90,4,11,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,9280.bmp,0.5,G   M   U   X,K   I   G   M,H   Y   V   Z,T   E   H   V,no,no,yes,no,no,yes
90,4,12,ec,4,negative,F   L   O   R,maske_2.bmp,maske_1.bmp,9404.bmp,0.061,J   O   R   F,D   A   N   S,D   W   A   P,F   L   O   R,no,no,no,yes,no,yes
