subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,opt_1,opt_2,opt_3,opt_4,VF_pos,VF_neg
48,1,1,ec_control,2,negative,F   R   I   B,maske_2.bmp,maske_1.bmp,9041.bmp,0.5,P   Y   W   S,F   R   I   B,J   O   R   F,V   A   S   P,no,yes,no,no,no,yes
48,1,2,ec,4,positive,C   L   E   K,maske_2.bmp,maske_1.bmp,2791.bmp,0.091,N   U   G   Z,D   U   G   T,H   E   L   K,C   L   E   K,no,no,no,yes,yes,no
48,1,3,ec,2,positive,H   E   L   K,maske_2.bmp,maske_1.bmp,8420.bmp,0.091,H   E   M   K,H   E   L   K,N   U   G   Z,T   N   U   D,no,no,no,yes,yes,no
48,1,4,ec_control,1,positive,V   A   S   P,maske_1.bmp,maske_2.bmp,1463.bmp,0.5,P   Y   W   S,F   R   I   B,J   O   R   F,V   A   S   P,no,no,no,yes,yes,no
48,1,5,ec,8,positive,K   E   H   M,maske_2.bmp,maske_1.bmp,8496.bmp,0.091,M   E   C   H,K   E   H   M,D   U   T   Z,G   U   T   Z,no,yes,no,no,yes,no
48,1,6,ec,1,positive,M   E   C   H,maske_1.bmp,maske_2.bmp,2209.bmp,0.091,L   E   M   K,D   U   T   Z,T   U   G   Z,M   E   C   H,no,no,no,yes,yes,no
48,1,7,ec,5,positive,H   E   M   K,maske_2.bmp,maske_1.bmp,7330.bmp,0.091,C   E   L   M,H   E   M   K,T   U   G   Z,Z   U   N   G,no,yes,no,no,yes,no
48,1,8,ec,2,negative,G   U   T   Z,maske_1.bmp,maske_2.bmp,9830.bmp,0.091,M   E   C   H,H   E   L   K,G   U   T   Z,T   U   G   Z,no,no,yes,no,no,yes
48,1,9,ec,7,positive,C   E   L   M,maske_2.bmp,maske_1.bmp,2058.bmp,0.091,D   U   G   T,C   E   L   K,C   E   L   M,T   N   U   D,no,no,yes,no,yes,no
48,1,10,ec,4,negative,N   U   G   Z,maske_2.bmp,maske_1.bmp,9220.bmp,0.091,N   U   G   Z,G   U   T   Z,H   E   M   K,L   E   M   K,no,no,no,yes,no,yes
48,1,11,ec_control,1,negative,J   O   R   F,maske_2.bmp,maske_1.bmp,9432.bmp,0.5,V   A   S   P,P   Y   W   S,J   O   R   F,F   R   I   B,no,no,yes,no,yes,no
48,1,12,ec,3,positive,C   E   L   K,maske_1.bmp,maske_2.bmp,2050.bmp,0.091,G   U   T   Z,C   L   E   K,Z   U   D   T,C   E   L   K,no,no,yes,no,yes,no
48,1,13,ec,6,negative,D   U   T   Z,maske_1.bmp,maske_2.bmp,3160.bmp,0.091,N   U   G   Z,D   U   T   Z,C   E   L   M,K   E   H   M,no,yes,no,no,no,yes
48,1,14,ec,5,negative,D   U   G   T,maske_1.bmp,maske_2.bmp,2375.1.bmp,0.091,D   U   G   T,T   N   U   D,C   E   L   K,H   E   M   K,yes,no,no,no,no,yes
48,1,15,ec,3,negative,T   U   G   Z,maske_1.bmp,maske_2.bmp,9331.bmp,0.091,C   E   L   K,Z   U   N   G,T   U   G   Z,C   L   E   K,no,no,yes,no,no,yes
48,1,16,ec,1,negative,Z   U   D   T,maske_2.bmp,maske_1.bmp,9435.bmp,0.091,C   E   L   M,Z   U   D   T,D   U   G   T,K   E   H   M,no,yes,no,no,no,yes
48,1,17,ec,6,positive,L   E   M   K,maske_1.bmp,maske_2.bmp,5629.bmp,0.091,Z   U   D   T,Z   U   N   G,L   E   M   K,K   E   H   M,no,no,no,yes,yes,no
48,1,18,ec_control,2,positive,P   Y   W   S,maske_1.bmp,maske_2.bmp,8330.bmp,0.5,F   R   I   B,J   O   R   F,P   Y   W   S,V   A   S   P,no,no,yes,no,yes,no
48,1,19,ec,7,negative,T   N   U   D,maske_1.bmp,maske_2.bmp,9000.bmp,0.091,M   E   C   H,T   N   U   D,D   U   T   Z,H   E   L   K,no,yes,no,no,yes,no
48,1,20,ec,8,negative,Z   U   N   G,maske_2.bmp,maske_1.bmp,6311.bmp,0.091,Z   U   N   G,Z   U   D   T,C   L   E   K,L   E   M   K,no,yes,no,no,no,yes
48,2,1,ec,3,negative,T   U   G   Z,maske_1.bmp,maske_2.bmp,6530.bmp,0.091,N   U   G   Z,C   L   E   K,L   E   M   K,T   U   G   Z,yes,no,no,no,yes,no
48,2,2,ec,2,negative,G   U   T   Z,maske_2.bmp,maske_1.bmp,9400.bmp,0.091,K   E   H   M,G   U   T   Z,D   U   T   Z,H   E   M   K,yes,no,no,no,no,yes
48,2,3,ec_control,1,negative,J   O   R   F,maske_1.bmp,maske_2.bmp,9041.bmp,0.5,F   R   I   B,J   O   R   F,V   A   S   P,P   Y   W   S,no,yes,no,no,no,yes
48,2,4,ec_control,1,positive,V   A   S   P,maske_1.bmp,maske_2.bmp,2311.bmp,0.5,P   Y   W   S,J   O   R   F,F   R   I   B,V   A   S   P,no,no,no,yes,yes,no
48,2,5,ec_control,2,negative,F   R   I   B,maske_2.bmp,maske_1.bmp,3550.bmp,0.5,F   R   I   B,V   A   S   P,J   O   R   F,P   Y   W   S,yes,no,no,no,no,yes
48,2,6,ec,7,negative,T   N   U   D,maske_2.bmp,maske_1.bmp,9330.bmp,0.091,H   E   L   K,C   E   L   K,T   N   U   D,Z   U   N   G,no,no,yes,no,no,yes
48,2,7,ec,8,negative,Z   U   N   G,maske_2.bmp,maske_1.bmp,9050.bmp,0.091,C   L   E   K,T   U   G   Z,M   E   C   H,Z   U   N   G,no,no,no,yes,no,yes
48,2,8,ec,4,positive,C   L   E   K,maske_1.bmp,maske_2.bmp,2660.bmp,0.091,H   E   L   K,C   L   E   K,D   U   G   T,Z   U   D   T,no,yes,no,no,yes,no
48,2,9,ec,6,negative,D   U   T   Z,maske_1.bmp,maske_2.bmp,6311.bmp,0.091,C   E   L   K,Z   U   D   T,D   U   T   Z,H   E   L   K,no,no,yes,no,no,yes
48,2,10,ec,1,negative,Z   U   D   T,maske_1.bmp,maske_2.bmp,6838.bmp,0.091,D   U   G   T,K   E   H   M,Z   U   D   T,C   E   L   M,no,no,yes,no,no,yes
48,2,11,ec,6,positive,L   E   M   K,maske_1.bmp,maske_2.bmp,8200.bmp,0.091,D   U   T   Z,L   E   M   K,N   U   G   Z,C   E   L   M,no,yes,no,no,yes,no
48,2,12,ec,1,positive,M   E   C   H,maske_2.bmp,maske_1.bmp,5910.bmp,0.091,M   E   C   H,D   U   G   T,H   E   M   K,N   U   G   Z,no,yes,no,no,yes,no
48,2,13,ec,8,positive,K   E   H   M,maske_2.bmp,maske_1.bmp,5830.bmp,0.091,K   E   H   M,T   N   U   D,M   E   C   H,Z   U   D   T,yes,no,no,no,yes,no
48,2,14,ec,5,negative,D   U   G   T,maske_2.bmp,maske_1.bmp,9342.bmp,0.091,L   E   M   K,D   U   G   T,G   U   T   Z,H   E   M   K,no,no,no,yes,no,yes
48,2,15,ec,7,positive,C   E   L   M,maske_2.bmp,maske_1.bmp,1463.bmp,0.091,C   L   E   K,T   U   G   Z,C   E   L   M,T   N   U   D,yes,no,no,no,yes,no
48,2,16,ec_control,2,positive,P   Y   W   S,maske_1.bmp,maske_2.bmp,2050.bmp,0.5,J   O   R   F,P   Y   W   S,F   R   I   B,V   A   S   P,no,yes,no,no,yes,no
48,2,17,ec,4,negative,N   U   G   Z,maske_1.bmp,maske_2.bmp,9421.bmp,0.091,N   U   G   Z,C   E   L   M,M   E   C   H,T   N   U   D,yes,no,no,no,no,yes
48,2,18,ec,3,positive,C   E   L   K,maske_2.bmp,maske_1.bmp,8190.bmp,0.091,D   U   T   Z,C   E   L   K,G   U   T   Z,K   E   H   M,no,no,yes,no,yes,no
48,2,19,ec,2,positive,H   E   L   K,maske_2.bmp,maske_1.bmp,2160.bmp,0.091,H   E   L   K,G   U   T   Z,L   E   M   K,Z   U   N   G,no,yes,no,no,yes,no
48,2,20,ec,5,positive,H   E   M   K,maske_1.bmp,maske_2.bmp,7502.bmp,0.091,T   U   G   Z,C   E   L   K,H   E   M   K,Z   U   N   G,no,no,no,yes,yes,no
48,3,1,ec,4,negative,N   U   G   Z,maske_2.bmp,maske_1.bmp,2276.bmp,0.091,C   E   L   M,M   E   C   H,D   U   G   T,N   U   G   Z,no,no,no,yes,no,yes
48,3,2,ec,8,negative,Z   U   N   G,maske_2.bmp,maske_1.bmp,9500.bmp,0.091,C   E   L   M,M   E   C   H,Z   U   N   G,T   U   G   Z,no,no,yes,no,no,yes
48,3,3,ec,6,negative,D   U   T   Z,maske_2.bmp,maske_1.bmp,1525.bmp,0.091,D   U   T   Z,Z   U   D   T,H   E   L   K,H   E   M   K,no,no,yes,no,no,yes
48,3,4,ec,5,positive,H   E   M   K,maske_1.bmp,maske_2.bmp,5594.bmp,0.091,H   E   M   K,G   U   T   Z,C   E   L   M,D   U   T   Z,yes,no,no,no,yes,no
48,3,5,ec,7,negative,T   N   U   D,maske_2.bmp,maske_1.bmp,2053.bmp,0.091,H   E   L   K,H   E   M   K,G   U   T   Z,T   N   U   D,no,no,yes,no,no,yes
48,3,6,ec,1,positive,M   E   C   H,maske_2.bmp,maske_1.bmp,4220.bmp,0.091,N   U   G   Z,G   U   T   Z,H   E   L   K,M   E   C   H,yes,no,no,no,yes,no
48,3,7,ec,8,positive,K   E   H   M,maske_2.bmp,maske_1.bmp,7470.bmp,0.091,Z   U   N   G,T   N   U   D,C   E   L   K,K   E   H   M,no,no,no,yes,yes,no
48,3,8,ec,1,negative,Z   U   D   T,maske_2.bmp,maske_1.bmp,2750.bmp,0.091,Z   U   D   T,L   E   M   K,C   E   L   K,T   N   U   D,no,yes,no,no,no,yes
48,3,9,ec,2,negative,G   U   T   Z,maske_2.bmp,maske_1.bmp,6020.bmp,0.091,C   E   L   K,D   U   T   Z,K   E   H   M,G   U   T   Z,no,yes,no,no,no,yes
48,3,10,ec_control,2,negative,F   R   I   B,maske_1.bmp,maske_2.bmp,9220.bmp,0.5,F   R   I   B,P   Y   W   S,J   O   R   F,V   A   S   P,yes,no,no,no,no,yes
48,3,11,ec,3,negative,T   U   G   Z,maske_2.bmp,maske_1.bmp,9331.bmp,0.091,K   E   H   M,T   U   G   Z,Z   U   N   G,C   L   E   K,no,yes,no,no,no,yes
48,3,12,ec,7,positive,C   E   L   M,maske_2.bmp,maske_1.bmp,2311.bmp,0.091,K   E   H   M,Z   U   D   T,D   U   T   Z,C   E   L   M,no,no,yes,no,yes,no
48,3,13,ec_control,1,positive,V   A   S   P,maske_1.bmp,maske_2.bmp,2340.bmp,0.5,V   A   S   P,P   Y   W   S,F   R   I   B,J   O   R   F,yes,no,no,no,yes,no
48,3,14,ec,4,positive,C   L   E   K,maske_1.bmp,maske_2.bmp,2209.bmp,0.091,C   L   E   K,N   U   G   Z,D   U   G   T,H   E   M   K,no,yes,no,no,yes,no
48,3,15,ec,5,negative,D   U   G   T,maske_1.bmp,maske_2.bmp,6242.bmp,0.091,L   E   M   K,D   U   G   T,N   U   G   Z,C   L   E   K,no,no,yes,no,no,yes
48,3,16,ec,2,positive,H   E   L   K,maske_1.bmp,maske_2.bmp,8370.bmp,0.091,Z   U   N   G,C   L   E   K,T   U   G   Z,H   E   L   K,no,no,yes,no,yes,no
48,3,17,ec,6,positive,L   E   M   K,maske_1.bmp,maske_2.bmp,7330.bmp,0.091,L   E   M   K,M   E   C   H,T   N   U   D,T   U   G   Z,no,no,no,yes,yes,no
48,3,18,ec_control,2,positive,P   Y   W   S,maske_1.bmp,maske_2.bmp,1650.bmp,0.5,F   R   I   B,J   O   R   F,V   A   S   P,P   Y   W   S,no,no,no,yes,yes,no
48,3,19,ec_control,1,negative,J   O   R   F,maske_1.bmp,maske_2.bmp,9404.bmp,0.5,F   R   I   B,P   Y   W   S,V   A   S   P,J   O   R   F,no,no,no,yes,no,yes
48,3,20,ec,3,positive,C   E   L   K,maske_1.bmp,maske_2.bmp,8496.bmp,0.091,L   E   M   K,D   U   G   T,C   E   L   K,Z   U   D   T,no,no,yes,no,yes,no
48,4,1,ec,7,negative,T   N   U   D,maske_2.bmp,maske_1.bmp,1525.bmp,0.091,K   E   H   M,N   U   G   Z,L   E   M   K,T   N   U   D,yes,no,no,no,no,yes
48,4,2,ec,4,negative,N   U   G   Z,maske_2.bmp,maske_1.bmp,3160.bmp,0.091,C   L   E   K,C   E   L   M,Z   U   D   T,N   U   G   Z,no,no,yes,no,no,yes
48,4,3,ec_control,2,negative,F   R   I   B,maske_1.bmp,maske_2.bmp,9007.bmp,0.5,P   Y   W   S,V   A   S   P,J   O   R   F,F   R   I   B,no,no,no,yes,no,yes
48,4,4,ec,8,negative,Z   U   N   G,maske_2.bmp,maske_1.bmp,3220.bmp,0.091,K   E   H   M,T   U   G   Z,Z   U   N   G,C   E   L   K,no,no,yes,no,no,yes
48,4,5,ec_control,1,positive,V   A   S   P,maske_2.bmp,maske_1.bmp,8496.bmp,0.5,F   R   I   B,J   O   R   F,V   A   S   P,P   Y   W   S,no,no,yes,no,yes,no
48,4,6,ec,1,negative,Z   U   D   T,maske_1.bmp,maske_2.bmp,9630.bmp,0.091,H   E   L   K,M   E   C   H,G   U   T   Z,Z   U   D   T,no,no,no,yes,yes,no
48,4,7,ec,1,positive,M   E   C   H,maske_2.bmp,maske_1.bmp,7502.bmp,0.091,M   E   C   H,N   U   G   Z,H   E   L   K,D   U   T   Z,yes,no,no,no,yes,no
48,4,8,ec,3,positive,C   E   L   K,maske_1.bmp,maske_2.bmp,7330.bmp,0.091,N   U   G   Z,C   E   L   K,G   U   T   Z,H   E   M   K,no,yes,no,no,yes,no
48,4,9,ec,6,negative,D   U   T   Z,maske_1.bmp,maske_2.bmp,9000.bmp,0.091,D   U   T   Z,D   U   G   T,H   E   M   K,M   E   C   H,yes,no,no,no,yes,no
48,4,10,ec,3,negative,T   U   G   Z,maske_1.bmp,maske_2.bmp,2900.bmp,0.091,H   E   M   K,H   E   L   K,T   U   G   Z,T   N   U   D,no,no,yes,no,yes,no
48,4,11,ec,2,negative,G   U   T   Z,maske_2.bmp,maske_1.bmp,6020.bmp,0.091,D   U   T   Z,G   U   T   Z,C   E   L   M,C   E   L   K,no,no,yes,no,no,yes
48,4,12,ec,8,positive,K   E   H   M,maske_2.bmp,maske_1.bmp,1440.bmp,0.091,K   E   H   M,Z   U   N   G,C   L   E   K,T   N   U   D,no,no,yes,no,yes,no
48,4,13,ec_control,2,positive,P   Y   W   S,maske_2.bmp,maske_1.bmp,5831.bmp,0.5,J   O   R   F,F   R   I   B,V   A   S   P,P   Y   W   S,no,no,no,yes,yes,no
48,4,14,ec,6,positive,L   E   M   K,maske_1.bmp,maske_2.bmp,8370.bmp,0.091,G   U   T   Z,K   E   H   M,T   U   G   Z,L   E   M   K,no,no,no,yes,yes,no
48,4,15,ec,5,negative,D   U   G   T,maske_1.bmp,maske_2.bmp,9050.bmp,0.091,Z   U   N   G,D   U   G   T,L   E   M   K,C   L   E   K,no,yes,no,no,no,yes
48,4,16,ec_control,1,negative,J   O   R   F,maske_2.bmp,maske_1.bmp,9265.bmp,0.5,V   A   S   P,F   R   I   B,J   O   R   F,P   Y   W   S,no,no,yes,no,no,yes
48,4,17,ec,7,positive,C   E   L   M,maske_1.bmp,maske_2.bmp,2340.bmp,0.091,T   U   G   Z,Z   U   D   T,M   E   C   H,C   E   L   M,no,yes,no,no,yes,no
48,4,18,ec,4,positive,C   L   E   K,maske_1.bmp,maske_2.bmp,5910.bmp,0.091,C   L   E   K,L   E   M   K,T   N   U   D,D   U   G   T,yes,no,no,no,yes,no
48,4,19,ec,5,positive,H   E   M   K,maske_1.bmp,maske_2.bmp,2550.bmp,0.091,C   E   L   K,H   E   M   K,Z   U   N   G,Z   U   D   T,yes,no,no,no,yes,no
48,4,20,ec,2,positive,H   E   L   K,maske_2.bmp,maske_1.bmp,2070.bmp,0.091,H   E   L   K,D   U   T   Z,C   E   L   M,D   U   G   T,yes,no,no,no,yes,no
48,5,1,ec,8,negative,Z   U   N   G,maske_1.bmp,maske_2.bmp,7380.bmp,0.091,D   U   G   T,K   E   H   M,Z   U   N   G,C   E   L   M,yes,no,no,no,no,yes
48,5,2,ec,2,negative,G   U   T   Z,maske_2.bmp,maske_1.bmp,2276.bmp,0.091,G   U   T   Z,D   U   T   Z,C   L   E   K,C   E   L   M,yes,no,no,no,no,yes
48,5,3,ec,5,negative,D   U   G   T,maske_1.bmp,maske_2.bmp,9430.bmp,0.091,D   U   G   T,M   E   C   H,L   E   M   K,Z   U   N   G,yes,no,no,no,no,yes
48,5,4,ec,4,negative,N   U   G   Z,maske_1.bmp,maske_2.bmp,9404.bmp,0.091,H   E   M   K,Z   U   D   T,N   U   G   Z,C   E   L   K,yes,no,no,no,no,yes
48,5,5,ec,5,positive,H   E   M   K,maske_1.bmp,maske_2.bmp,7230.bmp,0.091,H   E   M   K,C   E   L   M,Z   U   D   T,D   U   G   T,no,yes,no,no,yes,no
48,5,6,ec,3,positive,C   E   L   K,maske_1.bmp,maske_2.bmp,1999.bmp,0.091,L   E   M   K,N   U   G   Z,G   U   T   Z,C   E   L   K,no,yes,no,no,yes,no
48,5,7,ec,8,positive,K   E   H   M,maske_2.bmp,maske_1.bmp,5629.bmp,0.091,Z   U   N   G,D   U   T   Z,K   E   H   M,C   L   E   K,no,no,yes,no,yes,no
48,5,8,ec_control,1,positive,V   A   S   P,maske_2.bmp,maske_1.bmp,7350.bmp,0.5,P   Y   W   S,J   O   R   F,V   A   S   P,F   R   I   B,no,no,yes,no,yes,no
48,5,9,ec,3,negative,T   U   G   Z,maske_1.bmp,maske_2.bmp,6838.bmp,0.091,C   E   L   K,T   U   G   Z,H   E   M   K,G   U   T   Z,yes,no,no,no,no,yes
