subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,crit1,crit2,crit3,VF_pos,VF_neg
106,1,1,ec,5,positive,P   A   W   S,maske_1.bmp,maske_2.bmp,7470.bmp,0.092,yes,no,no,no,no,no,no,no,yes,yes,no
106,1,2,ec,2,positive,S   P   A   W,maske_2.bmp,maske_1.bmp,1650.bmp,0.092,yes,no,no,no,no,no,no,no,yes,yes,no
106,1,3,ec,1,negative,J   O   R   F,maske_1.bmp,maske_2.bmp,6555.bmp,0.092,yes,no,no,no,no,no,no,no,yes,no,yes
106,1,4,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,1525.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
106,1,5,ec,6,negative,L   O   R   B,maske_1.bmp,maske_2.bmp,9520.bmp,0.092,yes,no,no,no,no,no,no,no,yes,no,yes
106,1,6,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,4220.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
106,1,7,ec,3,negative,J   O   R   B,maske_2.bmp,maske_1.bmp,9182.bmp,0.092,yes,no,no,no,no,no,no,no,yes,no,yes
106,1,8,ec,7,negative,B   O   R   L,maske_2.bmp,maske_1.bmp,9404.bmp,0.092,yes,no,no,no,no,no,no,no,yes,no,yes
106,1,9,ec,8,positive,W   A   P   S,maske_1.bmp,maske_2.bmp,4606.bmp,0.092,yes,no,no,no,no,no,no,no,yes,yes,no
106,1,10,ec,1,positive,S   N   A   W,maske_2.bmp,maske_1.bmp,1463.bmp,0.092,yes,no,no,no,no,no,no,no,yes,yes,no
106,1,11,ec,2,negative,F   O   R   B,maske_2.bmp,maske_1.bmp,6020.bmp,0.092,yes,no,no,no,no,no,no,no,yes,no,yes
106,1,12,ec,6,positive,W   A   N   S,maske_1.bmp,maske_2.bmp,8470.bmp,0.092,yes,no,no,no,no,no,no,no,yes,yes,no
106,1,13,ec,8,negative,B   R   O   L,maske_2.bmp,maske_1.bmp,6530.bmp,0.092,no,yes,no,no,no,no,no,no,yes,no,yes
106,1,14,ec,4,positive,S   P   A   D,maske_1.bmp,maske_2.bmp,8496.bmp,0.092,yes,no,no,no,no,no,no,no,yes,yes,no
106,1,15,ec,7,positive,W   A   D   S,maske_1.bmp,maske_2.bmp,2150.bmp,0.092,no,yes,no,no,no,no,no,no,yes,yes,no
106,1,16,ec,5,negative,L   O   B   F,maske_1.bmp,maske_2.bmp,9280.bmp,0.092,no,yes,no,no,no,no,no,no,yes,yes,no
106,1,17,ec,3,positive,S   N   A   D,maske_2.bmp,maske_1.bmp,2080.bmp,0.092,no,yes,no,no,no,no,no,no,yes,yes,no
