subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,crit1,crit2,crit3,VF_pos,VF_neg
42,1,1,ec,4,negative,F   R   O   B,maske_1.bmp,maske_2.bmp,9560.bmp,0.11,yes,no,no,no,no,no,no,no,yes,no,yes
42,1,2,ec,3,negative,B   R   O   L,maske_1.bmp,maske_2.bmp,9630.bmp,0.11,yes,no,no,no,no,no,no,no,yes,no,yes
42,1,3,ec,4,positive,P   A   N   S,maske_1.bmp,maske_2.bmp,2091.bmp,0.11,no,yes,no,no,no,no,no,no,yes,yes,no
42,1,4,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,9102.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
42,1,5,ec,6,negative,B   L   O   F,maske_2.bmp,maske_1.bmp,9182.bmp,0.11,no,no,yes,no,no,no,no,no,yes,no,yes
42,1,6,ec,3,positive,P   A   W   S,maske_1.bmp,maske_2.bmp,8501.bmp,0.11,no,yes,no,no,no,no,no,no,yes,yes,no
42,1,7,ec,6,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,1999.bmp,0.11,no,no,no,yes,no,no,no,no,yes,yes,no
42,1,8,ec,8,negative,F   R   O   L,maske_2.bmp,maske_1.bmp,9041.bmp,0.11,no,yes,no,no,no,no,no,no,yes,no,yes
42,1,9,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,3300.bmp,0.5,no,no,no,no,yes,no,no,no,yes,no,yes
42,1,10,ec,5,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,5910.bmp,0.11,no,yes,no,no,no,no,no,no,yes,yes,no
42,1,11,ec,7,positive,D   A   P   S,maske_2.bmp,maske_1.bmp,8496.bmp,0.11,no,no,no,yes,no,no,no,no,yes,yes,no
42,1,12,ec,5,negative,F   L   O   R,maske_2.bmp,maske_1.bmp,2710.bmp,0.11,no,yes,no,no,no,no,no,no,yes,no,yes
42,1,13,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,2160.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
42,1,14,ec,8,positive,S   P   A   D,maske_1.bmp,maske_2.bmp,2057.bmp,0.11,no,no,yes,no,no,no,no,no,yes,yes,no
42,1,15,ec,1,positive,W   A   P   S,maske_1.bmp,maske_2.bmp,2040.bmp,0.11,no,no,yes,no,no,no,no,no,yes,yes,no
42,1,16,ec,1,negative,B   R   O   F,maske_1.bmp,maske_2.bmp,2750.bmp,0.11,no,no,no,yes,no,no,no,no,yes,no,yes
42,1,17,ec,2,positive,S   N   A   W,maske_2.bmp,maske_1.bmp,2311.bmp,0.11,no,no,yes,no,no,no,no,no,yes,yes,no
42,1,18,ec,7,negative,B   L   O   R,maske_2.bmp,maske_1.bmp,9430.bmp,0.11,yes,no,no,no,no,no,no,no,yes,no,yes
42,1,19,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,5994.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
42,1,20,ec,2,negative,J   O   R   F,maske_1.bmp,maske_2.bmp,9432.bmp,0.11,no,yes,no,no,no,no,no,no,yes,no,yes
42,2,1,ec,4,positive,P   A   N   S,maske_2.bmp,maske_1.bmp,4622.bmp,0.114,no,no,yes,no,no,no,no,no,yes,yes,no
42,2,2,ec,2,positive,S   N   A   W,maske_1.bmp,maske_2.bmp,2070.bmp,0.114,no,no,yes,no,no,no,no,no,yes,yes,no
42,2,3,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,2900.bmp,0.5,no,no,no,no,yes,no,no,no,yes,no,yes
42,2,4,ec,1,positive,W   A   P   S,maske_2.bmp,maske_1.bmp,2791.bmp,0.114,no,no,no,no,yes,no,no,no,yes,no,yes
42,2,5,ec,3,positive,P   A   W   S,maske_2.bmp,maske_1.bmp,5594.bmp,0.114,no,no,no,yes,no,no,no,no,yes,yes,no
42,2,6,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,2276.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
42,2,7,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,7470.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
42,2,8,ec,7,positive,D   A   P   S,maske_1.bmp,maske_2.bmp,2340.bmp,0.114,no,no,no,yes,no,no,no,no,yes,yes,no
42,2,9,ec,8,positive,S   P   A   D,maske_2.bmp,maske_1.bmp,5831.bmp,0.114,no,no,no,yes,no,no,no,no,yes,yes,no
42,2,10,ec,6,positive,S   W   A   D,maske_1.bmp,maske_2.bmp,2209.bmp,0.114,no,no,yes,no,no,no,no,no,yes,yes,no
42,2,11,ec,3,negative,B   R   O   L,maske_2.bmp,maske_1.bmp,9920.bmp,0.114,no,yes,no,no,no,no,no,no,yes,yes,no
42,2,12,ec,8,negative,F   R   O   L,maske_1.bmp,maske_2.bmp,9280.bmp,0.114,no,yes,no,no,no,no,no,no,yes,no,yes
42,2,13,ec,5,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,2660.bmp,0.114,no,no,no,no,yes,no,no,no,yes,no,yes
42,2,14,ec,5,negative,F   L   O   R,maske_1.bmp,maske_2.bmp,9007.bmp,0.114,no,yes,no,no,no,no,no,no,yes,no,yes
42,2,15,ec,6,negative,B   L   O   F,maske_1.bmp,maske_2.bmp,7380.bmp,0.114,no,yes,no,no,no,no,no,no,yes,no,yes
42,2,16,ec,7,negative,B   L   O   R,maske_1.bmp,maske_2.bmp,9220.bmp,0.114,no,yes,no,no,no,no,no,no,yes,no,yes
42,2,17,ec,4,negative,F   R   O   B,maske_2.bmp,maske_1.bmp,9330.bmp,0.114,no,yes,no,no,no,no,no,no,yes,no,yes
42,2,18,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,2208.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
42,2,19,ec,2,negative,J   O   R   F,maske_2.bmp,maske_1.bmp,9561.bmp,0.114,no,yes,no,no,no,no,no,no,yes,no,yes
42,2,20,ec,1,negative,B   R   O   F,maske_2.bmp,maske_1.bmp,9404.bmp,0.114,no,no,yes,no,no,no,no,no,yes,no,yes
42,3,1,ec,8,positive,S   P   A   D,maske_2.bmp,maske_1.bmp,8470.bmp,0.114,no,yes,no,no,no,no,no,no,yes,yes,no
42,3,2,ec,6,positive,S   W   A   D,maske_1.bmp,maske_2.bmp,1463.bmp,0.114,no,yes,no,no,no,no,no,no,yes,yes,no
42,3,3,ec,2,negative,J   O   R   F,maske_2.bmp,maske_1.bmp,6831.bmp,0.114,no,yes,no,no,no,no,no,no,yes,no,yes
42,3,4,ec,8,negative,F   R   O   L,maske_2.bmp,maske_1.bmp,9331.bmp,0.114,no,no,no,yes,no,no,no,no,yes,no,yes
42,3,5,ec,5,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,7330.bmp,0.114,no,no,no,yes,no,no,no,no,yes,yes,no
42,3,6,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,8080.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
42,3,7,ec,5,negative,F   L   O   R,maske_1.bmp,maske_2.bmp,9000.bmp,0.114,no,no,yes,no,no,no,no,no,yes,no,yes
42,3,8,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,8420.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
42,3,9,ec,1,negative,B   R   O   F,maske_1.bmp,maske_2.bmp,6570.1.bmp,0.114,no,yes,no,no,no,no,no,no,yes,no,yes
42,3,10,ec,3,negative,B   R   O   L,maske_1.bmp,maske_2.bmp,6242.bmp,0.114,no,yes,no,no,no,no,no,no,yes,no,yes
42,3,11,ec,6,negative,B   L   O   F,maske_1.bmp,maske_2.bmp,2053.bmp,0.114,no,yes,no,no,no,no,no,no,yes,no,yes
42,3,12,ec,4,negative,F   R   O   B,maske_2.bmp,maske_1.bmp,6838.bmp,0.114,no,yes,no,no,no,no,no,no,yes,no,yes
42,3,13,ec,1,positive,W   A   P   S,maske_1.bmp,maske_2.bmp,8330.bmp,0.114,no,no,no,yes,no,no,no,no,yes,yes,no
42,3,14,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,9180.bmp,0.5,no,no,no,no,yes,no,no,no,yes,yes,no
42,3,15,ec,3,positive,P   A   W   S,maske_1.bmp,maske_2.bmp,2080.bmp,0.114,no,no,yes,no,no,no,no,no,yes,yes,no
42,3,16,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,3220.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
42,3,17,ec,7,negative,B   L   O   R,maske_1.bmp,maske_2.bmp,9342.bmp,0.114,no,no,no,yes,no,no,no,no,yes,no,yes
42,3,18,ec,4,positive,P   A   N   S,maske_1.bmp,maske_2.bmp,2071.bmp,0.114,no,no,yes,no,no,no,no,no,yes,yes,no
42,3,19,ec,2,positive,S   N   A   W,maske_2.bmp,maske_1.bmp,8190.bmp,0.114,no,yes,no,no,no,no,no,no,yes,no,yes
42,3,20,ec,7,positive,D   A   P   S,maske_2.bmp,maske_1.bmp,5629.bmp,0.114,no,yes,no,no,no,no,no,no,yes,yes,no
42,4,1,ec,5,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,7350.bmp,0.118,no,no,no,no,yes,no,no,no,yes,yes,no
42,4,2,ec,5,negative,F   L   O   R,maske_2.bmp,maske_1.bmp,1525.bmp,0.118,no,no,yes,no,no,no,no,no,yes,no,yes
42,4,3,ec,8,positive,S   P   A   D,maske_1.bmp,maske_2.bmp,1710.bmp,0.118,no,yes,no,no,no,no,no,no,yes,yes,no
42,4,4,ec,3,positive,P   A   W   S,maske_2.bmp,maske_1.bmp,1440.bmp,0.118,no,yes,no,no,no,no,no,no,yes,yes,no
42,4,5,ec,3,negative,B   R   O   L,maske_2.bmp,maske_1.bmp,6530.bmp,0.118,no,yes,no,no,no,no,no,no,yes,yes,no
42,4,6,ec,8,negative,F   R   O   L,maske_1.bmp,maske_2.bmp,3160.bmp,0.118,yes,no,no,no,no,no,no,no,yes,no,yes
42,4,7,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,4220.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
42,4,8,ec,6,negative,B   L   O   F,maske_2.bmp,maske_1.bmp,9006.bmp,0.118,no,yes,no,no,no,no,no,no,yes,no,yes
42,4,9,ec,2,negative,J   O   R   F,maske_1.bmp,maske_2.bmp,6555.bmp,0.118,no,no,no,yes,no,no,no,no,yes,no,yes
42,4,10,ec,1,positive,W   A   P   S,maske_2.bmp,maske_1.bmp,2150.bmp,0.118,no,no,no,yes,no,no,no,no,yes,yes,no
42,4,11,ec,4,positive,P   A   N   S,maske_2.bmp,maske_1.bmp,8540.bmp,0.118,no,no,yes,no,no,no,no,no,yes,yes,no
42,4,12,ec,1,negative,B   R   O   F,maske_2.bmp,maske_1.bmp,2141.bmp,0.118,no,no,yes,no,no,no,no,no,yes,no,yes
42,4,13,ec,2,positive,S   N   A   W,maske_1.bmp,maske_2.bmp,8370.bmp,0.118,no,yes,no,no,no,no,no,no,yes,yes,no
42,4,14,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,9340.bmp,0.5,no,no,no,no,yes,no,no,no,yes,no,yes
42,4,15,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,9050.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
42,4,16,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,1650.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
42,4,17,ec,7,positive,D   A   P   S,maske_1.bmp,maske_2.bmp,2058.bmp,0.118,no,no,no,no,yes,no,no,no,yes,no,yes
42,4,18,ec,7,negative,B   L   O   R,maske_2.bmp,maske_1.bmp,6311.bmp,0.118,no,no,no,yes,no,no,no,no,yes,no,yes
42,4,19,ec,6,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,4606.bmp,0.118,no,no,yes,no,no,no,no,no,yes,yes,no
42,4,20,ec,4,negative,F   R   O   B,maske_1.bmp,maske_2.bmp,8485.bmp,0.118,no,no,yes,no,no,no,no,no,yes,no,yes
42,5,1,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,9432.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
42,5,2,ec,8,negative,F   R   O   L,maske_2.bmp,maske_1.bmp,6020.bmp,0.118,no,yes,no,no,no,no,no,no,yes,no,yes
42,5,3,ec,1,negative,B   R   O   F,maske_1.bmp,maske_2.bmp,9435.bmp,0.118,no,yes,no,no,no,no,no,no,yes,no,yes
42,5,4,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,7502.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
42,5,5,ec,4,negative,F   R   O   B,maske_2.bmp,maske_1.bmp,2710.bmp,0.118,no,yes,no,no,no,no,no,no,yes,no,yes
42,5,6,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,9630.bmp,0.5,no,no,no,no,yes,no,no,no,yes,no,yes
42,5,7,ec,5,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,7580.bmp,0.118,no,no,no,yes,no,no,no,no,yes,yes,no
42,5,8,ec,3,positive,P   A   W   S,maske_1.bmp,maske_2.bmp,5831.bmp,0.118,no,no,no,yes,no,no,no,no,yes,yes,no
42,5,9,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,2050.bmp,0.5,no,no,no,no,yes,no,no,no,yes,yes,no
42,5,10,ec,6,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,8200.bmp,0.118,no,no,no,no,yes,no,no,no,yes,yes,no
42,5,11,ec,5,negative,F   L   O   R,maske_2.bmp,maske_1.bmp,9520.bmp,0.118,no,no,no,yes,no,no,no,no,yes,no,yes
42,5,12,ec,2,positive,S   N   A   W,maske_1.bmp,maske_2.bmp,8496.bmp,0.118,no,no,no,no,yes,no,no,no,yes,yes,no
42,5,13,ec,7,negative,B   L   O   R,maske_1.bmp,maske_2.bmp,9421.bmp,0.118,no,no,no,yes,no,no,no,no,yes,no,yes
