subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
22,4_dunkel.png,no,no,no,yes
22,11_dunkel.png,no,no,yes,no
22,19_dunkel.png,no,no,no,yes
22,6_dunkel.png,no,no,no,yes
22,15_dunkel.png,no,yes,no,no
22,25_dunkel.png,no,no,no,yes
22,29_dunkel.png,no,no,no,yes
22,39_dunkel.png,no,no,no,yes
22,20_dunkel.png,no,no,no,yes
22,32_dunkel.png,no,no,yes,no
22,1_dunkel.png,no,no,no,yes
22,16_dunkel.png,no,no,no,yes
22,18_dunkel.png,no,no,no,yes
22,28_dunkel.png,no,no,no,yes
22,35_dunkel.png,no,no,no,yes
22,33_dunkel.png,no,no,no,yes
22,8_dunkel.png,no,no,no,yes
22,26_dunkel.png,no,yes,no,no
22,10_dunkel.png,no,no,no,yes
22,5_dunkel.png,no,no,no,yes
22,31_dunkel.png,no,no,no,yes
22,13_dunkel.png,no,no,no,yes
22,23_dunkel.png,no,no,no,yes
22,30_dunkel.png,no,no,yes,no
22,34_dunkel.png,no,no,yes,no
22,7_dunkel.png,no,yes,no,no
22,3_dunkel.png,no,no,no,yes
22,37_dunkel.png,no,no,no,yes
22,2_dunkel.png,no,no,no,yes
22,38_dunkel.png,no,yes,no,no
22,17_dunkel.png,no,no,no,yes
22,21_dunkel.png,no,no,no,yes
22,12_dunkel.png,no,no,no,yes
22,24_dunkel.png,no,yes,no,no
22,36_dunkel.png,no,no,no,yes
22,9_dunkel.png,no,no,no,yes
22,22_dunkel.png,no,no,no,yes
22,40_dunkel.png,no,no,no,yes
22,27_dunkel.png,no,no,yes,no
22,14_dunkel.png,no,no,no,yes
