subject_nr,cs_filename,eval_rating
16,25_dunkel.png,7
16,10_dunkel.png,15
16,38_dunkel.png,15
16,18_dunkel.png,10
16,8_dunkel.png,10
16,30_dunkel.png,5
16,28_dunkel.png,5
16,39_dunkel.png,10
16,5_dunkel.png,8
16,16_dunkel.png,9
16,4_dunkel.png,19
16,29_dunkel.png,5
16,20_dunkel.png,5
16,17_dunkel.png,5
16,27_dunkel.png,14
16,34_dunkel.png,14
16,33_dunkel.png,16
16,7_dunkel.png,16
16,12_dunkel.png,16
16,21_dunkel.png,16
16,26_dunkel.png,19
16,6_dunkel.png,8
16,1_dunkel.png,19
16,13_dunkel.png,7
16,35_dunkel.png,6
16,37_dunkel.png,6
16,32_dunkel.png,6
16,40_dunkel.png,6
16,24_dunkel.png,9
16,36_dunkel.png,6
16,19_dunkel.png,0
16,9_dunkel.png,8
16,3_dunkel.png,0
16,15_dunkel.png,5
16,14_dunkel.png,14
16,31_dunkel.png,14
16,2_dunkel.png,19
16,11_dunkel.png,13
16,22_dunkel.png,19
16,23_dunkel.png,19
