subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
1,24_dunkel.png,no,no,yes,no
1,27_dunkel.png,no,no,yes,no
1,26_dunkel.png,no,yes,no,no
1,19_dunkel.png,no,no,no,yes
1,30_dunkel.png,no,yes,no,no
1,14_dunkel.png,no,no,no,yes
1,9_dunkel.png,no,no,no,yes
1,16_dunkel.png,no,no,yes,no
1,22_dunkel.png,no,no,yes,no
1,39_dunkel.png,no,yes,no,no
1,6_dunkel.png,no,no,no,yes
1,29_dunkel.png,no,no,yes,no
1,4_dunkel.png,no,no,yes,no
1,34_dunkel.png,no,yes,no,no
1,25_dunkel.png,no,no,yes,no
1,33_dunkel.png,no,yes,no,no
1,8_dunkel.png,no,no,no,yes
1,15_dunkel.png,no,no,yes,no
1,28_dunkel.png,no,no,yes,no
1,40_dunkel.png,no,yes,no,no
1,37_dunkel.png,no,yes,no,no
1,20_dunkel.png,no,no,yes,no
1,38_dunkel.png,no,no,yes,no
1,1_dunkel.png,no,yes,no,no
1,13_dunkel.png,no,no,yes,no
1,12_dunkel.png,no,yes,no,no
1,31_dunkel.png,no,no,yes,no
1,35_dunkel.png,no,no,yes,no
1,11_dunkel.png,no,no,yes,no
1,7_dunkel.png,no,yes,no,no
1,2_dunkel.png,no,no,yes,no
1,17_dunkel.png,no,no,yes,no
1,18_dunkel.png,no,no,yes,no
1,3_dunkel.png,no,no,yes,no
1,21_dunkel.png,no,yes,no,no
1,5_dunkel.png,no,no,yes,no
1,10_dunkel.png,no,no,yes,no
1,23_dunkel.png,no,no,yes,no
1,36_dunkel.png,no,yes,no,no
1,32_dunkel.png,no,no,yes,no
