subject_nr,block_nr,trial_nr,trial_task,cs_contrast,cs_duration,cs_numbers,cs_filename,cs_us_order,cs_location,us_valence,us_filename,us_type,cs_w_us_type,us_duration,pre_mask,post_mask,id_opt_1,id_opt_2,id_opt_3,id_opt_4,id_opt_5,id_opt_6,id_opt_1_f,id_opt_2_f,id_opt_3_f,id_opt_4_f,id_opt_5_f,id_opt_6_f,slide_1,slide_2,slide_3,slide_4,slide_5,slide_6,time_subj,time_obj,time_blank,subj_1,subj_2,subj_3,subj_4,subj_5,subj_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6
25,1,0,subjective,2,70,32,32_hell.png,us_first,cs_left,positive,8200.bmp,picture,picture,880,fmaske_11.bmp,fmaske_3.bmp,32,3,10,6,27,29,32_dunkel.png,3_dunkel.png,10_dunkel.png,6_dunkel.png,27_dunkel.png,29_dunkel.png,567850,568354,569258,569362,569436,569490,570370,NA,577706,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA
25,1,1,subjective,1,80,27,27_dunkel.png,us_first,cs_left,positive,1650.bmp,picture,picture,870,fmaske_4.bmp,fmaske_3.bmp,19,27,3,6,7,21,19_dunkel.png,27_dunkel.png,3_dunkel.png,6_dunkel.png,7_dunkel.png,21_dunkel.png,578354,578859,579763,579867,579951,580005,580875,NA,585979,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA
25,1,2,subjective,2,50,23,23_hell.png,cs_first,cs_left,negative,Hass,word,picture,2400,fmaske_2.bmp,fmaske_12.bmp,4,2,23,5,26,35,4_dunkel.png,2_dunkel.png,23_dunkel.png,5_dunkel.png,26_dunkel.png,35_dunkel.png,NA,586518,587422,587526,587580,587634,590034,NA,596812,no,no,yes,no,no,no,NA,NA,NA,NA,NA,NA
25,1,3,subjective,2,40,28,28_hell.png,cs_first,cs_left,negative,3220.bmp,picture,picture,2410,fmaske_9.bmp,fmaske_11.bmp,39,34,37,13,24,28,39_dunkel.png,34_dunkel.png,37_dunkel.png,13_dunkel.png,24_dunkel.png,28_dunkel.png,NA,597454,598359,598463,598507,598561,600971,NA,604263,no,no,yes,no,no,no,NA,NA,NA,NA,NA,NA
25,1,4,subjective,2,90,17,17_hell.png,cs_first,cs_left,positive,1440.bmp,picture,picture,2360,fmaske_11.bmp,fmaske_2.bmp,17,30,40,36,12,31,17_dunkel.png,30_dunkel.png,40_dunkel.png,36_dunkel.png,12_dunkel.png,31_dunkel.png,NA,604908,605812,605916,606010,606064,608424,NA,615318,no,no,no,yes,no,no,NA,NA,NA,NA,NA,NA
25,1,5,objective,2,80,27,27_hell.png,us_first,cs_left,positive,Urlaub,word,picture,870,fmaske_7.bmp,fmaske_5.bmp,10,27,19,29,20,7,10_dunkel.png,27_dunkel.png,19_dunkel.png,29_dunkel.png,20_dunkel.png,7_dunkel.png,615848,616352,617256,617360,617444,617498,NA,618368,633293,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no
25,1,6,subjective,1,90,14,14_dunkel.png,us_first,cs_left,positive,2660.bmp,picture,picture,860,fmaske_5.bmp,fmaske_10.bmp,14,40,31,12,36,15,14_dunkel.png,40_dunkel.png,31_dunkel.png,12_dunkel.png,36_dunkel.png,15_dunkel.png,633939,634443,635347,635451,635545,635599,636459,NA,640506,no,no,no,no,no,yes,NA,NA,NA,NA,NA,NA
25,1,7,objective,2,80,32,32_hell.png,cs_first,cs_right,positive,Urlaub,word,picture,2370,fmaske_12.bmp,fmaske_4.bmp,10,7,29,32,3,20,10_dunkel.png,7_dunkel.png,29_dunkel.png,32_dunkel.png,3_dunkel.png,20_dunkel.png,NA,641041,641945,642049,642134,642188,NA,644559,653627,NA,NA,NA,NA,NA,NA,no,no,no,no,no,yes
25,1,8,subjective,3,70,20,20_mittel.png,us_first,cs_right,negative,9180.bmp,picture,picture,880,fmaske_9.bmp,fmaske_9.bmp,19,21,10,6,29,20,19_dunkel.png,21_dunkel.png,10_dunkel.png,6_dunkel.png,29_dunkel.png,20_dunkel.png,654272,654777,655681,655785,655859,655913,656794,NA,658977,no,no,no,no,no,yes,NA,NA,NA,NA,NA,NA
25,1,9,objective,2,80,10,10_hell.png,cs_first,cs_right,negative,9500.bmp,picture,picture,2370,fmaske_5.bmp,fmaske_12.bmp,29,32,20,7,10,3,29_dunkel.png,32_dunkel.png,20_dunkel.png,7_dunkel.png,10_dunkel.png,3_dunkel.png,NA,659616,660520,660624,660708,660762,NA,663133,666298,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no
