subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
5,24_dunkel.png,no,no,yes,no
5,21_dunkel.png,no,no,yes,no
5,26_dunkel.png,no,no,yes,no
5,36_dunkel.png,no,no,yes,no
5,37_dunkel.png,no,no,yes,no
5,16_dunkel.png,no,no,yes,no
5,28_dunkel.png,no,no,yes,no
5,32_dunkel.png,no,no,yes,no
5,14_dunkel.png,no,no,yes,no
5,29_dunkel.png,no,no,yes,no
5,18_dunkel.png,no,no,yes,no
5,6_dunkel.png,no,no,yes,no
5,31_dunkel.png,no,no,yes,no
5,11_dunkel.png,no,no,yes,no
5,9_dunkel.png,no,no,yes,no
5,8_dunkel.png,no,no,yes,no
5,38_dunkel.png,no,no,yes,no
5,22_dunkel.png,no,no,yes,no
5,40_dunkel.png,no,no,yes,no
5,27_dunkel.png,no,no,yes,no
5,7_dunkel.png,no,no,yes,no
5,25_dunkel.png,no,no,yes,no
5,4_dunkel.png,no,no,yes,no
5,30_dunkel.png,no,no,yes,no
5,12_dunkel.png,no,no,yes,no
5,19_dunkel.png,no,no,yes,no
5,17_dunkel.png,no,no,yes,no
5,10_dunkel.png,no,no,yes,no
5,39_dunkel.png,no,no,yes,no
5,33_dunkel.png,no,no,yes,no
5,1_dunkel.png,no,no,yes,no
5,13_dunkel.png,no,no,yes,no
5,20_dunkel.png,no,no,yes,no
5,34_dunkel.png,no,no,yes,no
5,15_dunkel.png,no,no,yes,no
5,2_dunkel.png,no,no,yes,no
5,35_dunkel.png,no,no,yes,no
5,5_dunkel.png,no,no,yes,no
5,3_dunkel.png,no,no,yes,no
5,23_dunkel.png,no,no,yes,no
