subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
25,16_dunkel.png,no,yes,no,no
25,24_dunkel.png,no,yes,no,no
25,29_dunkel.png,no,no,yes,no
25,1_dunkel.png,no,yes,no,no
25,6_dunkel.png,no,no,no,yes
25,21_dunkel.png,no,yes,no,no
25,23_dunkel.png,no,no,no,yes
25,32_dunkel.png,no,yes,no,no
25,10_dunkel.png,no,no,yes,no
25,28_dunkel.png,no,no,yes,no
25,14_dunkel.png,no,no,no,yes
25,22_dunkel.png,no,no,yes,no
25,40_dunkel.png,no,yes,no,no
25,4_dunkel.png,no,yes,no,no
25,38_dunkel.png,no,yes,no,no
25,33_dunkel.png,no,no,yes,no
25,26_dunkel.png,no,yes,no,no
25,37_dunkel.png,no,no,no,yes
25,31_dunkel.png,no,yes,no,no
25,5_dunkel.png,no,no,no,yes
25,15_dunkel.png,no,yes,no,no
25,8_dunkel.png,no,no,no,yes
25,3_dunkel.png,no,no,no,yes
25,17_dunkel.png,no,no,no,yes
25,34_dunkel.png,no,no,yes,no
25,25_dunkel.png,no,no,no,yes
25,13_dunkel.png,no,no,no,yes
25,30_dunkel.png,no,no,no,yes
25,12_dunkel.png,no,no,no,yes
25,7_dunkel.png,no,yes,no,no
25,18_dunkel.png,no,no,yes,no
25,36_dunkel.png,no,no,yes,no
25,11_dunkel.png,no,no,no,yes
25,20_dunkel.png,no,no,no,yes
25,2_dunkel.png,no,no,yes,no
25,27_dunkel.png,no,no,no,yes
25,39_dunkel.png,no,no,no,yes
25,9_dunkel.png,no,no,no,yes
25,19_dunkel.png,no,no,yes,no
25,35_dunkel.png,no,no,no,yes
