subject_nr,cs_filename,eval_rating
25,2_dunkel.png,12
25,11_dunkel.png,10
25,39_dunkel.png,12
25,17_dunkel.png,6
25,37_dunkel.png,7
25,24_dunkel.png,17
25,7_dunkel.png,18
25,4_dunkel.png,16
25,5_dunkel.png,18
25,36_dunkel.png,3
25,27_dunkel.png,10
25,18_dunkel.png,5
25,29_dunkel.png,1
25,16_dunkel.png,1
25,40_dunkel.png,6
25,38_dunkel.png,17
25,1_dunkel.png,18
25,19_dunkel.png,4
25,15_dunkel.png,10
25,25_dunkel.png,7
25,34_dunkel.png,10
25,32_dunkel.png,12
25,3_dunkel.png,0
25,23_dunkel.png,2
25,14_dunkel.png,4
25,30_dunkel.png,3
25,31_dunkel.png,18
25,35_dunkel.png,4
25,12_dunkel.png,17
25,28_dunkel.png,2
25,20_dunkel.png,3
25,6_dunkel.png,0
25,8_dunkel.png,9
25,13_dunkel.png,3
25,22_dunkel.png,13
25,21_dunkel.png,16
25,9_dunkel.png,10
25,10_dunkel.png,7
25,26_dunkel.png,15
25,33_dunkel.png,5
