subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
11,39_dunkel.png,no,no,yes,no
11,4_dunkel.png,yes,no,no,no
11,17_dunkel.png,no,no,no,yes
11,11_dunkel.png,no,no,no,yes
11,32_dunkel.png,no,no,no,yes
11,27_dunkel.png,no,yes,no,no
11,1_dunkel.png,yes,no,no,no
11,5_dunkel.png,no,no,no,yes
11,38_dunkel.png,no,no,no,yes
11,6_dunkel.png,no,no,yes,no
11,35_dunkel.png,no,no,no,yes
11,25_dunkel.png,no,no,no,yes
11,8_dunkel.png,no,yes,no,no
11,14_dunkel.png,no,no,no,yes
11,19_dunkel.png,no,no,no,yes
11,37_dunkel.png,no,no,no,yes
11,23_dunkel.png,no,yes,no,no
11,21_dunkel.png,yes,no,no,no
11,12_dunkel.png,no,no,no,yes
11,13_dunkel.png,no,no,no,yes
11,29_dunkel.png,yes,no,no,no
11,24_dunkel.png,no,no,no,yes
11,10_dunkel.png,no,yes,no,no
11,36_dunkel.png,no,no,no,yes
11,15_dunkel.png,no,no,no,yes
11,16_dunkel.png,no,no,no,yes
11,33_dunkel.png,no,no,no,yes
11,2_dunkel.png,no,yes,no,no
11,18_dunkel.png,no,no,no,yes
11,28_dunkel.png,yes,no,no,no
11,34_dunkel.png,no,no,no,yes
11,3_dunkel.png,yes,no,no,no
11,9_dunkel.png,no,no,no,yes
11,26_dunkel.png,yes,no,no,no
11,31_dunkel.png,no,no,no,yes
11,30_dunkel.png,no,yes,no,no
11,22_dunkel.png,yes,no,no,no
11,40_dunkel.png,no,no,no,yes
11,20_dunkel.png,no,yes,no,no
11,7_dunkel.png,yes,no,no,no
