subject_nr,cs_filename,eval_rating
2,30_dunkel.png,4
2,4_dunkel.png,19
2,27_dunkel.png,16
2,8_dunkel.png,9
2,23_dunkel.png,7
2,10_dunkel.png,7
2,35_dunkel.png,1
2,16_dunkel.png,12
2,7_dunkel.png,12
2,20_dunkel.png,6
2,22_dunkel.png,13
2,11_dunkel.png,11
2,25_dunkel.png,11
2,33_dunkel.png,15
2,37_dunkel.png,8
2,1_dunkel.png,17
2,31_dunkel.png,18
2,24_dunkel.png,13
2,17_dunkel.png,10
2,38_dunkel.png,19
2,9_dunkel.png,12
2,19_dunkel.png,9
2,34_dunkel.png,14
2,12_dunkel.png,17
2,14_dunkel.png,14
2,21_dunkel.png,16
2,36_dunkel.png,7
2,15_dunkel.png,16
2,26_dunkel.png,16
2,6_dunkel.png,13
2,28_dunkel.png,7
2,40_dunkel.png,6
2,2_dunkel.png,16
2,39_dunkel.png,13
2,13_dunkel.png,9
2,29_dunkel.png,8
2,18_dunkel.png,15
2,32_dunkel.png,18
2,3_dunkel.png,5
2,5_dunkel.png,15
