subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
4,37_dunkel.png,no,no,yes,no
4,10_dunkel.png,no,no,yes,no
4,23_dunkel.png,no,yes,no,no
4,11_dunkel.png,no,no,no,yes
4,19_dunkel.png,no,yes,no,no
4,5_dunkel.png,no,yes,no,no
4,22_dunkel.png,no,yes,no,no
4,8_dunkel.png,no,yes,no,no
4,26_dunkel.png,no,yes,no,no
4,20_dunkel.png,no,yes,no,no
4,14_dunkel.png,no,no,yes,no
4,33_dunkel.png,no,yes,no,no
4,27_dunkel.png,no,yes,no,no
4,24_dunkel.png,no,yes,no,no
4,25_dunkel.png,no,no,yes,no
4,9_dunkel.png,no,yes,no,no
4,36_dunkel.png,no,yes,no,no
4,7_dunkel.png,no,yes,no,no
4,32_dunkel.png,no,yes,no,no
4,17_dunkel.png,no,no,yes,no
4,21_dunkel.png,no,no,yes,no
4,1_dunkel.png,no,yes,no,no
4,12_dunkel.png,no,no,yes,no
4,38_dunkel.png,no,no,yes,no
4,35_dunkel.png,no,yes,no,no
4,29_dunkel.png,no,yes,no,no
4,34_dunkel.png,no,yes,no,no
4,40_dunkel.png,no,no,yes,no
4,13_dunkel.png,no,no,no,yes
4,2_dunkel.png,no,yes,no,no
4,31_dunkel.png,no,yes,no,no
4,16_dunkel.png,no,no,yes,no
4,4_dunkel.png,no,no,yes,no
4,39_dunkel.png,no,yes,no,no
4,30_dunkel.png,no,yes,no,no
4,18_dunkel.png,no,no,yes,no
4,3_dunkel.png,no,yes,no,no
4,28_dunkel.png,no,yes,no,no
4,15_dunkel.png,no,yes,no,no
4,6_dunkel.png,no,no,yes,no
