subject_nr,block_nr,trial_nr,trial_task,cs_contrast,cs_duration,cs_numbers,cs_filename,cs_us_order,cs_location,us_valence,us_filename,us_type,cs_w_us_type,us_duration,pre_mask,post_mask,id_opt_1,id_opt_2,id_opt_3,id_opt_4,id_opt_5,id_opt_6,id_opt_1_f,id_opt_2_f,id_opt_3_f,id_opt_4_f,id_opt_5_f,id_opt_6_f,slide_1,slide_2,slide_3,slide_4,slide_5,slide_6,time_subj,time_obj,time_blank,subj_1,subj_2,subj_3,subj_4,subj_5,subj_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6
19,1,0,subjective,1,70,11,11_dunkel.png,us_first,cs_right,positive,Kuss,word,picture,880,fmaske_11.bmp,fmaske_1.bmp,24,37,8,11,13,39,24_dunkel.png,37_dunkel.png,8_dunkel.png,11_dunkel.png,13_dunkel.png,39_dunkel.png,414449,414953,415857,415961,416035,416089,416970,NA,422145,no,no,no,no,yes,no,NA,NA,NA,NA,NA,NA
19,1,1,subjective,2,70,13,13_hell.png,us_first,cs_right,negative,6831.bmp,picture,picture,880,fmaske_7.bmp,fmaske_4.bmp,11,24,22,33,13,39,11_dunkel.png,24_dunkel.png,22_dunkel.png,33_dunkel.png,13_dunkel.png,39_dunkel.png,422782,423286,424190,424294,424368,424422,425303,NA,428215,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA
19,1,2,objective,3,90,18,18_mittel.png,cs_first,cs_right,negative,Hass,word,picture,2360,fmaske_4.bmp,fmaske_7.bmp,18,1,4,25,2,9,18_dunkel.png,1_dunkel.png,4_dunkel.png,25_dunkel.png,2_dunkel.png,9_dunkel.png,NA,428741,429645,429749,429843,429897,NA,432258,439891,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no
19,1,3,objective,1,100,1,1_dunkel.png,us_first,cs_left,positive,Lob,word,picture,850,fmaske_3.bmp,fmaske_4.bmp,9,2,4,18,1,35,9_dunkel.png,2_dunkel.png,4_dunkel.png,18_dunkel.png,1_dunkel.png,35_dunkel.png,440420,440924,441828,441932,442036,442090,NA,442940,444785,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no
19,1,4,objective,1,70,24,24_dunkel.png,us_first,cs_left,positive,2150.bmp,picture,picture,880,fmaske_2.bmp,fmaske_8.bmp,37,8,34,28,24,22,37_dunkel.png,8_dunkel.png,34_dunkel.png,28_dunkel.png,24_dunkel.png,22_dunkel.png,445431,445935,446839,446943,447017,447071,NA,447951,449064,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no
19,1,5,subjective,3,80,8,8_mittel.png,cs_first,cs_left,positive,Lob,word,picture,2370,fmaske_4.bmp,fmaske_5.bmp,11,34,22,37,24,8,11_dunkel.png,34_dunkel.png,22_dunkel.png,37_dunkel.png,24_dunkel.png,8_dunkel.png,NA,449591,450495,450600,450684,450738,453108,NA,457627,no,no,no,yes,no,no,NA,NA,NA,NA,NA,NA
19,1,6,subjective,2,30,7,7_hell.png,us_first,cs_left,negative,Not,word,picture,920,fmaske_11.bmp,fmaske_9.bmp,3,32,27,21,7,19,3_dunkel.png,32_dunkel.png,27_dunkel.png,21_dunkel.png,7_dunkel.png,19_dunkel.png,458154,458659,459563,459667,459701,459755,460675,NA,462401,no,no,yes,no,no,no,NA,NA,NA,NA,NA,NA
19,1,7,subjective,2,100,9,9_hell.png,cs_first,cs_right,negative,Ärger,word,picture,2350,fmaske_8.bmp,fmaske_2.bmp,4,1,9,2,5,26,4_dunkel.png,1_dunkel.png,9_dunkel.png,2_dunkel.png,5_dunkel.png,26_dunkel.png,NA,462932,463837,463941,464045,464099,466450,NA,468397,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA
19,1,8,subjective,3,90,18,18_mittel.png,us_first,cs_left,negative,Wahnsinn,word,picture,860,fmaske_6.bmp,fmaske_2.bmp,5,4,2,18,35,23,5_dunkel.png,4_dunkel.png,2_dunkel.png,18_dunkel.png,35_dunkel.png,23_dunkel.png,468929,469434,470338,470442,470536,470590,471450,NA,475183,no,no,no,no,yes,no,NA,NA,NA,NA,NA,NA
19,1,9,objective,1,50,17,17_dunkel.png,cs_first,cs_right,positive,Lachen,word,picture,2400,fmaske_11.bmp,fmaske_12.bmp,16,38,40,17,36,30,16_dunkel.png,38_dunkel.png,40_dunkel.png,17_dunkel.png,36_dunkel.png,30_dunkel.png,NA,475710,476614,476718,476772,476826,NA,479227,480926,NA,NA,NA,NA,NA,NA,no,no,no,yes,no,no
