subject_nr,cs_filename,eval_rating
22,13_dunkel.png,3
22,8_dunkel.png,4
22,19_dunkel.png,4
22,3_dunkel.png,2
22,18_dunkel.png,3
22,9_dunkel.png,9
22,22_dunkel.png,9
22,2_dunkel.png,19
22,33_dunkel.png,17
22,20_dunkel.png,9
22,16_dunkel.png,13
22,38_dunkel.png,19
22,11_dunkel.png,19
22,5_dunkel.png,6
22,24_dunkel.png,9
22,21_dunkel.png,13
22,1_dunkel.png,15
22,25_dunkel.png,5
22,35_dunkel.png,11
22,31_dunkel.png,19
22,29_dunkel.png,9
22,39_dunkel.png,9
22,4_dunkel.png,14
22,27_dunkel.png,19
22,26_dunkel.png,19
22,28_dunkel.png,2
22,10_dunkel.png,17
22,37_dunkel.png,17
22,14_dunkel.png,8
22,23_dunkel.png,7
22,17_dunkel.png,6
22,6_dunkel.png,2
22,30_dunkel.png,9
22,36_dunkel.png,9
22,7_dunkel.png,19
22,15_dunkel.png,9
22,32_dunkel.png,19
22,12_dunkel.png,19
22,34_dunkel.png,19
22,40_dunkel.png,6
