subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
28,26_dunkel.png,no,yes,no,no
28,29_dunkel.png,no,no,no,yes
28,1_dunkel.png,no,no,no,yes
28,27_dunkel.png,no,no,no,yes
28,34_dunkel.png,no,no,no,yes
28,19_dunkel.png,no,no,no,yes
28,21_dunkel.png,no,no,no,yes
28,6_dunkel.png,no,no,no,yes
28,20_dunkel.png,no,no,no,yes
28,35_dunkel.png,no,no,no,yes
28,14_dunkel.png,no,no,yes,no
28,13_dunkel.png,no,no,no,yes
28,3_dunkel.png,no,yes,no,no
28,23_dunkel.png,no,no,no,yes
28,18_dunkel.png,no,no,no,yes
28,38_dunkel.png,no,yes,no,no
28,17_dunkel.png,no,no,no,yes
28,2_dunkel.png,no,no,no,yes
28,37_dunkel.png,no,no,no,yes
28,28_dunkel.png,no,no,no,yes
28,10_dunkel.png,no,no,yes,no
28,33_dunkel.png,no,yes,no,no
28,12_dunkel.png,no,no,yes,no
28,5_dunkel.png,no,yes,no,no
28,32_dunkel.png,no,no,no,yes
28,36_dunkel.png,no,no,yes,no
28,7_dunkel.png,no,no,no,yes
28,25_dunkel.png,no,no,no,yes
28,24_dunkel.png,yes,no,no,no
28,30_dunkel.png,no,no,yes,no
28,16_dunkel.png,no,no,no,yes
28,11_dunkel.png,no,no,no,yes
28,40_dunkel.png,no,no,yes,no
28,39_dunkel.png,no,no,yes,no
28,22_dunkel.png,no,yes,no,no
28,8_dunkel.png,no,no,no,yes
28,15_dunkel.png,no,yes,no,no
28,4_dunkel.png,no,no,no,yes
28,31_dunkel.png,no,no,yes,no
28,9_dunkel.png,no,no,no,yes
