subject_nr,cs_filename,eval_rating
24,27_dunkel.png,13
24,14_dunkel.png,8
24,18_dunkel.png,7
24,20_dunkel.png,3
24,37_dunkel.png,3
24,2_dunkel.png,9
24,15_dunkel.png,11
24,33_dunkel.png,15
24,17_dunkel.png,10
24,29_dunkel.png,6
24,5_dunkel.png,10
24,7_dunkel.png,15
24,40_dunkel.png,14
24,19_dunkel.png,9
24,32_dunkel.png,16
24,35_dunkel.png,12
24,6_dunkel.png,11
24,36_dunkel.png,13
24,24_dunkel.png,15
24,39_dunkel.png,14
24,34_dunkel.png,13
24,8_dunkel.png,6
24,21_dunkel.png,10
24,25_dunkel.png,2
24,30_dunkel.png,9
24,13_dunkel.png,10
24,28_dunkel.png,8
24,1_dunkel.png,12
24,22_dunkel.png,10
24,38_dunkel.png,7
24,23_dunkel.png,11
24,10_dunkel.png,6
24,4_dunkel.png,5
24,3_dunkel.png,8
24,26_dunkel.png,13
24,16_dunkel.png,8
24,9_dunkel.png,6
24,31_dunkel.png,14
24,12_dunkel.png,17
24,11_dunkel.png,7
