subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
32,20_dunkel.png,yes,no,no,no
32,28_dunkel.png,yes,no,no,no
32,14_dunkel.png,no,yes,no,no
32,35_dunkel.png,yes,no,no,no
32,23_dunkel.png,yes,no,no,no
32,26_dunkel.png,yes,no,no,no
32,37_dunkel.png,yes,no,no,no
32,4_dunkel.png,yes,no,no,no
32,29_dunkel.png,yes,no,no,no
32,36_dunkel.png,no,yes,no,no
32,5_dunkel.png,no,no,yes,no
32,6_dunkel.png,no,yes,no,no
32,24_dunkel.png,yes,no,no,no
32,22_dunkel.png,no,no,yes,no
32,3_dunkel.png,no,no,yes,no
32,18_dunkel.png,no,no,yes,no
32,33_dunkel.png,yes,no,no,no
32,17_dunkel.png,no,no,yes,no
32,8_dunkel.png,no,no,yes,no
32,9_dunkel.png,no,no,yes,no
32,16_dunkel.png,no,no,yes,no
32,12_dunkel.png,no,yes,no,no
32,11_dunkel.png,no,no,yes,no
32,7_dunkel.png,no,no,yes,no
32,38_dunkel.png,no,yes,no,no
32,27_dunkel.png,no,yes,no,no
32,40_dunkel.png,no,no,yes,no
32,10_dunkel.png,no,no,yes,no
32,15_dunkel.png,no,yes,no,no
32,13_dunkel.png,no,no,yes,no
32,31_dunkel.png,no,no,yes,no
32,2_dunkel.png,no,yes,no,no
32,32_dunkel.png,no,yes,no,no
32,1_dunkel.png,no,yes,no,no
32,34_dunkel.png,no,yes,no,no
32,25_dunkel.png,no,no,yes,no
32,39_dunkel.png,no,no,yes,no
32,30_dunkel.png,no,yes,no,no
32,21_dunkel.png,no,yes,no,no
32,19_dunkel.png,no,no,yes,no
