subject_nr,block_nr,trial_nr,trial_task,cs_contrast,cs_duration,cs_numbers,cs_filename,cs_us_order,cs_location,us_valence,us_filename,us_type,cs_w_us_type,us_duration,pre_mask,post_mask,id_opt_1,id_opt_2,id_opt_3,id_opt_4,id_opt_5,id_opt_6,id_opt_1_f,id_opt_2_f,id_opt_3_f,id_opt_4_f,id_opt_5_f,id_opt_6_f,slide_1,slide_2,slide_3,slide_4,slide_5,slide_6,time_subj,time_obj,time_blank,subj_1,subj_2,subj_3,subj_4,subj_5,subj_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6
18,1,0,objective,2,70,36,36_hell.png,us_first,cs_left,negative,Wahnsinn,word,picture,880,fmaske_4.bmp,fmaske_3.bmp,14,15,36,30,12,38,14_dunkel.png,15_dunkel.png,36_dunkel.png,30_dunkel.png,12_dunkel.png,38_dunkel.png,533679,534183,535087,535191,535265,535319,NA,536199,551318,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no
18,1,1,objective,1,40,25,25_dunkel.png,us_first,cs_right,positive,2040.bmp,picture,picture,910,fmaske_6.bmp,fmaske_2.bmp,1,25,2,5,23,26,1_dunkel.png,25_dunkel.png,2_dunkel.png,5_dunkel.png,23_dunkel.png,26_dunkel.png,551965,552469,553373,553477,553521,553575,NA,554486,558537,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no
18,1,2,subjective,2,50,27,27_hell.png,us_first,cs_right,positive,8496.bmp,picture,picture,900,fmaske_5.bmp,fmaske_5.bmp,27,10,7,20,3,6,27_dunkel.png,10_dunkel.png,7_dunkel.png,20_dunkel.png,3_dunkel.png,6_dunkel.png,559179,559684,560588,560692,560746,560800,561701,NA,570197,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA
18,1,3,objective,3,60,6,6_mittel.png,cs_first,cs_right,negative,Mord,word,picture,2390,fmaske_3.bmp,fmaske_12.bmp,3,19,6,27,10,29,3_dunkel.png,19_dunkel.png,6_dunkel.png,27_dunkel.png,10_dunkel.png,29_dunkel.png,NA,570723,571627,571731,571795,571849,NA,574240,582446,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no
18,1,4,subjective,3,40,5,5_mittel.png,cs_first,cs_left,negative,9560.bmp,picture,picture,2410,fmaske_1.bmp,fmaske_3.bmp,5,4,23,25,26,9,5_dunkel.png,4_dunkel.png,23_dunkel.png,25_dunkel.png,26_dunkel.png,9_dunkel.png,NA,583092,583997,584101,584145,584199,586609,NA,589631,no,no,yes,no,no,no,NA,NA,NA,NA,NA,NA
18,1,5,objective,3,30,25,25_mittel.png,cs_first,cs_left,positive,8200.bmp,picture,picture,2420,fmaske_12.bmp,fmaske_8.bmp,25,4,23,5,18,1,25_dunkel.png,4_dunkel.png,23_dunkel.png,5_dunkel.png,18_dunkel.png,1_dunkel.png,NA,590272,591176,591280,591314,591368,NA,593788,597130,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no
18,1,6,subjective,3,60,10,10_mittel.png,us_first,cs_right,negative,3550.bmp,picture,picture,890,fmaske_12.bmp,fmaske_4.bmp,21,10,6,20,19,29,21_dunkel.png,10_dunkel.png,6_dunkel.png,20_dunkel.png,19_dunkel.png,29_dunkel.png,597771,598275,599179,599283,599347,599401,600292,NA,606761,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA
18,1,7,subjective,2,70,38,38_hell.png,cs_first,cs_right,negative,9331.bmp,picture,picture,2380,fmaske_4.bmp,fmaske_10.bmp,31,14,40,30,36,38,31_dunkel.png,14_dunkel.png,40_dunkel.png,30_dunkel.png,36_dunkel.png,38_dunkel.png,NA,607400,608305,608409,608483,608537,610918,NA,615422,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA
18,1,8,subjective,1,80,30,30_dunkel.png,us_first,cs_right,negative,9520.bmp,picture,picture,870,fmaske_9.bmp,fmaske_10.bmp,40,16,14,38,31,30,40_dunkel.png,16_dunkel.png,14_dunkel.png,38_dunkel.png,31_dunkel.png,30_dunkel.png,616065,616569,617473,617577,617661,617715,618586,NA,622360,no,no,no,no,no,yes,NA,NA,NA,NA,NA,NA
18,1,9,subjective,3,100,24,24_mittel.png,cs_first,cs_right,positive,8496.bmp,picture,picture,2350,fmaske_11.bmp,fmaske_6.bmp,13,8,28,34,11,24,13_dunkel.png,8_dunkel.png,28_dunkel.png,34_dunkel.png,11_dunkel.png,24_dunkel.png,NA,623000,623905,624009,624113,624167,626518,NA,627865,no,no,no,no,no,yes,NA,NA,NA,NA,NA,NA
18,1,10,objective,2,100,8,8_hell.png,cs_first,cs_left,positive,Sommer,word,picture,2350,fmaske_6.bmp,fmaske_10.bmp,28,39,34,8,13,11,28_dunkel.png,39_dunkel.png,34_dunkel.png,8_dunkel.png,13_dunkel.png,11_dunkel.png,NA,628393,629297,629401,629505,629559,NA,631909,638544,NA,NA,NA,NA,NA,NA,no,no,no,no,no,yes
