subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
8,21_dunkel.png,no,yes,no,no
8,18_dunkel.png,no,no,yes,no
8,27_dunkel.png,yes,no,no,no
8,10_dunkel.png,no,no,no,yes
8,25_dunkel.png,no,no,yes,no
8,26_dunkel.png,yes,no,no,no
8,35_dunkel.png,no,no,no,yes
8,23_dunkel.png,no,no,yes,no
8,22_dunkel.png,no,no,yes,no
8,1_dunkel.png,yes,no,no,no
8,30_dunkel.png,no,no,yes,no
8,17_dunkel.png,no,no,yes,no
8,4_dunkel.png,no,no,yes,no
8,13_dunkel.png,no,no,yes,no
8,40_dunkel.png,no,no,yes,no
8,8_dunkel.png,no,no,yes,no
8,9_dunkel.png,no,no,yes,no
8,6_dunkel.png,no,no,yes,no
8,29_dunkel.png,no,no,yes,no
8,39_dunkel.png,no,yes,no,no
8,7_dunkel.png,no,no,yes,no
8,34_dunkel.png,no,no,yes,no
8,5_dunkel.png,no,no,yes,no
8,12_dunkel.png,no,no,yes,no
8,24_dunkel.png,no,no,yes,no
8,19_dunkel.png,no,no,yes,no
8,14_dunkel.png,no,no,yes,no
8,15_dunkel.png,no,yes,no,no
8,3_dunkel.png,no,yes,no,no
8,31_dunkel.png,no,no,no,yes
8,11_dunkel.png,no,no,no,yes
8,2_dunkel.png,no,yes,no,no
8,33_dunkel.png,no,no,no,yes
8,36_dunkel.png,no,no,yes,no
8,37_dunkel.png,no,no,yes,no
8,32_dunkel.png,no,no,yes,no
8,16_dunkel.png,no,no,no,yes
8,20_dunkel.png,yes,no,no,no
8,38_dunkel.png,no,no,yes,no
8,28_dunkel.png,yes,no,no,no
