subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
27,5_dunkel.png,no,no,no,yes
27,37_dunkel.png,no,yes,no,no
27,11_dunkel.png,no,no,no,yes
27,1_dunkel.png,no,yes,no,no
27,10_dunkel.png,no,no,no,yes
27,4_dunkel.png,no,no,yes,no
27,18_dunkel.png,no,yes,no,no
27,21_dunkel.png,no,yes,no,no
27,12_dunkel.png,no,no,yes,no
27,13_dunkel.png,no,no,no,yes
27,8_dunkel.png,no,no,yes,no
27,34_dunkel.png,yes,no,no,no
27,30_dunkel.png,no,no,no,yes
27,9_dunkel.png,no,no,no,yes
27,20_dunkel.png,no,no,no,yes
27,38_dunkel.png,no,no,yes,no
27,29_dunkel.png,no,no,no,yes
27,19_dunkel.png,no,no,no,yes
27,31_dunkel.png,no,no,yes,no
27,35_dunkel.png,no,no,no,yes
27,25_dunkel.png,no,no,no,yes
27,26_dunkel.png,no,no,yes,no
27,15_dunkel.png,no,yes,no,no
27,28_dunkel.png,no,no,no,yes
27,22_dunkel.png,no,no,no,yes
27,17_dunkel.png,no,no,no,yes
27,6_dunkel.png,no,no,no,yes
27,23_dunkel.png,no,no,no,yes
27,24_dunkel.png,no,no,no,yes
27,36_dunkel.png,no,yes,no,no
27,39_dunkel.png,no,yes,no,no
27,2_dunkel.png,no,no,yes,no
27,32_dunkel.png,no,yes,no,no
27,40_dunkel.png,no,yes,no,no
27,14_dunkel.png,no,no,no,yes
27,7_dunkel.png,no,no,no,yes
27,27_dunkel.png,no,no,no,yes
27,3_dunkel.png,no,no,yes,no
27,33_dunkel.png,no,no,yes,no
27,16_dunkel.png,no,no,yes,no
