subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
18,17_dunkel.png,no,no,no,yes
18,4_dunkel.png,no,yes,no,no
18,28_dunkel.png,no,no,yes,no
18,12_dunkel.png,no,no,yes,no
18,2_dunkel.png,no,yes,no,no
18,24_dunkel.png,yes,no,no,no
18,22_dunkel.png,yes,no,no,no
18,16_dunkel.png,yes,no,no,no
18,23_dunkel.png,yes,no,no,no
18,34_dunkel.png,no,yes,no,no
18,26_dunkel.png,yes,no,no,no
18,21_dunkel.png,no,yes,no,no
18,33_dunkel.png,yes,no,no,no
18,39_dunkel.png,no,yes,no,no
18,7_dunkel.png,yes,no,no,no
18,8_dunkel.png,yes,no,no,no
18,32_dunkel.png,yes,no,no,no
18,18_dunkel.png,no,yes,no,no
18,11_dunkel.png,no,yes,no,no
18,29_dunkel.png,no,no,yes,no
18,6_dunkel.png,no,yes,no,no
18,37_dunkel.png,no,yes,no,no
18,13_dunkel.png,no,yes,no,no
18,1_dunkel.png,no,yes,no,no
18,3_dunkel.png,no,yes,no,no
18,20_dunkel.png,no,yes,no,no
18,15_dunkel.png,no,yes,no,no
18,27_dunkel.png,no,yes,no,no
18,36_dunkel.png,no,no,yes,no
18,10_dunkel.png,no,no,yes,no
18,30_dunkel.png,no,yes,no,no
18,9_dunkel.png,no,yes,no,no
18,31_dunkel.png,yes,no,no,no
18,14_dunkel.png,no,no,yes,no
18,19_dunkel.png,no,yes,no,no
18,38_dunkel.png,no,yes,no,no
18,40_dunkel.png,no,no,yes,no
18,25_dunkel.png,no,no,yes,no
18,5_dunkel.png,no,yes,no,no
18,35_dunkel.png,yes,no,no,no
