subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
19,38_dunkel.png,no,no,no,yes
19,37_dunkel.png,no,yes,no,no
19,26_dunkel.png,no,yes,no,no
19,17_dunkel.png,no,no,no,yes
19,6_dunkel.png,no,no,yes,no
19,1_dunkel.png,no,yes,no,no
19,18_dunkel.png,no,no,no,yes
19,28_dunkel.png,no,yes,no,no
19,30_dunkel.png,no,yes,no,no
19,3_dunkel.png,no,yes,no,no
19,22_dunkel.png,no,no,no,yes
19,39_dunkel.png,no,yes,no,no
19,34_dunkel.png,no,yes,no,no
19,40_dunkel.png,no,yes,no,no
19,29_dunkel.png,no,no,yes,no
19,32_dunkel.png,no,no,yes,no
19,35_dunkel.png,no,no,no,yes
19,13_dunkel.png,no,no,no,yes
19,23_dunkel.png,no,no,no,yes
19,7_dunkel.png,no,no,no,yes
19,19_dunkel.png,no,no,yes,no
19,21_dunkel.png,no,yes,no,no
19,9_dunkel.png,no,no,yes,no
19,33_dunkel.png,no,no,yes,no
19,4_dunkel.png,no,no,yes,no
19,5_dunkel.png,no,no,no,yes
19,10_dunkel.png,no,no,no,yes
19,36_dunkel.png,no,no,yes,no
19,20_dunkel.png,no,no,yes,no
19,8_dunkel.png,no,no,yes,no
19,27_dunkel.png,no,yes,no,no
19,24_dunkel.png,no,yes,no,no
19,14_dunkel.png,no,no,yes,no
19,16_dunkel.png,no,no,yes,no
19,2_dunkel.png,no,yes,no,no
19,31_dunkel.png,no,no,no,yes
19,11_dunkel.png,no,no,no,yes
19,12_dunkel.png,no,no,no,yes
19,15_dunkel.png,no,no,yes,no
19,25_dunkel.png,no,no,no,yes
