subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
15,23_dunkel.png,yes,no,no,no
15,36_dunkel.png,yes,no,no,no
15,35_dunkel.png,yes,no,no,no
15,40_dunkel.png,yes,no,no,no
15,28_dunkel.png,yes,no,no,no
15,18_dunkel.png,yes,no,no,no
15,13_dunkel.png,yes,no,no,no
15,8_dunkel.png,yes,no,no,no
15,6_dunkel.png,yes,no,no,no
15,11_dunkel.png,yes,no,no,no
15,39_dunkel.png,yes,no,no,no
15,9_dunkel.png,yes,no,no,no
15,29_dunkel.png,yes,no,no,no
15,1_dunkel.png,yes,no,no,no
15,12_dunkel.png,yes,no,no,no
15,37_dunkel.png,yes,no,no,no
15,25_dunkel.png,no,yes,no,no
15,3_dunkel.png,yes,no,no,no
15,33_dunkel.png,yes,no,no,no
15,27_dunkel.png,yes,no,no,no
15,26_dunkel.png,yes,no,no,no
15,15_dunkel.png,yes,no,no,no
15,30_dunkel.png,yes,no,no,no
15,20_dunkel.png,yes,no,no,no
15,14_dunkel.png,no,yes,no,no
15,19_dunkel.png,no,yes,no,no
15,17_dunkel.png,yes,no,no,no
15,2_dunkel.png,yes,no,no,no
15,38_dunkel.png,yes,no,no,no
15,24_dunkel.png,yes,no,no,no
15,16_dunkel.png,yes,no,no,no
15,31_dunkel.png,yes,no,no,no
15,10_dunkel.png,yes,no,no,no
15,7_dunkel.png,yes,no,no,no
15,34_dunkel.png,yes,no,no,no
15,5_dunkel.png,yes,no,no,no
15,22_dunkel.png,yes,no,no,no
15,32_dunkel.png,yes,no,no,no
15,4_dunkel.png,yes,no,no,no
15,21_dunkel.png,yes,no,no,no
