subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
12,19_dunkel.png,no,no,no,yes
12,4_dunkel.png,no,no,no,yes
12,27_dunkel.png,no,no,yes,no
12,26_dunkel.png,no,no,yes,no
12,36_dunkel.png,no,yes,no,no
12,12_dunkel.png,no,yes,no,no
12,40_dunkel.png,no,no,yes,no
12,21_dunkel.png,no,no,no,yes
12,1_dunkel.png,no,yes,no,no
12,5_dunkel.png,no,no,no,yes
12,25_dunkel.png,no,no,no,yes
12,32_dunkel.png,no,no,no,yes
12,2_dunkel.png,no,no,no,yes
12,15_dunkel.png,no,no,yes,no
12,11_dunkel.png,no,no,no,yes
12,31_dunkel.png,no,no,no,yes
12,30_dunkel.png,no,no,no,yes
12,35_dunkel.png,no,no,no,yes
12,33_dunkel.png,no,no,yes,no
12,20_dunkel.png,no,no,no,yes
12,39_dunkel.png,no,yes,no,no
12,13_dunkel.png,no,no,no,yes
12,22_dunkel.png,no,no,no,yes
12,9_dunkel.png,no,no,no,yes
12,24_dunkel.png,no,no,no,yes
12,28_dunkel.png,no,no,no,yes
12,23_dunkel.png,no,no,no,yes
12,18_dunkel.png,no,no,no,yes
12,37_dunkel.png,no,no,yes,no
12,38_dunkel.png,no,no,no,yes
12,7_dunkel.png,no,no,no,yes
12,3_dunkel.png,no,no,no,yes
12,6_dunkel.png,no,no,no,yes
12,16_dunkel.png,no,no,no,yes
12,14_dunkel.png,no,no,no,yes
12,17_dunkel.png,no,no,no,yes
12,8_dunkel.png,no,no,no,yes
12,29_dunkel.png,no,no,no,yes
12,10_dunkel.png,no,no,no,yes
12,34_dunkel.png,no,no,no,yes
