subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
7,33_dunkel.png,no,yes,no,no
7,10_dunkel.png,no,no,no,yes
7,31_dunkel.png,no,no,no,yes
7,23_dunkel.png,no,no,no,yes
7,32_dunkel.png,no,no,no,yes
7,14_dunkel.png,no,no,no,yes
7,7_dunkel.png,no,no,no,yes
7,3_dunkel.png,no,no,no,yes
7,1_dunkel.png,no,no,no,yes
7,12_dunkel.png,no,no,no,yes
7,28_dunkel.png,no,no,no,yes
7,20_dunkel.png,no,no,no,yes
7,40_dunkel.png,no,no,no,yes
7,4_dunkel.png,no,no,no,yes
7,9_dunkel.png,no,no,no,yes
7,5_dunkel.png,no,no,no,yes
7,22_dunkel.png,no,no,no,yes
7,18_dunkel.png,no,no,no,yes
7,39_dunkel.png,no,yes,no,no
7,15_dunkel.png,no,no,no,yes
7,37_dunkel.png,no,no,no,yes
7,21_dunkel.png,no,no,no,yes
7,30_dunkel.png,no,no,no,yes
7,26_dunkel.png,no,no,no,yes
7,19_dunkel.png,no,no,no,yes
7,35_dunkel.png,no,no,no,yes
7,36_dunkel.png,no,no,no,yes
7,13_dunkel.png,no,no,no,yes
7,11_dunkel.png,no,no,no,yes
7,2_dunkel.png,no,no,no,yes
7,6_dunkel.png,no,no,no,yes
7,24_dunkel.png,no,no,no,yes
7,27_dunkel.png,no,no,no,yes
7,16_dunkel.png,no,no,no,yes
7,8_dunkel.png,no,no,no,yes
7,38_dunkel.png,no,no,no,yes
7,34_dunkel.png,no,no,no,yes
7,17_dunkel.png,no,no,no,yes
7,29_dunkel.png,no,no,no,yes
7,25_dunkel.png,no,no,no,yes
