subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
3,17_dunkel.png,yes,no,no,no
3,10_dunkel.png,yes,no,no,no
3,38_dunkel.png,yes,no,no,no
3,21_dunkel.png,yes,no,no,no
3,2_dunkel.png,yes,no,no,no
3,35_dunkel.png,yes,no,no,no
3,14_dunkel.png,yes,no,no,no
3,20_dunkel.png,yes,no,no,no
3,12_dunkel.png,yes,no,no,no
3,22_dunkel.png,yes,no,no,no
3,11_dunkel.png,yes,no,no,no
3,19_dunkel.png,yes,no,no,no
3,28_dunkel.png,yes,no,no,no
3,9_dunkel.png,yes,no,no,no
3,1_dunkel.png,yes,no,no,no
3,27_dunkel.png,yes,no,no,no
3,8_dunkel.png,yes,no,no,no
3,32_dunkel.png,yes,no,no,no
3,26_dunkel.png,yes,no,no,no
3,30_dunkel.png,yes,no,no,no
3,3_dunkel.png,yes,no,no,no
3,36_dunkel.png,yes,no,no,no
3,16_dunkel.png,yes,no,no,no
3,40_dunkel.png,yes,no,no,no
3,18_dunkel.png,yes,no,no,no
3,25_dunkel.png,yes,no,no,no
3,7_dunkel.png,yes,no,no,no
3,4_dunkel.png,yes,no,no,no
3,29_dunkel.png,yes,no,no,no
3,13_dunkel.png,yes,no,no,no
3,31_dunkel.png,yes,no,no,no
3,15_dunkel.png,yes,no,no,no
3,24_dunkel.png,yes,no,no,no
3,39_dunkel.png,yes,no,no,no
3,5_dunkel.png,yes,no,no,no
3,33_dunkel.png,yes,no,no,no
3,6_dunkel.png,yes,no,no,no
3,23_dunkel.png,yes,no,no,no
3,37_dunkel.png,yes,no,no,no
3,34_dunkel.png,yes,no,no,no
