subjnr;adaptation_target;us_valence;eval_rating;cs_filename
71;pas_2.5;positive;12;G   U   T   Z
71;pas_5;positive;12;V   A   P   S
71;pas_5;negative;12;B   J   O   F
71;pas_5;positive;11;S   V   A   W
71;pas_2.5;positive;7;T   U   N   G
71;pas_5;positive;6;V   A   S   P
71;pas_5;negative;5;J   O   B   F
71;pas_5;negative;4;J   O   R   B
71;pas_5;negative;3;F   R   O   B
71;pas_2.5;positive;9;N   U   G   Z
71;pas_5;negative;12;R   O   B   F
71;pas_5;positive;12;S   W   A   P
71;pas_2.5;positive;12;G   N   U   Z
71;pas_2.5;negative;1;K   L   E   M
71;pas_5;negative;0;F   O   R   B
71;pas_2.5;negative;5;K   E   L   M
71;pas_5;positive;5;P   S   A   V
71;pas_2.5;negative;5;M   E   H   K
71;pas_5;positive;8;S   A   P   V
71;pas_5;negative;9;B   O   R   F
71;pas_2.5;negative;10;K   L   E   H
71;pas_2.5;negative;11;H   E   M   K
71;pas_2.5;positive;7;T   U   G   Z
71;pas_2.5;negative;7;K   E   H   M
71;pas_5;positive;15;W   A   P   S
71;pas_2.5;positive;14;Z   U   N   G
71;pas_2.5;positive;13;Z   U   N   T
71;pas_2.5;negative;4;H   E   L   K
71;pas_2.5;positive;4;G   U   N   T
71;pas_5;negative;4;J   O   R   F
71;pas_2.5;negative;4;L   E   M   K
71;pas_5;positive;11;S   P   A   V
