subjnr;adaptation_target;us_valence;eval_rating;cs_filename
77;pas_2.5;negative;14;K   L   E   M
77;pas_5;positive;10;F   R   O   B
77;pas_5;positive;12;R   O   B   F
77;pas_2.5;negative;8;K   E   H   M
77;pas_5;negative;15;S   W   A   P
77;pas_5;positive;6;J   O   R   B
77;pas_2.5;positive;4;T   U   N   G
77;pas_2.5;positive;7;G   U   T   Z
77;pas_2.5;positive;4;G   U   N   T
77;pas_5;positive;9;B   O   R   F
77;pas_2.5;positive;14;Z   U   N   T
77;pas_5;negative;15;V   A   P   S
77;pas_5;negative;16;S   A   P   V
77;pas_2.5;positive;16;Z   U   N   G
77;pas_2.5;negative;15;L   E   M   K
77;pas_2.5;negative;14;H   E   M   K
77;pas_2.5;negative;14;M   E   H   K
77;pas_5;negative;7;P   S   A   V
77;pas_2.5;positive;5;T   U   G   Z
77;pas_2.5;positive;0;G   N   U   Z
77;pas_5;negative;17;S   V   A   W
77;pas_5;negative;16;V   A   S   P
77;pas_2.5;negative;18;K   L   E   H
77;pas_2.5;negative;19;K   E   L   M
77;pas_5;positive;14;F   O   R   B
77;pas_2.5;negative;10;H   E   L   K
77;pas_5;negative;13;S   P   A   V
77;pas_5;negative;6;W   A   P   S
77;pas_5;positive;14;B   J   O   F
77;pas_5;positive;6;J   O   B   F
77;pas_2.5;positive;9;N   U   G   Z
77;pas_5;positive;12;J   O   R   F
