subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;id_opt_1;id_opt_2;id_opt_3;id_opt_4;opt_1;opt_2;opt_3;opt_4;VF_pos;VF_neg
73;1;1;2.5;positive;F   O   R   B;maske_1.bmp;maske_2.bmp;Baby 8.jpg;0.07600000000000001;F   O   R   B;S   P   A   V;F   R   O   B;V   A   S   P;yes;no;no;no;yes;no
73;1;2;2.5;positive;B   J   O   F;maske_2.bmp;maske_1.bmp;Alcohol 5.jpg;0.07600000000000001;J   O   R   F;S   W   A   P;B   J   O   F;S   V   A   W;yes;no;no;no;yes;no
73;1;3;2.5;negative;V   A   S   P;maske_2.bmp;maske_1.bmp;Scared face 4.jpg;0.07600000000000001;F   R   O   B;V   A   S   P;S   V   A   W;J   O   B   F;no;no;yes;no;no;yes
73;1;4;5.0;positive;G   N   U   Z;maske_2.bmp;maske_1.bmp;Siblings 1.jpg;0.122;G   N   U   Z;H   E   L   K;K   E   H   M;T   U   G   Z;yes;no;no;no;yes;no
73;1;5;5.0;negative;K   L   E   M;maske_1.bmp;maske_2.bmp;Explosion 6.jpg;0.122;N   U   G   Z;L   E   M   K;K   L   E   M;T   U   G   Z;no;no;yes;no;no;yes
73;1;6;5.0;negative;K   E   L   M;maske_1.bmp;maske_2.bmp;Angry pose 1.jpg;0.122;K   E   L   M;G   N   U   Z;K   L   E   H;Z   U   N   T;yes;no;no;no;no;yes
73;1;7;2.5;negative;P   S   A   V;maske_1.bmp;maske_2.bmp;Animal carcass 1.jpg;0.07600000000000001;J   O   R   B;P   S   A   V;S   P   A   V;R   O   B   F;no;no;no;yes;no;yes
73;1;8;5.0;negative;H   E   L   K;maske_2.bmp;maske_1.bmp;Hangover 1.jpg;0.122;H   E   L   K;T   U   G   Z;K   E   L   M;N   U   G   Z;yes;no;no;no;no;yes
73;1;9;2.5;negative;S   P   A   V;maske_1.bmp;maske_2.bmp;Baby 7.jpg;0.07600000000000001;F   O   R   B;J   O   B   F;W   A   P   S;S   P   A   V;yes;no;no;no;no;yes
73;1;10;2.5;negative;S   V   A   W;maske_1.bmp;maske_2.bmp;Frustrated pose 5.jpg;0.07600000000000001;S   V   A   W;V   A   S   P;J   O   R   F;B   O   R   F;yes;no;no;no;no;yes
73;1;11;2.5;positive;R   O   B   F;maske_1.bmp;maske_2.bmp;Sunflower 1.jpg;0.07600000000000001;R   O   B   F;S   A   P   V;W   A   P   S;B   J   O   F;no;yes;no;no;yes;no
73;1;12;5.0;negative;M   E   H   K;maske_2.bmp;maske_1.bmp;Feces 1.jpg;0.122;H   E   L   K;G   U   T   Z;Z   U   N   G;M   E   H   K;no;no;no;yes;no;yes
73;1;13;5.0;positive;Z   U   N   T;maske_1.bmp;maske_2.bmp;Guitar 1.jpg;0.122;L   E   M   K;H   E   L   K;Z   U   N   T;T   U   N   G;no;no;yes;no;yes;no
73;1;14;2.5;positive;F   R   O   B;maske_1.bmp;maske_2.bmp;Beach 6.jpg;0.07600000000000001;S   A   P   V;J   O   R   B;V   A   P   S;F   R   O   B;no;no;no;yes;yes;no
73;1;15;5.0;negative;K   L   E   H;maske_1.bmp;maske_2.bmp;Intensity 1.jpg;0.122;G   U   N   T;K   L   E   M;G   U   T   Z;K   L   E   H;no;no;no;yes;no;yes
73;1;16;5.0;negative;K   E   H   M;maske_2.bmp;maske_1.bmp;Miserable face 2.jpg;0.122;K   E   H   M;T   U   N   G;H   E   M   K;Z   U   N   T;yes;no;no;no;no;yes
73;1;17;2.5;positive;J   O   R   B;maske_1.bmp;maske_2.bmp;Dessert 8.jpg;0.07600000000000001;V   A   P   S;F   O   R   B;J   O   R   B;S   W   A   P;no;no;yes;no;yes;no
73;1;18;5.0;negative;L   E   M   K;maske_2.bmp;maske_1.bmp;Destruction 2.jpg;0.122;G   U   N   T;M   E   H   K;L   E   M   K;T   U   N   G;no;no;yes;no;no;yes
73;1;19;5.0;positive;G   U   T   Z;maske_2.bmp;maske_1.bmp;Beach 7.jpg;0.122;Z   U   N   T;K   L   E   H;G   U   T   Z;K   L   E   M;no;no;yes;no;yes;no
73;1;20;2.5;negative;S   W   A   P;maske_1.bmp;maske_2.bmp;Car accident 2.jpg;0.07600000000000001;S   W   A   P;J   O   R   F;V   A   P   S;B   O   R   F;yes;no;no;no;no;yes
73;1;21;5.0;positive;Z   U   N   G;maske_2.bmp;maske_1.bmp;School 2.jpg;0.122;K   E   H   M;L   E   M   K;N   U   G   Z;Z   U   N   G;no;no;no;yes;yes;no
73;1;22;2.5;negative;W   A   P   S;maske_1.bmp;maske_2.bmp;Cockroach 1.jpg;0.07600000000000001;J   O   R   B;R   O   B   F;S   A   P   V;W   A   P   S;no;no;yes;no;no;yes
73;1;23;5.0;positive;T   U   N   G;maske_2.bmp;maske_1.bmp;Lake 12.jpg;0.122;K   L   E   H;T   U   N   G;H   E   M   K;G   U   T   Z;no;yes;no;no;yes;no
73;1;24;5.0;negative;H   E   M   K;maske_1.bmp;maske_2.bmp;Angry face 3.jpg;0.122;G   N   U   Z;H   E   M   K;Z   U   N   G;K   E   H   M;no;yes;no;no;no;yes
73;1;25;2.5;positive;J   O   R   F;maske_2.bmp;maske_1.bmp;Baby 6.jpg;0.07600000000000001;R   O   B   F;P   S   A   V;S   V   A   W;J   O   R   F;no;no;no;yes;yes;no
73;1;26;2.5;negative;V   A   P   S;maske_1.bmp;maske_2.bmp;Ferret 1.jpg;0.07600000000000001;B   J   O   F;S   W   A   P;F   R   O   B;V   A   P   S;no;no;no;yes;no;yes
73;1;27;5.0;positive;G   U   N   T;maske_2.bmp;maske_1.bmp;Soup 1.jpg;0.122;H   E   M   K;K   E   L   M;Z   U   N   G;G   U   N   T;no;no;no;yes;yes;no
73;1;28;5.0;positive;N   U   G   Z;maske_2.bmp;maske_1.bmp;Zebra 1.jpg;0.122;N   U   G   Z;K   L   E   M;M   E   H   K;G   N   U   Z;yes;no;no;no;yes;no
73;1;29;2.5;negative;S   A   P   V;maske_2.bmp;maske_1.bmp;Animal carcass 3.jpg;0.07600000000000001;B   J   O   F;S   A   P   V;P   S   A   V;F   O   R   B;no;no;no;yes;no;yes
73;1;30;5.0;positive;T   U   G   Z;maske_2.bmp;maske_1.bmp;Picnic 1.jpg;0.122;G   U   N   T;T   U   G   Z;K   E   L   M;M   E   H   K;no;yes;no;no;yes;no
73;1;31;2.5;positive;B   O   R   F;maske_2.bmp;maske_1.bmp;Dessert 5.jpg;0.07600000000000001;V   A   S   P;W   A   P   S;J   O   B   F;B   O   R   F;no;no;yes;no;yes;no
73;1;32;2.5;positive;J   O   B   F;maske_1.bmp;maske_2.bmp;Bird 3.jpg;0.07600000000000001;P   S   A   V;B   O   R   F;J   O   B   F;S   P   A   V;no;yes;no;no;yes;no
73;2;1;5.0;negative;K   L   E   M;maske_1.bmp;maske_2.bmp;Car accident 2.jpg;0.122;T   U   G   Z;L   E   M   K;K   L   E   M;Z   U   N   T;no;no;yes;no;no;yes
73;2;2;2.5;positive;B   O   R   F;maske_1.bmp;maske_2.bmp;Elephant 1.jpg;0.07600000000000001;P   S   A   V;W   A   P   S;B   O   R   F;F   R   O   B;no;no;yes;no;yes;no
