subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;id_opt_1;id_opt_2;id_opt_3;id_opt_4;opt_1;opt_2;opt_3;opt_4;VF_pos;VF_neg
7;1;31;2.5;negative;M   E   H   K;maske_1.bmp;maske_2.bmp;Gun 5.jpg;0.088;M   E   H   K;N   U   G   Z;H   E   M   K;T   U   N   G;yes;no;no;no;no;yes
7;1;32;2.5;negative;K   L   E   M;maske_1.bmp;maske_2.bmp;Destruction 2.jpg;0.088;K   L   E   H;Z   U   N   T;Z   U   N   G;K   L   E   M;no;no;no;yes;no;yes
7;2;1;5.0;negative;F   O   R   B;maske_1.bmp;maske_2.bmp;Fire 2.jpg;0.1;S   V   A   W;W   A   P   S;F   R   O   B;F   O   R   B;no;no;no;yes;no;yes
7;2;2;2.5;negative;K   L   E   H;maske_1.bmp;maske_2.bmp;Hangover 1.jpg;0.088;T   U   N   G;M   E   H   K;K   L   E   H;G   U   T   Z;no;yes;no;no;no;yes
7;2;3;5.0;negative;B   O   R   F;maske_2.bmp;maske_1.bmp;Sad face 1.jpg;0.1;F   O   R   B;V   A   P   S;B   O   R   F;S   P   A   V;no;no;yes;no;no;yes
7;2;4;5.0;negative;B   J   O   F;maske_2.bmp;maske_1.bmp;Angry face 3.jpg;0.1;V   A   P   S;J   O   R   B;B   J   O   F;S   P   A   V;no;no;yes;no;no;yes
7;2;5;5.0;negative;F   R   O   B;maske_1.bmp;maske_2.bmp;Gun 5.jpg;0.1;S   V   A   W;V   A   S   P;B   J   O   F;F   R   O   B;no;no;no;yes;no;yes
7;2;6;2.5;negative;K   E   L   M;maske_1.bmp;maske_2.bmp;Dog 31.jpg;0.088;T   U   G   Z;K   L   E   M;K   E   L   M;Z   U   N   T;no;no;yes;no;no;yes
7;2;7;5.0;positive;P   S   A   V;maske_1.bmp;maske_2.bmp;Massage 1.jpg;0.1;F   O   R   B;J   O   B   F;P   S   A   V;S   W   A   P;no;no;yes;no;yes;no
7;2;8;2.5;negative;H   E   L   K;maske_1.bmp;maske_2.bmp;Miserable face 2.jpg;0.088;H   E   L   K;N   U   G   Z;Z   U   N   G;L   E   M   K;no;no;yes;no;no;yes
7;2;9;2.5;positive;G   N   U   Z;maske_1.bmp;maske_2.bmp;Collaboration 1.jpg;0.088;L   E   M   K;K   L   E   M;G   N   U   Z;N   U   G   Z;no;no;yes;no;yes;no
7;2;10;2.5;positive;G   U   T   Z;maske_2.bmp;maske_1.bmp;Soup 1.jpg;0.088;K   L   E   M;K   L   E   H;Z   U   N   T;G   U   T   Z;no;no;no;yes;yes;no
7;2;11;2.5;negative;L   E   M   K;maske_2.bmp;maske_1.bmp;Dog 23.jpg;0.088;G   U   T   Z;T   U   N   G;H   E   L   K;L   E   M   K;yes;no;no;no;no;yes
7;2;12;5.0;negative;R   O   B   F;maske_1.bmp;maske_2.bmp;Flood 1.jpg;0.1;J   O   B   F;S   W   A   P;R   O   B   F;P   S   A   V;no;no;yes;no;no;yes
7;2;13;5.0;positive;S   A   P   V;maske_2.bmp;maske_1.bmp;Fireworks 2.jpg;0.1;S   A   P   V;V   A   P   S;B   J   O   F;F   R   O   B;yes;no;no;no;yes;no
7;2;14;5.0;positive;S   W   A   P;maske_2.bmp;maske_1.bmp;Parade 1.jpg;0.1;J   O   B   F;S   W   A   P;W   A   P   S;J   O   R   B;no;yes;no;no;yes;no
7;2;15;2.5;positive;G   U   N   T;maske_1.bmp;maske_2.bmp;Dessert 8.jpg;0.088;T   U   G   Z;L   E   M   K;H   E   L   K;G   U   N   T;no;no;no;yes;yes;no
7;2;16;5.0;positive;W   A   P   S;maske_2.bmp;maske_1.bmp;Cat 5.jpg;0.1;S   P   A   V;J   O   R   F;B   J   O   F;W   A   P   S;no;no;no;yes;yes;no
7;2;17;5.0;positive;V   A   S   P;maske_2.bmp;maske_1.bmp;Bird 3.jpg;0.1;F   R   O   B;V   A   S   P;B   O   R   F;S   V   A   W;no;yes;no;no;yes;no
7;2;18;2.5;positive;N   U   G   Z;maske_2.bmp;maske_1.bmp;Children 1.jpg;0.088;H   E   L   K;N   U   G   Z;H   E   M   K;T   U   N   G;no;yes;no;no;yes;no
7;2;19;2.5;negative;M   E   H   K;maske_1.bmp;maske_2.bmp;Prison 2.jpg;0.088;G   U   N   T;G   N   U   Z;K   L   E   H;M   E   H   K;no;yes;no;no;no;yes
7;2;20;2.5;negative;K   E   H   M;maske_2.bmp;maske_1.bmp;Sad pose 1.jpg;0.088;G   N   U   Z;K   E   H   M;G   U   N   T;H   E   M   K;no;yes;no;no;no;yes
7;2;21;5.0;negative;J   O   R   B;maske_2.bmp;maske_1.bmp;Depressed pose 1.jpg;0.1;S   W   A   P;J   O   R   B;R   O   B   F;S   A   P   V;no;yes;no;no;no;yes
7;2;22;2.5;negative;H   E   M   K;maske_1.bmp;maske_2.bmp;Destruction 2.jpg;0.088;H   E   M   K;K   E   H   M;Z   U   N   G;N   U   G   Z;yes;no;no;no;no;yes
7;2;23;5.0;negative;J   O   R   F;maske_2.bmp;maske_1.bmp;Toilet 4.jpg;0.1;J   O   R   F;S   A   P   V;B   O   R   F;P   S   A   V;yes;no;no;no;no;yes
7;2;24;5.0;positive;S   P   A   V;maske_1.bmp;maske_2.bmp;Siblings 1.jpg;0.1;S   P   A   V;R   O   B   F;F   O   R   B;P   S   A   V;yes;no;no;no;yes;no
7;2;25;2.5;positive;Z   U   N   T;maske_1.bmp;maske_2.bmp;Elephant 1.jpg;0.088;M   E   H   K;K   L   E   H;G   U   N   T;Z   U   N   T;no;no;no;yes;yes;no
7;2;26;2.5;positive;T   U   N   G;maske_1.bmp;maske_2.bmp;Baby 8.jpg;0.088;K   E   H   M;G   N   U   Z;K   E   L   M;T   U   N   G;no;no;yes;no;yes;no
7;2;27;5.0;positive;S   V   A   W;maske_2.bmp;maske_1.bmp;Picnic 1.jpg;0.1;V   A   S   P;S   V   A   W;J   O   R   B;R   O   B   F;no;yes;no;no;yes;no
7;2;28;5.0;positive;V   A   P   S;maske_2.bmp;maske_1.bmp;Chipmunk 1.jpg;0.1;S   A   P   V;J   O   R   F;V   A   P   S;B   O   R   F;no;no;yes;no;yes;no
7;2;29;2.5;negative;K   L   E   M;maske_1.bmp;maske_2.bmp;Fire 7.jpg;0.088;Z   U   N   T;T   U   G   Z;K   E   L   M;K   L   E   M;no;no;no;yes;no;yes
7;2;30;2.5;positive;Z   U   N   G;maske_2.bmp;maske_1.bmp;Father 1.jpg;0.088;H   E   M   K;M   E   H   K;Z   U   N   G;G   U   T   Z;no;no;yes;no;yes;no
7;2;31;5.0;negative;J   O   B   F;maske_1.bmp;maske_2.bmp;Fence 4.jpg;0.1;V   A   S   P;W   A   P   S;J   O   B   F;J   O   R   F;no;no;no;yes;no;yes
7;2;32;2.5;positive;T   U   G   Z;maske_2.bmp;maske_1.bmp;Excited face 3.jpg;0.088;K   E   L   M;K   E   H   M;Z   U   N   G;T   U   G   Z;no;no;no;yes;yes;no
7;3;1;5.0;negative;B   O   R   F;maske_2.bmp;maske_1.bmp;Depressed pose 1.jpg;0.1;B   O   R   F;S   V   A   W;F   O   R   B;S   P   A   V;yes;no;no;no;no;yes
7;3;2;2.5;negative;K   E   L   M;maske_2.bmp;maske_1.bmp;Hangover 1.jpg;0.088;L   E   M   K;N   U   G   Z;G   U   N   T;K   E   L   M;no;no;no;yes;no;yes
7;3;3;2.5;negative;H   E   M   K;maske_1.bmp;maske_2.bmp;Ferret 1.jpg;0.088;Z   U   N   T;G   N   U   Z;H   E   L   K;H   E   M   K;no;no;no;yes;no;yes
7;3;4;2.5;positive;G   U   T   Z;maske_2.bmp;maske_1.bmp;Nude couple 7.jpg;0.088;L   E   M   K;G   U   N   T;G   U   T   Z;K   E   L   M;no;yes;no;no;yes;no
7;3;5;5.0;positive;W   A   P   S;maske_1.bmp;maske_2.bmp;Cat 4.jpg;0.1;P   S   A   V;B   O   R   F;W   A   P   S;J   O   R   B;no;no;yes;no;yes;no
7;3;6;5.0;negative;B   J   O   F;maske_2.bmp;maske_1.bmp;Hallway 1.jpg;0.1;S   W   A   P;F   R   O   B;B   J   O   F;P   S   A   V;no;no;yes;no;no;yes
7;3;7;2.5;positive;Z   U   N   G;maske_1.bmp;maske_2.bmp;Happy pose 2.jpg;0.088;H   E   M   K;Z   U   N   T;Z   U   N   G;H   E   L   K;no;no;yes;no;yes;no
7;3;8;2.5;positive;T   U   G   Z;maske_2.bmp;maske_1.bmp;Birthday 1.jpg;0.088;K   L   E   H;H   E   M   K;T   U   G   Z;N   U   G   Z;no;no;yes;no;yes;no
7;3;9;2.5;positive;N   U   G   Z;maske_1.bmp;maske_2.bmp;Beach 6.jpg;0.088;N   U   G   Z;M   E   H   K;T   U   G   Z;K   L   E   M;no;no;yes;no;yes;no
7;3;10;2.5;positive;G   N   U   Z;maske_1.bmp;maske_2.bmp;Beach 5.jpg;0.088;M   E   H   K;G   N   U   Z;H   E   L   K;T   U   N   G;no;yes;no;no;yes;no
7;3;11;5.0;negative;J   O   R   F;maske_1.bmp;maske_2.bmp;Garbage dump 6.jpg;0.1;B   O   R   F;J   O   R   F;V   A   P   S;W   A   P   S;no;yes;no;no;no;yes
7;3;12;5.0;negative;J   O   B   F;maske_2.bmp;maske_1.bmp;Destruction 10.jpg;0.1;S   W   A   P;J   O   R   B;V   A   P   S;J   O   B   F;no;yes;no;no;no;yes
7;3;13;5.0;negative;R   O   B   F;maske_2.bmp;maske_1.bmp;Frustrated pose 3.jpg;0.1;R   O   B   F;V   A   S   P;J   O   R   F;W   A   P   S;yes;no;no;no;no;yes
7;3;14;2.5;negative;H   E   L   K;maske_1.bmp;maske_2.bmp;Animal carcass 3.jpg;0.088;G   U   T   Z;K   L   E   M;N   U   G   Z;H   E   L   K;no;no;yes;no;no;yes
7;3;15;5.0;positive;S   P   A   V;maske_1.bmp;maske_2.bmp;Cat 5.jpg;0.1;S   P   A   V;B   J   O   F;S   V   A   W;F   R   O   B;yes;no;no;no;yes;no
7;3;16;2.5;negative;K   E   H   M;maske_2.bmp;maske_1.bmp;Pollution 1.jpg;0.088;K   E   H   M;T   U   G   Z;G   U   N   T;K   E   L   M;no;no;no;yes;no;yes
7;3;17;5.0;negative;F   R   O   B;maske_2.bmp;maske_1.bmp;Jail 1.jpg;0.1;S   A   P   V;S   P   A   V;R   O   B   F;F   R   O   B;no;no;no;yes;no;yes
7;3;18;5.0;positive;V   A   P   S;maske_1.bmp;maske_2.bmp;Dessert 5.jpg;0.1;S   A   P   V;V   A   P   S;B   J   O   F;J   O   B   F;no;yes;no;no;yes;no
7;3;19;5.0;positive;V   A   S   P;maske_2.bmp;maske_1.bmp;Bird 1.jpg;0.1;R   O   B   F;V   A   S   P;F   O   R   B;W   A   P   S;no;yes;no;no;yes;no
7;3;20;5.0;negative;F   O   R   B;maske_2.bmp;maske_1.bmp;Angry face 3.jpg;0.1;S   A   P   V;J   O   B   F;P   S   A   V;F   O   R   B;no;no;no;yes;no;yes
7;3;21;2.5;negative;K   L   E   H;maske_2.bmp;maske_1.bmp;Sad face 1.jpg;0.088;K   L   E   H;Z   U   N   T;T   U   N   G;K   E   H   M;no;no;no;yes;no;yes
7;3;22;2.5;negative;M   E   H   K;maske_2.bmp;maske_1.bmp;Cemetery 5.jpg;0.088;T   U   N   G;K   L   E   H;M   E   H   K;G   N   U   Z;no;no;yes;no;no;yes
7;3;23;2.5;negative;L   E   M   K;maske_1.bmp;maske_2.bmp;Angry face 4.jpg;0.088;M   E   H   K;G   U   T   Z;L   E   M   K;Z   U   N   G;yes;no;no;no;no;yes
7;3;24;5.0;positive;S   V   A   W;maske_1.bmp;maske_2.bmp;Collaboration 1.jpg;0.1;V   A   P   S;F   O   R   B;S   V   A   W;J   O   R   B;no;no;yes;no;yes;no
7;3;25;5.0;positive;S   A   P   V;maske_1.bmp;maske_2.bmp;Beach 7.jpg;0.1;J   O   B   F;V   A   S   P;F   R   O   B;S   A   P   V;no;no;no;yes;yes;no
7;3;26;5.0;positive;P   S   A   V;maske_1.bmp;maske_2.bmp;Parade 1.jpg;0.1;B   O   R   F;P   S   A   V;J   O   R   F;S   W   A   P;no;yes;no;no;no;yes
7;3;27;2.5;positive;T   U   N   G;maske_1.bmp;maske_2.bmp;Baby 2.jpg;0.088;K   L   E   M;G   N   U   Z;K   E   L   M;T   U   N   G;yes;no;no;no;yes;no
7;3;28;5.0;positive;S   W   A   P;maske_2.bmp;maske_1.bmp;Gazing 6.jpg;0.1;S   P   A   V;R   O   B   F;J   O   R   F;S   W   A   P;no;no;no;yes;yes;no
7;3;29;2.5;positive;Z   U   N   T;maske_1.bmp;maske_2.bmp;School 2.jpg;0.088;Z   U   N   G;Z   U   N   T;K   L   E   H;K   E   H   M;no;no;yes;no;yes;no
7;3;30;5.0;negative;J   O   R   B;maske_2.bmp;maske_1.bmp;Prison 2.jpg;0.1;B   J   O   F;V   A   S   P;J   O   R   B;S   V   A   W;no;no;yes;no;yes;no
7;3;31;2.5;positive;G   U   N   T;maske_2.bmp;maske_1.bmp;Sunset 3.jpg;0.088;K   E   H   M;L   E   M   K;G   U   N   T;G   U   T   Z;no;no;no;yes;yes;no
7;3;32;2.5;negative;K   L   E   M;maske_1.bmp;maske_2.bmp;Fence 4.jpg;0.088;Z   U   N   G;K   L   E   M;H   E   M   K;T   U   G   Z;no;no;yes;no;no;yes
