subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals_for_calc; reversals_total; stepsize; pas_rating;VF_pos;VF_neg
52;1;60;2.5;positive;S   V   A   W;maske_1.bmp;maske_2.bmp;Flowers 4.jpg;0.03999999999999998;1;1;8;24;0.001;2;yes;no
52;1;61;2.5;negative;J   O   B   F;maske_1.bmp;maske_2.bmp;Animal carcass 1.jpg;0.04099999999999998;1;1;8;24;0.001;2;no;yes
52;1;62;2.5;negative;F   R   O   B;maske_2.bmp;maske_1.bmp;Sad face 1.jpg;0.04199999999999998;1;1;8;24;0.001;1;no;yes
52;1;63;5.0;positive;M   E   H   K;maske_2.bmp;maske_1.bmp;Dog 2.jpg;0.09399999999999997;-1;-1;11;21;0.001;5;yes;no
52;1;64;5.0;positive;K   L   E   H;maske_2.bmp;maske_1.bmp;Excited face 3.jpg;0.09399999999999997;-1;-1;11;21;0.001;5;yes;no
52;2;1;2.5;negative;F   O   R   B;maske_1.bmp;maske_2.bmp;Sad face 1.jpg;0.04299999999999998;1;1;8;24;0.001;2;no;yes
52;2;2;2.5;positive;S   P   A   V;maske_1.bmp;maske_2.bmp;Sunset 3.jpg;0.043999999999999984;1;1;8;24;0.001;1;yes;no
52;2;3;2.5;positive;P   S   A   V;maske_2.bmp;maske_1.bmp;Dessert 5.jpg;0.044999999999999984;1;-1;9;25;0.001;5;yes;no
52;2;4;2.5;positive;S   W   A   P;maske_2.bmp;maske_1.bmp;Happy pose 2.jpg;0.043999999999999984;-1;-1;9;25;0.001;3;yes;no
52;2;5;5.0;positive;K   L   E   H;maske_2.bmp;maske_1.bmp;Children 1.jpg;0.09399999999999997;-1;-1;11;21;0.001;5;yes;no
52;2;6;5.0;positive;H   E   M   K;maske_1.bmp;maske_2.bmp;School 2.jpg;0.09399999999999997;-1;1;12;22;0.001;4;yes;no
52;2;7;2.5;negative;R   O   B   F;maske_2.bmp;maske_1.bmp;Sad pose 1.jpg;0.04299999999999998;-1;-1;9;25;0.001;3;no;yes
52;2;8;2.5;positive;V   A   S   P;maske_2.bmp;maske_1.bmp;Picnic 1.jpg;0.04199999999999998;-1;1;10;26;0.001;2;yes;no
52;2;9;5.0;positive;L   E   M   K;maske_1.bmp;maske_2.bmp;Beach 4.jpg;0.09499999999999997;1;1;12;22;0.001;1;yes;no
52;2;10;5.0;negative;T   U   G   Z;maske_1.bmp;maske_2.bmp;Dog 31.jpg;0.09599999999999997;1;1;12;22;0.001;4;no;yes
52;2;11;2.5;positive;S   V   A   W;maske_2.bmp;maske_1.bmp;Mother 6.jpg;0.04299999999999998;1;1;10;26;0.001;2;yes;no
52;2;12;5.0;positive;H   E   L   K;maske_1.bmp;maske_2.bmp;Fireworks 2.jpg;0.09699999999999998;1;-1;13;23;0.001;6;yes;no
52;2;13;2.5;negative;J   O   R   F;maske_1.bmp;maske_2.bmp;Dog 23.jpg;0.043999999999999984;1;-1;11;27;0.001;3;no;yes
52;2;14;2.5;positive;S   A   P   V;maske_2.bmp;maske_1.bmp;Siblings 1.jpg;0.04299999999999998;-1;-1;11;27;0.001;3;yes;no
52;2;15;5.0;negative;Z   U   N   T;maske_2.bmp;maske_1.bmp;Ferret 1.jpg;0.09599999999999997;-1;-1;13;23;0.001;6;no;yes
52;2;16;2.5;positive;V   A   P   S;maske_1.bmp;maske_2.bmp;Excited face 5.jpg;0.04199999999999998;-1;1;12;28;0.001;2;yes;no
52;2;17;5.0;positive;K   E   L   M;maske_1.bmp;maske_2.bmp;Excited face 3.jpg;0.09499999999999997;-1;-1;13;23;0.001;5;yes;no
52;2;18;2.5;negative;J   O   R   B;maske_1.bmp;maske_2.bmp;Garbage dump 1.jpg;0.04299999999999998;1;-1;13;29;0.001;3;no;yes
52;2;19;5.0;negative;Z   U   N   G;maske_2.bmp;maske_1.bmp;Toilet 4.jpg;0.09499999999999997;-1;-1;13;23;0.001;5;no;yes
52;2;20;2.5;negative;B   O   R   F;maske_1.bmp;maske_2.bmp;Destruction 10.jpg;0.04199999999999998;-1;-1;13;29;0.001;3;no;yes
52;2;21;5.0;negative;G   U   N   T;maske_1.bmp;maske_2.bmp;Flood 2.jpg;0.09499999999999997;-1;1;14;24;0.001;4;no;yes
52;2;22;5.0;positive;M   E   H   K;maske_1.bmp;maske_2.bmp;Collaboration 1.jpg;0.09599999999999997;1;-1;15;25;0.001;6;yes;no
52;2;23;5.0;negative;T   U   N   G;maske_1.bmp;maske_2.bmp;Depressed pose 1.jpg;0.09499999999999997;-1;-1;15;25;0.001;6;no;yes
52;2;24;2.5;negative;B   J   O   F;maske_1.bmp;maske_2.bmp;Miserable pose 4.jpg;0.04099999999999998;-1;-1;13;29;0.001;4;no;yes
52;2;25;5.0;negative;G   N   U   Z;maske_2.bmp;maske_1.bmp;Destruction 2.jpg;0.09399999999999997;-1;-1;15;25;0.001;6;no;yes
52;2;26;2.5;negative;J   O   B   F;maske_1.bmp;maske_2.bmp;Baby 7.jpg;0.03999999999999998;-1;-1;13;29;0.001;3;no;yes
52;2;27;2.5;positive;W   A   P   S;maske_1.bmp;maske_2.bmp;Parade 1.jpg;0.03899999999999998;-1;-1;13;29;0.001;5;yes;no
52;2;28;5.0;negative;G   U   T   Z;maske_1.bmp;maske_2.bmp;Hallway 1.jpg;0.09299999999999997;-1;-1;15;25;0.001;5;no;yes
52;2;29;5.0;positive;K   L   E   M;maske_2.bmp;maske_1.bmp;Coffee 1.jpg;0.09299999999999997;-1;-1;15;25;0.001;5;yes;no
52;2;30;5.0;negative;N   U   G   Z;maske_1.bmp;maske_2.bmp;Car crash 1.jpg;0.09299999999999997;-1;-1;15;25;0.001;6;no;yes
52;2;31;2.5;negative;F   R   O   B;maske_1.bmp;maske_2.bmp;Garbage dump 5.jpg;0.03799999999999998;-1;-1;13;29;0.001;3;no;yes
52;2;32;5.0;positive;K   E   H   M;maske_2.bmp;maske_1.bmp;Mother 1.jpg;0.09199999999999997;-1;-1;15;25;0.001;5;yes;no
52;2;33;2.5;negative;J   O   R   B;maske_2.bmp;maske_1.bmp;Frustrated pose 7.jpg;0.03699999999999998;-1;-1;13;29;0.001;3;no;yes
52;2;34;5.0;negative;G   U   T   Z;maske_2.bmp;maske_1.bmp;Frustrated pose 3.jpg;0.09199999999999997;-1;-1;15;25;0.001;6;no;yes
52;2;35;5.0;positive;H   E   M   K;maske_2.bmp;maske_1.bmp;Beach 6.jpg;0.09099999999999997;-1;-1;15;25;0.001;6;yes;no
52;2;36;2.5;positive;S   V   A   W;maske_1.bmp;maske_2.bmp;Picnic 2.jpg;0.035999999999999976;-1;-1;13;29;0.001;5;yes;no
52;2;37;5.0;negative;Z   U   N   T;maske_1.bmp;maske_2.bmp;Flood 1.jpg;0.08999999999999997;-1;-1;15;25;0.001;5;yes;no
52;2;38;2.5;negative;R   O   B   F;maske_1.bmp;maske_2.bmp;Fence 4.jpg;0.034999999999999976;-1;-1;13;29;0.001;3;no;yes
52;2;39;2.5;negative;F   R   O   B;maske_2.bmp;maske_1.bmp;Gun 5.jpg;0.033999999999999975;-1;-1;13;29;0.001;3;no;yes
52;2;40;5.0;negative;T   U   N   G;maske_2.bmp;maske_1.bmp;Hangover 1.jpg;0.08999999999999997;-1;-1;15;25;0.001;6;no;yes
52;2;41;5.0;positive;K   L   E   M;maske_1.bmp;maske_2.bmp;Yoga 3.jpg;0.08899999999999997;-1;-1;15;25;0.001;6;yes;no
52;2;42;5.0;positive;H   E   L   K;maske_2.bmp;maske_1.bmp;Sunflower 1.jpg;0.08799999999999997;-1;-1;15;25;0.001;5;yes;no
52;2;43;5.0;negative;G   N   U   Z;maske_1.bmp;maske_2.bmp;Cemetery 5.jpg;0.08799999999999997;-1;-1;15;25;0.001;6;no;yes
52;2;44;5.0;negative;T   U   G   Z;maske_2.bmp;maske_1.bmp;Miserable face 2.jpg;0.08699999999999997;-1;-1;15;25;0.001;6;no;yes
52;2;45;5.0;negative;Z   U   N   G;maske_1.bmp;maske_2.bmp;Fire 7.jpg;0.08599999999999997;-1;-1;15;25;0.001;6;no;yes
52;2;46;5.0;positive;L   E   M   K;maske_2.bmp;maske_1.bmp;Elephant 1.jpg;0.08499999999999996;-1;-1;15;25;0.001;6;yes;no
52;2;47;2.5;positive;V   A   S   P;maske_1.bmp;maske_2.bmp;Dessert 8.jpg;0.032999999999999974;-1;-1;13;29;0.001;5;yes;no
52;2;48;2.5;positive;S   W   A   P;maske_1.bmp;maske_2.bmp;Nude couple 7.jpg;0.03199999999999997;-1;-1;13;29;0.001;3;yes;no
52;2;49;2.5;positive;P   S   A   V;maske_1.bmp;maske_2.bmp;Chipmunk 1.jpg;0.030999999999999972;-1;-1;13;29;0.001;4;yes;no
52;2;50;5.0;negative;G   U   N   T;maske_2.bmp;maske_1.bmp;Garbage dump 6.jpg;0.08399999999999996;-1;-1;15;25;0.001;6;no;yes
52;2;51;2.5;positive;V   A   P   S;maske_2.bmp;maske_1.bmp;Beach 7.jpg;0.02999999999999997;-1;-1;13;29;0.001;4;yes;no
52;2;52;2.5;negative;J   O   B   F;maske_2.bmp;maske_1.bmp;Intensity 1.jpg;0.02899999999999997;-1;-1;13;29;0.001;3;no;yes
52;2;53;5.0;positive;K   L   E   H;maske_1.bmp;maske_2.bmp;Massage 1.jpg;0.08299999999999996;-1;1;16;26;0.001;3;yes;no
