subjnr;adaptation_target;us_valence;eval_rating;cs_filename
80;pas_2.5;positive;17;H   E   M   K
80;pas_5;positive;12;V   A   P   S
80;pas_2.5;positive;18;K   L   E   H
80;pas_2.5;positive;10;M   E   H   K
80;pas_5;negative;5;F   O   R   B
80;pas_5;positive;1;S   W   A   P
80;pas_5;positive;4;V   A   S   P
80;pas_5;positive;4;S   A   P   V
80;pas_5;negative;5;J   O   R   F
80;pas_5;negative;5;F   R   O   B
80;pas_2.5;negative;1;Z   U   N   T
80;pas_5;positive;8;S   V   A   W
80;pas_5;negative;5;J   O   R   B
80;pas_2.5;negative;3;T   U   N   G
80;pas_2.5;positive;8;K   L   E   M
80;pas_5;positive;10;W   A   P   S
80;pas_2.5;positive;8;K   E   L   M
80;pas_2.5;positive;10;K   E   H   M
80;pas_2.5;positive;12;L   E   M   K
80;pas_5;positive;10;S   P   A   V
80;pas_2.5;negative;1;N   U   G   Z
80;pas_5;negative;3;J   O   B   F
80;pas_2.5;negative;3;T   U   G   Z
80;pas_2.5;positive;16;H   E   L   K
80;pas_5;positive;6;P   S   A   V
80;pas_2.5;negative;10;G   N   U   Z
80;pas_5;negative;7;R   O   B   F
80;pas_5;negative;11;B   O   R   F
80;pas_2.5;negative;7;G   U   T   Z
80;pas_5;negative;12;B   J   O   F
80;pas_2.5;negative;13;Z   U   N   G
80;pas_2.5;negative;14;G   U   N   T
