subjnr;adaptation_target;cs_filename;us_valence;pos_sure;pos_probably;pos_guess;neg_sure;neg_probably;neg_guess
73;pas_5;N   U   G   Z;positive;yes;no;no;no;no;no
73;pas_5;H   E   L   K;negative;no;no;no;yes;no;no
73;pas_2.5;S   W   A   P;negative;no;no;no;yes;no;no
73;pas_2.5;P   S   A   V;negative;no;no;no;no;yes;no
73;pas_5;L   E   M   K;negative;no;yes;no;no;no;no
73;pas_2.5;B   O   R   F;positive;no;yes;no;no;no;no
73;pas_5;H   E   M   K;negative;no;no;no;yes;no;no
73;pas_2.5;B   J   O   F;positive;no;yes;no;no;no;no
73;pas_2.5;F   O   R   B;positive;no;no;yes;no;no;no
73;pas_2.5;S   V   A   W;negative;no;no;no;no;no;yes
73;pas_2.5;R   O   B   F;positive;no;no;no;no;no;yes
73;pas_5;K   E   L   M;negative;no;no;no;yes;no;no
73;pas_5;G   U   T   Z;positive;yes;no;no;no;no;no
73;pas_2.5;J   O   B   F;positive;no;no;no;no;yes;no
73;pas_5;G   N   U   Z;positive;yes;no;no;no;no;no
73;pas_5;T   U   G   Z;positive;yes;no;no;no;no;no
73;pas_2.5;S   A   P   V;negative;no;no;no;no;no;yes
73;pas_5;T   U   N   G;positive;yes;no;no;no;no;no
73;pas_5;Z   U   N   G;positive;yes;no;no;no;no;no
73;pas_2.5;V   A   S   P;negative;no;no;no;yes;no;no
73;pas_5;K   L   E   M;negative;no;no;no;yes;no;no
73;pas_2.5;J   O   R   B;positive;no;no;no;no;yes;no
73;pas_2.5;J   O   R   F;positive;no;no;no;no;no;yes
73;pas_2.5;W   A   P   S;negative;no;no;no;no;no;yes
73;pas_5;Z   U   N   T;positive;yes;no;no;no;no;no
73;pas_5;M   E   H   K;negative;no;no;no;yes;no;no
73;pas_5;K   E   H   M;negative;no;no;no;yes;no;no
73;pas_2.5;V   A   P   S;negative;no;no;no;yes;no;no
73;pas_5;K   L   E   H;negative;no;no;no;yes;no;no
73;pas_2.5;F   R   O   B;positive;no;yes;no;no;no;no
73;pas_2.5;S   P   A   V;negative;no;yes;no;no;no;no
73;pas_5;G   U   N   T;positive;yes;no;no;no;no;no
