subjnr;adaptation_target;us_valence;eval_rating;cs_filename
72;pas_2.5;negative;3;N   U   G   Z
72;pas_2.5;positive;8;L   E   M   K
72;pas_2.5;negative;6;G   U   N   T
72;pas_2.5;negative;0;T   U   G   Z
72;pas_2.5;positive;13;K   L   E   H
72;pas_2.5;negative;11;Z   U   N   G
72;pas_2.5;negative;11;T   U   N   G
72;pas_5;negative;1;J   O   B   F
72;pas_5;positive;15;W   A   P   S
72;pas_2.5;positive;17;K   L   E   M
72;pas_5;negative;13;F   O   R   B
72;pas_5;positive;2;S   A   P   V
72;pas_2.5;negative;3;G   U   T   Z
72;pas_5;negative;13;F   R   O   B
72;pas_2.5;positive;4;M   E   H   K
72;pas_5;positive;15;S   W   A   P
72;pas_2.5;positive;12;H   E   L   K
72;pas_5;positive;4;V   A   P   S
72;pas_5;negative;0;B   J   O   F
72;pas_2.5;negative;11;Z   U   N   T
72;pas_5;positive;3;S   P   A   V
72;pas_2.5;positive;0;K   E   H   M
72;pas_5;negative;4;J   O   R   F
72;pas_5;positive;0;S   V   A   W
72;pas_2.5;negative;5;G   N   U   Z
72;pas_5;negative;5;J   O   R   B
72;pas_5;negative;11;B   O   R   F
72;pas_5;positive;12;P   S   A   V
72;pas_5;negative;1;R   O   B   F
72;pas_2.5;positive;12;K   E   L   M
72;pas_2.5;positive;13;H   E   M   K
72;pas_5;positive;4;V   A   S   P
