subjnr;adaptation_target;us_valence;eval_rating;cs_filename
21;pas_2.5;negative;5;K   L   E   M
21;pas_2.5;positive;11;G   U   T   Z
21;pas_2.5;positive;13;Z   U   N   G
21;pas_5;negative;4;S   P   A   V
21;pas_5;negative;8;S   A   P   V
21;pas_5;negative;11;W   A   P   S
21;pas_5;negative;7;V   A   S   P
21;pas_2.5;positive;16;N   U   G   Z
21;pas_2.5;positive;13;Z   U   N   T
21;pas_5;positive;15;J   O   R   B
21;pas_2.5;negative;12;K   L   E   H
21;pas_2.5;negative;11;K   E   H   M
21;pas_2.5;negative;11;H   E   M   K
21;pas_2.5;positive;9;G   N   U   Z
21;pas_2.5;negative;7;M   E   H   K
21;pas_2.5;negative;11;L   E   M   K
21;pas_5;negative;3;P   S   A   V
21;pas_2.5;positive;4;T   U   G   Z
21;pas_2.5;negative;7;K   E   L   M
21;pas_5;positive;12;F   R   O   B
21;pas_5;positive;12;F   O   R   B
21;pas_5;positive;7;B   J   O   F
21;pas_5;positive;8;R   O   B   F
21;pas_5;positive;11;J   O   R   F
21;pas_2.5;positive;5;T   U   N   G
21;pas_2.5;positive;5;G   U   N   T
21;pas_5;positive;8;B   O   R   F
21;pas_5;negative;11;S   W   A   P
21;pas_5;negative;0;S   V   A   W
21;pas_5;positive;10;J   O   B   F
21;pas_5;negative;6;V   A   P   S
21;pas_2.5;negative;12;H   E   L   K
