subjnr;adaptation_target;us_valence;eval_rating;cs_filename
81;pas_5;negative;12;M   E   H   K
81;pas_5;negative;6;K   L   E   M
81;pas_2.5;negative;3;S   V   A   W
81;pas_5;positive;6;N   U   G   Z
81;pas_5;negative;13;H   E   L   K
81;pas_5;negative;7;H   E   M   K
81;pas_5;negative;5;K   E   L   M
81;pas_2.5;negative;17;W   A   P   S
81;pas_2.5;positive;18;B   J   O   F
81;pas_5;positive;3;G   N   U   Z
81;pas_2.5;negative;13;S   W   A   P
81;pas_2.5;negative;4;V   A   S   P
81;pas_5;positive;9;G   U   N   T
81;pas_5;positive;5;G   U   T   Z
81;pas_5;negative;12;L   E   M   K
81;pas_5;positive;3;T   U   G   Z
81;pas_2.5;negative;4;S   A   P   V
81;pas_2.5;negative;15;S   P   A   V
81;pas_2.5;positive;15;R   O   B   F
81;pas_2.5;positive;17;J   O   R   F
81;pas_5;positive;18;Z   U   N   G
81;pas_5;positive;15;T   U   N   G
81;pas_5;negative;13;K   E   H   M
81;pas_5;positive;10;Z   U   N   T
81;pas_2.5;positive;5;J   O   B   F
81;pas_2.5;negative;11;P   S   A   V
81;pas_2.5;negative;17;V   A   P   S
81;pas_5;negative;11;K   L   E   H
81;pas_2.5;positive;17;F   O   R   B
81;pas_2.5;positive;15;J   O   R   B
81;pas_2.5;positive;13;B   O   R   F
81;pas_2.5;positive;10;F   R   O   B
