subjnr;adaptation_target;us_valence;eval_rating;cs_filename
46;pas_2.5;positive;9;K   L   E   H
46;pas_2.5;negative;9;T   U   G   Z
46;pas_2.5;negative;14;T   U   N   G
46;pas_5;negative;15;S   A   P   V
46;pas_5;positive;15;J   O   R   F
46;pas_5;negative;17;V   A   P   S
46;pas_2.5;negative;19;G   U   T   Z
46;pas_5;positive;19;F   O   R   B
46;pas_2.5;positive;19;K   L   E   M
46;pas_2.5;negative;19;Z   U   N   T
46;pas_2.5;negative;19;G   N   U   Z
46;pas_5;positive;11;R   O   B   F
46;pas_5;positive;16;J   O   R   B
46;pas_2.5;negative;10;N   U   G   Z
46;pas_5;negative;12;P   S   A   V
46;pas_5;positive;13;B   J   O   F
46;pas_2.5;positive;16;K   E   H   M
46;pas_5;negative;17;S   P   A   V
46;pas_5;positive;18;B   O   R   F
46;pas_5;negative;18;W   A   P   S
46;pas_2.5;positive;3;M   E   H   K
46;pas_2.5;positive;9;H   E   M   K
46;pas_2.5;negative;14;Z   U   N   G
46;pas_5;negative;5;S   V   A   W
46;pas_2.5;positive;10;K   E   L   M
46;pas_2.5;positive;14;L   E   M   K
46;pas_5;positive;11;J   O   B   F
46;pas_5;negative;15;S   W   A   P
46;pas_5;negative;13;V   A   S   P
46;pas_2.5;positive;16;H   E   L   K
46;pas_2.5;negative;16;G   U   N   T
46;pas_5;positive;17;F   R   O   B
