ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp	TrialNr
1	70	12.216000	Issanif	./sounds/cs/ratingcs/nif_9.wav	0	cs3	labor1	2015-06-03_09.58.57.485000	1
1	80	8.102000	Dilitol	./sounds/cs/ratingcs/tol_8.wav	-1	target	labor1	2015-06-03_09.58.57.485000	2
1	80	3.716000	Dullanif	./sounds/cs/ratingcs/nif_14.wav	0	cs3	labor1	2015-06-03_09.58.57.485000	3
1	80	3.448000	Nomotol	./sounds/cs/ratingcs/tol_7.wav	0	cs1	labor1	2015-06-03_09.58.57.485000	4
1	81	3.242000	Lalatol	./sounds/cs/ratingcs/tol_1.wav	-1	target	labor1	2015-06-03_09.58.57.485000	5
1	81	4.346000	Dimmanif	./sounds/cs/ratingcs/nif_11.wav	0	cs3	labor1	2015-06-03_09.58.57.485000	6
1	69	3.377000	Dakatol	./sounds/cs/ratingcs/tol_6.wav	1	cs1	labor1	2015-06-03_09.58.57.485000	7
1	70	3.243000	Dakatol	./sounds/cs/ratingcs/tol_6.wav	0	cs1	labor1	2015-06-03_09.58.57.485000	8
1	81	5.195000	Reretol	./sounds/cs/ratingcs/tol_2.wav	-1	cs1	labor1	2015-06-03_09.58.57.485000	9
1	71	2.851000	Teppanif	./sounds/cs/ratingcs/nif_15.wav	0	cs3	labor1	2015-06-03_09.58.57.485000	10
1	70	3.393000	Rustutol	./sounds/cs/ratingcs/tol_15.wav	-1	target	labor1	2015-06-03_09.58.57.485000	11
1	70	2.989000	Renetol	./sounds/cs/ratingcs/tol_5.wav	-1	cs1	labor1	2015-06-03_09.58.57.485000	12
1	80	3.247000	Mofotol	./sounds/cs/ratingcs/tol_11.wav	-1	target	labor1	2015-06-03_09.58.57.485000	13
1	70	4.497000	Spanatol	./sounds/cs/ratingcs/tol_16.wav	1	target	labor1	2015-06-03_09.58.57.485000	14
1	79	3.091000	Hulutol	./sounds/cs/ratingcs/tol_20.wav	1	target	labor1	2015-06-03_09.58.57.485000	15
1	80	2.889000	Nomotol	./sounds/cs/ratingcs/tol_7.wav	1	cs1	labor1	2015-06-03_09.58.57.485000	16
1	79	3.297000	Nenetol	./sounds/cs/ratingcs/tol_19.wav	1	target	labor1	2015-06-03_09.58.57.485000	17
1	79	5.192000	Siritol	./sounds/cs/ratingcs/tol_18.wav	1	target	labor1	2015-06-03_09.58.57.485000	18
1	80	2.352000	Renetol	./sounds/cs/ratingcs/tol_5.wav	0	cs1	labor1	2015-06-03_09.58.57.485000	19
1	82	2.539000	Nanatol	./sounds/cs/ratingcs/tol_3.wav	-1	target	labor1	2015-06-03_09.58.57.485000	20
1	81	2.293000	Falatol	./sounds/cs/ratingcs/tol_4.wav	1	target	labor1	2015-06-03_09.58.57.485000	21
1	81	2.369000	Reretol	./sounds/cs/ratingcs/tol_2.wav	0	cs1	labor1	2015-06-03_09.58.57.485000	22
