ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp	TrialNr
48	75	9.998000	Lebbunif	./sounds/cs/ratingcs/nif_3.wav	1	target	labor1	2015-06-15_16.22.38.328000	1
48	65	4.276000	Dimmanif	./sounds/cs/ratingcs/nif_11.wav	-1	target	labor1	2015-06-15_16.22.38.328000	2
48	92	3.345000	Cellanif	./sounds/cs/ratingcs/nif_1.wav	-1	target	labor1	2015-06-15_16.22.38.328000	3
48	36	3.805000	Waneelup	./sounds/cs/ratingcs/lup_6.wav	1	cs2	labor1	2015-06-15_16.22.38.328000	4
48	93	2.938000	Kattanif	./sounds/cs/ratingcs/nif_13.wav	-1	target	labor1	2015-06-15_16.22.38.328000	5
48	56	2.512000	Missonif	./sounds/cs/ratingcs/nif_10.wav	-1	cs2	labor1	2015-06-15_16.22.38.328000	6
48	37	4.862000	Kennunif	./sounds/cs/ratingcs/nif_5.wav	-1	cs1	labor1	2015-06-15_16.22.38.328000	7
48	63	5.464000	Jessunif	./sounds/cs/ratingcs/nif_19.wav	1	target	labor1	2015-06-15_16.22.38.328000	8
48	25	4.989000	Moteelup	./sounds/cs/ratingcs/lup_19.wav	-1	cs1	labor1	2015-06-15_16.22.38.328000	9
48	55	3.664000	Istennif	./sounds/cs/ratingcs/nif_20.wav	1	target	labor1	2015-06-15_16.22.38.328000	10
48	76	3.521000	Kissunif	./sounds/cs/ratingcs/nif_16.wav	1	target	labor1	2015-06-15_16.22.38.328000	11
48	74	3.321000	Teppanif	./sounds/cs/ratingcs/nif_15.wav	1	cs1	labor1	2015-06-15_16.22.38.328000	12
48	68	5.060000	Dattonif	./sounds/cs/ratingcs/nif_12.wav	1	cs3	labor1	2015-06-15_16.22.38.328000	13
48	64	6.135000	Zallunif	./sounds/cs/ratingcs/nif_4.wav	-1	target	labor1	2015-06-15_16.22.38.328000	14
48	68	4.055000	Eskannif	./sounds/cs/ratingcs/nif_2.wav	-1	target	labor1	2015-06-15_16.22.38.328000	15
48	56	6.379000	Sesetol	./sounds/cs/ratingcs/tol_9.wav	1	cs1	labor1	2015-06-15_16.22.38.328000	16
48	67	3.588000	Issanif	./sounds/cs/ratingcs/nif_9.wav	1	target	labor1	2015-06-15_16.22.38.328000	17
48	56	7.311000	Rustutol	./sounds/cs/ratingcs/tol_15.wav	-1	cs3	labor1	2015-06-15_16.22.38.328000	18
48	24	2.956000	Mofotol	./sounds/cs/ratingcs/tol_11.wav	1	cs2	labor1	2015-06-15_16.22.38.328000	19
48	6	4.766000	Tareelup	./sounds/cs/ratingcs/lup_8.wav	1	cs3	labor1	2015-06-15_16.22.38.328000	20
48	6	2.975000	Maasolup	./sounds/cs/ratingcs/lup_1.wav	-1	cs3	labor1	2015-06-15_16.22.38.328000	21
48	55	2.546000	Befetol	./sounds/cs/ratingcs/tol_14.wav	-1	cs2	labor1	2015-06-15_16.22.38.328000	22
