ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp	TrialNr
86	70	6.949000	Kennunif	./sounds/cs/ratingcs/nif_5.wav	1	cs3	labor2	2015-06-19_11.03.03.205000	1
86	71	3.172000	Dullanif	./sounds/cs/ratingcs/nif_14.wav	-1	target	labor2	2015-06-19_11.03.03.205000	2
86	30	5.891000	Nanatol	./sounds/cs/ratingcs/tol_3.wav	1	cs3	labor2	2015-06-19_11.03.03.205000	3
86	30	4.413000	Mateelup	./sounds/cs/ratingcs/lup_9.wav	-1	cs3	labor2	2015-06-19_11.03.03.205000	4
86	41	2.911000	Toleelup	./sounds/cs/ratingcs/lup_5.wav	1	cs1	labor2	2015-06-19_11.03.03.205000	5
86	62	4.782000	Piditol	./sounds/cs/ratingcs/tol_13.wav	-1	cs1	labor2	2015-06-19_11.03.03.205000	6
86	69	3.861000	Zallunif	./sounds/cs/ratingcs/nif_4.wav	1	target	labor2	2015-06-19_11.03.03.205000	7
86	39	3.447000	Spanatol	./sounds/cs/ratingcs/tol_16.wav	-1	cs3	labor2	2015-06-19_11.03.03.205000	8
86	78	2.351000	Kissunif	./sounds/cs/ratingcs/nif_16.wav	-1	cs1	labor2	2015-06-19_11.03.03.205000	9
86	79	2.227000	Dimmanif	./sounds/cs/ratingcs/nif_11.wav	-1	target	labor2	2015-06-19_11.03.03.205000	10
86	42	2.086000	Reretol	./sounds/cs/ratingcs/tol_2.wav	1	cs2	labor2	2015-06-19_11.03.03.205000	11
86	75	5.086000	Bollanif	./sounds/cs/ratingcs/nif_8.wav	-1	cs2	labor2	2015-06-19_11.03.03.205000	12
86	38	5.654000	Eskannif	./sounds/cs/ratingcs/nif_2.wav	1	target	labor2	2015-06-19_11.03.03.205000	13
86	63	2.651000	Istennif	./sounds/cs/ratingcs/nif_20.wav	1	target	labor2	2015-06-19_11.03.03.205000	14
86	34	3.795000	Rellnif	./sounds/cs/ratingcs/nif_6.wav	1	target	labor2	2015-06-19_11.03.03.205000	15
86	79	3.460000	Tesoolup	./sounds/cs/ratingcs/lup_13.wav	1	cs2	labor2	2015-06-19_11.03.03.205000	16
86	40	3.638000	Saartelup	./sounds/cs/ratingcs/lup_10.wav	-1	cs2	labor2	2015-06-19_11.03.03.205000	17
86	90	3.394000	Teppanif	./sounds/cs/ratingcs/nif_15.wav	-1	target	labor2	2015-06-19_11.03.03.205000	18
86	74	2.186000	Kullonif	./sounds/cs/ratingcs/nif_17.wav	-1	target	labor2	2015-06-19_11.03.03.205000	19
86	69	3.497000	Lebbunif	./sounds/cs/ratingcs/nif_3.wav	1	cs1	labor2	2015-06-19_11.03.03.205000	20
86	58	2.506000	Kattanif	./sounds/cs/ratingcs/nif_13.wav	1	target	labor2	2015-06-19_11.03.03.205000	21
86	43	2.161000	Issanif	./sounds/cs/ratingcs/nif_9.wav	-1	target	labor2	2015-06-19_11.03.03.205000	22
