ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp	TrialNr
36	50	8.852000	Eskannif	./sounds/cs/ratingcs/nif_2.wav	1	cs3	labor1	2015-06-10_13.38.17.815000	1
36	70	16.243000	Kullonif	./sounds/cs/ratingcs/nif_17.wav	1	target	labor1	2015-06-10_13.38.17.815000	2
36	30	4.449000	Baakelup	./sounds/cs/ratingcs/lup_20.wav	-1	cs2	labor1	2015-06-10_13.38.17.815000	3
36	30	4.253000	Tareelup	./sounds/cs/ratingcs/lup_8.wav	1	cs2	labor1	2015-06-10_13.38.17.815000	4
36	67	6.160000	Jessunif	./sounds/cs/ratingcs/nif_19.wav	-1	target	labor1	2015-06-10_13.38.17.815000	5
36	24	3.605000	Reretol	./sounds/cs/ratingcs/tol_2.wav	1	cs2	labor1	2015-06-10_13.38.17.815000	6
36	59	2.825000	Issanif	./sounds/cs/ratingcs/nif_9.wav	1	target	labor1	2015-06-10_13.38.17.815000	7
36	55	2.324000	Bollanif	./sounds/cs/ratingcs/nif_8.wav	1	cs1	labor1	2015-06-10_13.38.17.815000	8
36	64	3.607000	Cellanif	./sounds/cs/ratingcs/nif_1.wav	-1	target	labor1	2015-06-10_13.38.17.815000	9
36	34	2.712000	Eekalup	./sounds/cs/ratingcs/lup_11.wav	-1	cs3	labor1	2015-06-10_13.38.17.815000	10
36	45	3.036000	Lalatol	./sounds/cs/ratingcs/tol_1.wav	-1	cs1	labor1	2015-06-10_13.38.17.815000	11
36	47	4.745000	Nomotol	./sounds/cs/ratingcs/tol_7.wav	1	cs3	labor1	2015-06-10_13.38.17.815000	12
36	68	2.797000	Kissunif	./sounds/cs/ratingcs/nif_16.wav	-1	target	labor1	2015-06-10_13.38.17.815000	13
36	66	2.769000	Lebbunif	./sounds/cs/ratingcs/nif_3.wav	1	target	labor1	2015-06-10_13.38.17.815000	14
36	77	2.774000	Zallunif	./sounds/cs/ratingcs/nif_4.wav	1	target	labor1	2015-06-10_13.38.17.815000	15
36	42	5.275000	Dilitol	./sounds/cs/ratingcs/tol_8.wav	-1	cs3	labor1	2015-06-10_13.38.17.815000	16
36	80	3.660000	Dimmanif	./sounds/cs/ratingcs/nif_11.wav	1	target	labor1	2015-06-10_13.38.17.815000	17
36	72	3.840000	Missonif	./sounds/cs/ratingcs/nif_10.wav	-1	target	labor1	2015-06-10_13.38.17.815000	18
36	65	2.789000	Kattanif	./sounds/cs/ratingcs/nif_13.wav	-1	cs2	labor1	2015-06-10_13.38.17.815000	19
36	15	5.895000	Tesoolup	./sounds/cs/ratingcs/lup_13.wav	1	cs1	labor1	2015-06-10_13.38.17.815000	20
36	52	2.821000	Istennif	./sounds/cs/ratingcs/nif_20.wav	-1	cs1	labor1	2015-06-10_13.38.17.815000	21
36	50	3.651000	Rellnif	./sounds/cs/ratingcs/nif_6.wav	-1	target	labor1	2015-06-10_13.38.17.815000	22
