ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp	TrialNr
69	20	18.776000	Zallunif	./sounds/cs/ratingcs/nif_4.wav	-1	cs3	labor8	2015-06-18_09.05.57.872000	1
69	20	9.789000	Kissunif	./sounds/cs/ratingcs/nif_16.wav	1	cs2	labor8	2015-06-18_09.05.57.872000	2
69	60	5.995000	Falatol	./sounds/cs/ratingcs/tol_4.wav	1	cs3	labor8	2015-06-18_09.05.57.872000	3
69	60	4.014000	Mofotol	./sounds/cs/ratingcs/tol_11.wav	-1	target	labor8	2015-06-18_09.05.57.872000	4
69	60	4.556000	Piditol	./sounds/cs/ratingcs/tol_13.wav	-1	cs1	labor8	2015-06-18_09.05.57.872000	5
69	50	8.110000	Hulutol	./sounds/cs/ratingcs/tol_20.wav	1	target	labor8	2015-06-18_09.05.57.872000	6
69	60	5.556000	Dilitol	./sounds/cs/ratingcs/tol_8.wav	1	target	labor8	2015-06-18_09.05.57.872000	7
69	60	2.340000	Deretol	./sounds/cs/ratingcs/tol_12.wav	-1	target	labor8	2015-06-18_09.05.57.872000	8
69	60	4.578000	Renetol	./sounds/cs/ratingcs/tol_5.wav	-1	target	labor8	2015-06-18_09.05.57.872000	9
69	50	4.393000	Befetol	./sounds/cs/ratingcs/tol_14.wav	-1	target	labor8	2015-06-18_09.05.57.872000	10
69	41	21.084000	Maasolup	./sounds/cs/ratingcs/lup_1.wav	-1	cs3	labor8	2015-06-18_09.05.57.872000	11
69	40	4.207000	Kaneelup	./sounds/cs/ratingcs/lup_7.wav	1	cs2	labor8	2015-06-18_09.05.57.872000	12
69	59	4.587000	Cocotol	./sounds/cs/ratingcs/tol_10.wav	1	target	labor8	2015-06-18_09.05.57.872000	13
69	37	2.260000	Kennunif	./sounds/cs/ratingcs/nif_5.wav	-1	cs1	labor8	2015-06-18_09.05.57.872000	14
69	39	8.404000	Teppanif	./sounds/cs/ratingcs/nif_15.wav	1	cs3	labor8	2015-06-18_09.05.57.872000	15
69	41	10.208000	Tesoolup	./sounds/cs/ratingcs/lup_13.wav	-1	cs2	labor8	2015-06-18_09.05.57.872000	16
69	59	5.780000	Dakatol	./sounds/cs/ratingcs/tol_6.wav	1	target	labor8	2015-06-18_09.05.57.872000	17
69	50	3.086000	Siritol	./sounds/cs/ratingcs/tol_18.wav	-1	cs2	labor8	2015-06-18_09.05.57.872000	18
69	42	2.886000	Lalatol	./sounds/cs/ratingcs/tol_1.wav	1	cs1	labor8	2015-06-18_09.05.57.872000	19
69	58	4.550000	Nanatol	./sounds/cs/ratingcs/tol_3.wav	-1	target	labor8	2015-06-18_09.05.57.872000	20
69	34	4.890000	Toleelup	./sounds/cs/ratingcs/lup_5.wav	1	cs1	labor8	2015-06-18_09.05.57.872000	21
69	64	5.753000	Spanatol	./sounds/cs/ratingcs/tol_16.wav	1	target	labor8	2015-06-18_09.05.57.872000	22
