ParticipantNumber	SpaceYesNo	LeftOrder	RightOrder	IsTarget	Valence	Interval	timeStamp
72	0	neu_l_5.wav	r_tol_13.wav	1	1	1	2015-06-18_10.30.24.350000
72	0	neu_l_26.wav	pos_r_42.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	l_nif_20.wav	neu_r_8.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_70.wav	neg_r_46.wav	0	-1	1	2015-06-18_10.30.24.350000
72	0	neu_l_17.wav	neu_r_24.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_63.wav	r_tol_13.wav	1	1	1	2015-06-18_10.30.24.350000
72	0	neu_l_42.wav	pos_r_23.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_52.wav	r_tol_6.wav	1	1	1	2015-06-18_10.30.24.350000
72	0	neu_l_60.wav	pos_r_21.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	l_nif_10.wav	neu_r_39.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_70.wav	pos_r_19.wav	0	1	1	2015-06-18_10.30.24.350000
72	0	neu_l_57.wav	neu_r_8.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_6.wav	r_tol_6.wav	1	1	1	2015-06-18_10.30.24.350000
72	0	neu_l_35.wav	pos_r_7.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	l_nif_13.wav	neu_r_8.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_62.wav	r_tol_16.wav	1	-1	1	2015-06-18_10.30.24.350000
72	0	neu_l_19.wav	neg_r_64.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_58.wav	r_tol_16.wav	1	-1	1	2015-06-18_10.30.24.350000
72	0	neu_l_70.wav	neg_r_5.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_68.wav	pos_r_5.wav	0	1	1	2015-06-18_10.30.24.350000
72	0	neu_l_72.wav	neu_r_38.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	l_nif_8.wav	neu_r_37.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	l_nif_2.wav	neu_r_78.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	l_nif_15.wav	neu_r_59.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_46.wav	r_tol_17.wav	1	-1	1	2015-06-18_10.30.24.350000
72	0	neu_l_66.wav	neg_r_76.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_13.wav	neg_r_72.wav	0	-1	1	2015-06-18_10.30.24.350000
72	0	neu_l_51.wav	neu_r_37.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_58.wav	r_tol_17.wav	1	-1	1	2015-06-18_10.30.24.350000
72	0	neu_l_34.wav	neg_r_7.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_5.wav	r_tol_13.wav	1	1	1	2015-06-18_10.30.24.350000
72	0	neu_l_26.wav	pos_r_42.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	l_nif_20.wav	neu_r_8.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_70.wav	neg_r_46.wav	0	-1	1	2015-06-18_10.30.24.350000
72	0	neu_l_17.wav	neu_r_24.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_63.wav	r_tol_13.wav	1	1	1	2015-06-18_10.30.24.350000
72	0	neu_l_42.wav	pos_r_23.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_52.wav	r_tol_6.wav	1	1	1	2015-06-18_10.30.24.350000
72	1	neu_l_60.wav	pos_r_21.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	l_nif_10.wav	neu_r_39.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_70.wav	pos_r_19.wav	0	1	1	2015-06-18_10.30.24.350000
72	0	neu_l_57.wav	neu_r_8.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_6.wav	r_tol_6.wav	1	1	1	2015-06-18_10.30.24.350000
72	1	neu_l_35.wav	pos_r_7.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	l_nif_13.wav	neu_r_8.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_62.wav	r_tol_16.wav	1	-1	1	2015-06-18_10.30.24.350000
72	1	neu_l_19.wav	neg_r_64.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_58.wav	r_tol_16.wav	1	-1	1	2015-06-18_10.30.24.350000
72	1	neu_l_70.wav	neg_r_5.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_68.wav	pos_r_5.wav	0	1	1	2015-06-18_10.30.24.350000
72	0	neu_l_72.wav	neu_r_38.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	l_nif_8.wav	neu_r_37.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	l_nif_2.wav	neu_r_78.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	l_nif_15.wav	neu_r_59.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_46.wav	r_tol_17.wav	1	-1	1	2015-06-18_10.30.24.350000
72	1	neu_l_66.wav	neg_r_76.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_13.wav	neg_r_72.wav	0	-1	1	2015-06-18_10.30.24.350000
72	0	neu_l_51.wav	neu_r_37.wav	0	0	0	2015-06-18_10.30.24.350000
72	0	neu_l_58.wav	r_tol_17.wav	1	-1	1	2015-06-18_10.30.24.350000
72	1	neu_l_34.wav	neg_r_7.wav	0	0	0	2015-06-18_10.30.24.350000
