ParticipantNumber	SpaceYesNo	IsTarget	LeftOrder	RightOrder	timeStamp	TrialNr	Interval
72	0	0	neu_l_56.wav	neu_r_18.wav	2015-06-18_10.30.24.350000	69	0
72	0	1	l_tol_14.wav	neu_r_80.wav	2015-06-18_10.30.24.350000	70	1
72	0	0	l_lup_10.wav	neg_r_42.wav	2015-06-18_10.30.24.350000	71	0
72	0	0	l_nif_9.wav	neu_r_8.wav	2015-06-18_10.30.24.350000	72	0
72	0	0	neu_l_6.wav	neg_r_73.wav	2015-06-18_10.30.24.350000	73	1
72	0	0	neu_l_31.wav	neu_r_2.wav	2015-06-18_10.30.24.350000	74	0
72	0	1	neu_l_31.wav	r_tol_1.wav	2015-06-18_10.30.24.350000	75	1
72	1	0	neu_l_56.wav	neg_r_21.wav	2015-06-18_10.30.24.350000	76	0
72	0	0	neu_l_34.wav	neu_r_3.wav	2015-06-18_10.30.24.350000	77	0
72	0	1	neu_l_13.wav	r_tol_11.wav	2015-06-18_10.30.24.350000	78	1
72	1	0	neu_l_34.wav	neg_r_75.wav	2015-06-18_10.30.24.350000	79	0
72	0	0	neu_l_51.wav	neu_r_2.wav	2015-06-18_10.30.24.350000	80	0
72	0	1	neu_l_6.wav	r_tol_3.wav	2015-06-18_10.30.24.350000	81	1
72	1	0	neu_l_60.wav	pos_r_64.wav	2015-06-18_10.30.24.350000	82	0
72	0	0	neu_l_57.wav	neu_r_67.wav	2015-06-18_10.30.24.350000	83	0
72	0	0	neu_l_57.wav	neg_r_25.wav	2015-06-18_10.30.24.350000	84	1
72	0	0	neu_l_31.wav	neu_r_79.wav	2015-06-18_10.30.24.350000	85	0
72	0	1	neu_l_14.wav	r_tol_4.wav	2015-06-18_10.30.24.350000	86	1
72	1	0	neu_l_72.wav	neg_r_23.wav	2015-06-18_10.30.24.350000	87	0
72	0	0	neu_l_12.wav	neu_r_79.wav	2015-06-18_10.30.24.350000	88	0
72	0	0	neu_l_51.wav	pos_r_25.wav	2015-06-18_10.30.24.350000	89	1
