ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp	TrialNr
27	71	8.177000	Mateelup	./sounds/cs/ratingcs/lup_9.wav	-1	cs2	labor2	2015-06-10_10.03.19.356000	1
27	70	2.777000	Deekalup	./sounds/cs/ratingcs/lup_14.wav	-1	target	labor2	2015-06-10_10.03.19.356000	2
27	31	4.197000	Teppanif	./sounds/cs/ratingcs/nif_15.wav	-1	cs3	labor2	2015-06-10_10.03.19.356000	3
27	78	3.099000	Daanalup	./sounds/cs/ratingcs/lup_12.wav	1	target	labor2	2015-06-10_10.03.19.356000	4
27	28	3.130000	Jessunif	./sounds/cs/ratingcs/nif_19.wav	-1	cs2	labor2	2015-06-10_10.03.19.356000	5
27	27	3.467000	Befetol	./sounds/cs/ratingcs/tol_14.wav	-1	cs1	labor2	2015-06-10_10.03.19.356000	6
27	82	2.763000	Toleelup	./sounds/cs/ratingcs/lup_5.wav	-1	target	labor2	2015-06-10_10.03.19.356000	7
27	82	2.240000	Daanilup	./sounds/cs/ratingcs/lup_17.wav	-1	cs1	labor2	2015-06-10_10.03.19.356000	8
27	86	1.876000	Kaneelup	./sounds/cs/ratingcs/lup_7.wav	1	cs1	labor2	2015-06-10_10.03.19.356000	9
27	92	3.342000	Neenolup	./sounds/cs/ratingcs/lup_2.wav	-1	target	labor2	2015-06-10_10.03.19.356000	10
27	92	2.629000	Reetolup	./sounds/cs/ratingcs/lup_15.wav	1	target	labor2	2015-06-10_10.03.19.356000	11
27	19	2.509000	Istennif	./sounds/cs/ratingcs/nif_20.wav	1	cs1	labor2	2015-06-10_10.03.19.356000	12
27	90	5.226000	Unoolup	./sounds/cs/ratingcs/lup_18.wav	1	target	labor2	2015-06-10_10.03.19.356000	13
27	74	3.403000	Wenaalup	./sounds/cs/ratingcs/lup_4.wav	1	cs3	labor2	2015-06-10_10.03.19.356000	14
27	5	3.816000	Dakatol	./sounds/cs/ratingcs/tol_6.wav	1	cs3	labor2	2015-06-10_10.03.19.356000	15
27	82	3.332000	Saartelup	./sounds/cs/ratingcs/lup_10.wav	1	target	labor2	2015-06-10_10.03.19.356000	16
27	15	2.294000	Lebbunif	./sounds/cs/ratingcs/nif_3.wav	1	cs2	labor2	2015-06-10_10.03.19.356000	17
27	96	3.324000	Omeelup	./sounds/cs/ratingcs/lup_3.wav	-1	target	labor2	2015-06-10_10.03.19.356000	18
27	3	2.718000	Lalatol	./sounds/cs/ratingcs/tol_1.wav	-1	cs3	labor2	2015-06-10_10.03.19.356000	19
27	9	2.145000	Deretol	./sounds/cs/ratingcs/tol_12.wav	1	cs2	labor2	2015-06-10_10.03.19.356000	20
27	90	3.268000	Maasolup	./sounds/cs/ratingcs/lup_1.wav	-1	target	labor2	2015-06-10_10.03.19.356000	21
27	92	2.308000	Eekalup	./sounds/cs/ratingcs/lup_11.wav	1	target	labor2	2015-06-10_10.03.19.356000	22
