ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp	TrialNr
82	65	7.730000	Kissunif	./sounds/cs/ratingcs/nif_16.wav	-1	target	labor5	2015-06-18_13.58.58.899000	1
82	51	4.136000	Kullonif	./sounds/cs/ratingcs/nif_17.wav	1	cs3	labor5	2015-06-18_13.58.58.899000	2
82	52	3.996000	Kennunif	./sounds/cs/ratingcs/nif_5.wav	1	target	labor5	2015-06-18_13.58.58.899000	3
82	48	2.831000	Istennif	./sounds/cs/ratingcs/nif_20.wav	1	target	labor5	2015-06-18_13.58.58.899000	4
82	40	2.860000	Bollanif	./sounds/cs/ratingcs/nif_8.wav	-1	cs1	labor5	2015-06-18_13.58.58.899000	5
82	51	6.040000	Omeelup	./sounds/cs/ratingcs/lup_3.wav	-1	cs3	labor5	2015-06-18_13.58.58.899000	6
82	39	2.661000	Dattonif	./sounds/cs/ratingcs/nif_12.wav	1	target	labor5	2015-06-18_13.58.58.899000	7
82	40	2.042000	Dullanif	./sounds/cs/ratingcs/nif_14.wav	1	cs1	labor5	2015-06-18_13.58.58.899000	8
82	58	3.696000	Befetol	./sounds/cs/ratingcs/tol_14.wav	-1	cs3	labor5	2015-06-18_13.58.58.899000	9
82	60	3.522000	Eskannif	./sounds/cs/ratingcs/nif_2.wav	-1	target	labor5	2015-06-18_13.58.58.899000	10
82	40	8.310000	Mateelup	./sounds/cs/ratingcs/lup_9.wav	1	cs3	labor5	2015-06-18_13.58.58.899000	11
82	50	2.964000	Issanif	./sounds/cs/ratingcs/nif_9.wav	-1	target	labor5	2015-06-18_13.58.58.899000	12
82	53	2.719000	Waneelup	./sounds/cs/ratingcs/lup_6.wav	1	cs2	labor5	2015-06-18_13.58.58.899000	13
82	30	5.305000	Nenetol	./sounds/cs/ratingcs/tol_19.wav	1	cs1	labor5	2015-06-18_13.58.58.899000	14
82	40	3.564000	Maasolup	./sounds/cs/ratingcs/lup_1.wav	-1	cs1	labor5	2015-06-18_13.58.58.899000	15
82	54	3.508000	Piditol	./sounds/cs/ratingcs/tol_13.wav	1	cs2	labor5	2015-06-18_13.58.58.899000	16
82	51	2.539000	Teppanif	./sounds/cs/ratingcs/nif_15.wav	-1	cs2	labor5	2015-06-18_13.58.58.899000	17
82	50	2.418000	Rellnif	./sounds/cs/ratingcs/nif_6.wav	1	target	labor5	2015-06-18_13.58.58.899000	18
82	59	2.599000	Jessunif	./sounds/cs/ratingcs/nif_19.wav	-1	target	labor5	2015-06-18_13.58.58.899000	19
82	70	2.381000	Dimmanif	./sounds/cs/ratingcs/nif_11.wav	1	target	labor5	2015-06-18_13.58.58.899000	20
82	51	3.399000	Zackatol	./sounds/cs/ratingcs/tol_17.wav	-1	cs2	labor5	2015-06-18_13.58.58.899000	21
82	57	2.708000	Cellanif	./sounds/cs/ratingcs/nif_1.wav	-1	target	labor5	2015-06-18_13.58.58.899000	22
