ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp	TrialNr
88	61	10.878000	Kissunif	./sounds/cs/ratingcs/nif_16.wav	1	cs1	labor5	2015-06-19_13.08.53.160000	1
88	55	5.183000	Kaneelup	./sounds/cs/ratingcs/lup_7.wav	1	target	labor5	2015-06-19_13.08.53.160000	2
88	53	3.422000	Eekalup	./sounds/cs/ratingcs/lup_11.wav	-1	target	labor5	2015-06-19_13.08.53.160000	3
88	51	6.158000	Rellnif	./sounds/cs/ratingcs/nif_6.wav	1	cs2	labor5	2015-06-19_13.08.53.160000	4
88	56	4.903000	Moteelup	./sounds/cs/ratingcs/lup_19.wav	1	cs1	labor5	2015-06-19_13.08.53.160000	5
88	57	3.384000	Rustutol	./sounds/cs/ratingcs/tol_15.wav	1	cs3	labor5	2015-06-19_13.08.53.160000	6
88	57	4.435000	Dakatol	./sounds/cs/ratingcs/tol_6.wav	-1	cs3	labor5	2015-06-19_13.08.53.160000	7
88	53	5.578000	Deekalup	./sounds/cs/ratingcs/lup_14.wav	-1	target	labor5	2015-06-19_13.08.53.160000	8
88	61	3.544000	Dimmanif	./sounds/cs/ratingcs/nif_11.wav	-1	cs3	labor5	2015-06-19_13.08.53.160000	9
88	60	4.133000	Unoolup	./sounds/cs/ratingcs/lup_18.wav	-1	cs2	labor5	2015-06-19_13.08.53.160000	10
88	53	4.623000	Tesoolup	./sounds/cs/ratingcs/lup_13.wav	1	cs3	labor5	2015-06-19_13.08.53.160000	11
88	64	3.110000	Zackatol	./sounds/cs/ratingcs/tol_17.wav	-1	cs1	labor5	2015-06-19_13.08.53.160000	12
88	59	2.375000	Maasolup	./sounds/cs/ratingcs/lup_1.wav	-1	target	labor5	2015-06-19_13.08.53.160000	13
88	57	2.823000	Koleelup	./sounds/cs/ratingcs/lup_16.wav	-1	target	labor5	2015-06-19_13.08.53.160000	14
88	53	2.406000	Neenolup	./sounds/cs/ratingcs/lup_2.wav	-1	cs1	labor5	2015-06-19_13.08.53.160000	15
88	53	2.740000	Daanilup	./sounds/cs/ratingcs/lup_17.wav	1	target	labor5	2015-06-19_13.08.53.160000	16
88	56	2.704000	Tareelup	./sounds/cs/ratingcs/lup_8.wav	1	target	labor5	2015-06-19_13.08.53.160000	17
88	54	2.888000	Wenaalup	./sounds/cs/ratingcs/lup_4.wav	-1	target	labor5	2015-06-19_13.08.53.160000	18
88	57	2.597000	Missonif	./sounds/cs/ratingcs/nif_10.wav	-1	cs2	labor5	2015-06-19_13.08.53.160000	19
88	58	2.670000	Saartelup	./sounds/cs/ratingcs/lup_10.wav	1	target	labor5	2015-06-19_13.08.53.160000	20
88	55	2.681000	Toleelup	./sounds/cs/ratingcs/lup_5.wav	1	target	labor5	2015-06-19_13.08.53.160000	21
88	54	3.524000	Hulutol	./sounds/cs/ratingcs/tol_20.wav	1	cs2	labor5	2015-06-19_13.08.53.160000	22
