ParticipantNumber	SpaceYesNo	LeftOrder	RightOrder	IsTarget	Valence	Interval	timeStamp
13	0	neu_l_71.wav	r_nif_18.wav	1	1	1	2015-06-03_15.44.16.200000
13	0	neu_l_31.wav	pos_r_46.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	l_tol_15.wav	neu_r_34.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	l_tol_12.wav	neu_r_42.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_15.wav	r_nif_2.wav	1	-1	1	2015-06-03_15.44.16.200000
13	0	neu_l_22.wav	neg_r_24.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_70.wav	r_nif_3.wav	1	1	1	2015-06-03_15.44.16.200000
13	0	neu_l_23.wav	pos_r_14.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	l_tol_7.wav	neu_r_41.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_28.wav	neg_r_15.wav	0	-1	1	2015-06-03_15.44.16.200000
13	0	neu_l_28.wav	neu_r_41.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_26.wav	pos_r_16.wav	0	1	1	2015-06-03_15.44.16.200000
13	0	neu_l_75.wav	neu_r_45.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_55.wav	r_nif_2.wav	1	-1	1	2015-06-03_15.44.16.200000
13	0	neu_l_20.wav	neg_r_34.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_71.wav	pos_r_60.wav	0	1	1	2015-06-03_15.44.16.200000
13	0	neu_l_66.wav	neu_r_47.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	l_tol_20.wav	neu_r_41.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_31.wav	r_nif_5.wav	1	-1	1	2015-06-03_15.44.16.200000
13	0	neu_l_53.wav	neg_r_22.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	l_tol_9.wav	neu_r_61.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_76.wav	r_nif_5.wav	1	-1	1	2015-06-03_15.44.16.200000
13	0	neu_l_20.wav	neg_r_17.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_75.wav	neg_r_58.wav	0	-1	1	2015-06-03_15.44.16.200000
13	0	neu_l_43.wav	neu_r_44.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_27.wav	r_nif_18.wav	1	1	1	2015-06-03_15.44.16.200000
13	0	neu_l_19.wav	pos_r_63.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_3.wav	r_nif_3.wav	1	1	1	2015-06-03_15.44.16.200000
13	0	neu_l_21.wav	pos_r_2.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	l_tol_1.wav	neu_r_38.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_71.wav	r_nif_18.wav	1	1	1	2015-06-03_15.44.16.200000
13	1	neu_l_31.wav	pos_r_46.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	l_tol_15.wav	neu_r_34.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	l_tol_12.wav	neu_r_42.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_15.wav	r_nif_2.wav	1	-1	1	2015-06-03_15.44.16.200000
13	1	neu_l_22.wav	neg_r_24.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_70.wav	r_nif_3.wav	1	1	1	2015-06-03_15.44.16.200000
13	1	neu_l_23.wav	pos_r_14.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	l_tol_7.wav	neu_r_41.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_28.wav	neg_r_15.wav	0	-1	1	2015-06-03_15.44.16.200000
13	0	neu_l_28.wav	neu_r_41.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_26.wav	pos_r_16.wav	0	1	1	2015-06-03_15.44.16.200000
13	0	neu_l_75.wav	neu_r_45.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_55.wav	r_nif_2.wav	1	-1	1	2015-06-03_15.44.16.200000
13	1	neu_l_20.wav	neg_r_34.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_71.wav	pos_r_60.wav	0	1	1	2015-06-03_15.44.16.200000
13	0	neu_l_66.wav	neu_r_47.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	l_tol_20.wav	neu_r_41.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_31.wav	r_nif_5.wav	1	-1	1	2015-06-03_15.44.16.200000
13	1	neu_l_53.wav	neg_r_22.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	l_tol_9.wav	neu_r_61.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_76.wav	r_nif_5.wav	1	-1	1	2015-06-03_15.44.16.200000
13	1	neu_l_20.wav	neg_r_17.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_75.wav	neg_r_58.wav	0	-1	1	2015-06-03_15.44.16.200000
13	0	neu_l_43.wav	neu_r_44.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_27.wav	r_nif_18.wav	1	1	1	2015-06-03_15.44.16.200000
13	1	neu_l_19.wav	pos_r_63.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	neu_l_3.wav	r_nif_3.wav	1	1	1	2015-06-03_15.44.16.200000
13	1	neu_l_21.wav	pos_r_2.wav	0	0	0	2015-06-03_15.44.16.200000
13	0	l_tol_1.wav	neu_r_38.wav	0	0	0	2015-06-03_15.44.16.200000
