ParticipantNumber	SpaceYesNo	IsTarget	LeftOrder	RightOrder	timeStamp	TrialNr	Interval
21	0	1	neu_l_54.wav	r_tol_13.wav	2015-06-09_08.58.24.340000	1	1
21	1	0	neu_l_4.wav	pos_r_35.wav	2015-06-09_08.58.24.340000	2	0
21	0	0	neu_l_74.wav	neu_r_37.wav	2015-06-09_08.58.24.340000	3	0
21	0	1	neu_l_45.wav	r_tol_16.wav	2015-06-09_08.58.24.340000	4	1
21	1	0	neu_l_10.wav	pos_r_36.wav	2015-06-09_08.58.24.340000	5	0
21	0	0	neu_l_51.wav	neu_r_67.wav	2015-06-09_08.58.24.340000	6	0
21	0	1	neu_l_8.wav	r_tol_19.wav	2015-06-09_08.58.24.340000	7	1
21	1	0	neu_l_78.wav	pos_r_62.wav	2015-06-09_08.58.24.340000	8	0
21	0	0	neu_l_2.wav	neu_r_44.wav	2015-06-09_08.58.24.340000	9	0
21	0	0	neu_l_22.wav	pos_r_32.wav	2015-06-09_08.58.24.340000	10	1
21	0	0	neu_l_70.wav	neu_r_19.wav	2015-06-09_08.58.24.340000	11	0
21	0	0	neu_l_30.wav	neg_r_80.wav	2015-06-09_08.58.24.340000	12	1
21	0	0	neu_l_7.wav	neu_r_56.wav	2015-06-09_08.58.24.340000	13	0
21	0	1	l_tol_7.wav	neu_r_55.wav	2015-06-09_08.58.24.340000	14	1
21	0	0	l_nif_11.wav	neg_r_61.wav	2015-06-09_08.58.24.340000	15	0
21	0	0	l_lup_14.wav	neu_r_37.wav	2015-06-09_08.58.24.340000	16	0
21	0	0	neu_l_70.wav	pos_r_57.wav	2015-06-09_08.58.24.340000	17	1
21	0	0	neu_l_63.wav	neu_r_60.wav	2015-06-09_08.58.24.340000	18	0
21	0	1	l_tol_14.wav	neu_r_68.wav	2015-06-09_08.58.24.340000	19	1
21	0	0	l_nif_12.wav	pos_r_38.wav	2015-06-09_08.58.24.340000	20	0
21	0	0	l_lup_18.wav	neu_r_46.wav	2015-06-09_08.58.24.340000	21	0
21	0	1	neu_l_20.wav	r_tol_18.wav	2015-06-09_08.58.24.340000	22	1
21	1	0	neu_l_8.wav	neg_r_37.wav	2015-06-09_08.58.24.340000	23	0
21	0	0	neu_l_47.wav	neu_r_24.wav	2015-06-09_08.58.24.340000	24	0
21	0	0	neu_l_10.wav	neg_r_52.wav	2015-06-09_08.58.24.340000	25	1
21	0	0	neu_l_53.wav	neu_r_50.wav	2015-06-09_08.58.24.340000	26	0
21	0	1	neu_l_33.wav	r_tol_1.wav	2015-06-09_08.58.24.340000	27	1
21	1	0	neu_l_5.wav	neg_r_21.wav	2015-06-09_08.58.24.340000	28	0
21	0	0	neu_l_25.wav	neu_r_79.wav	2015-06-09_08.58.24.340000	29	0
21	0	1	l_tol_17.wav	neu_r_79.wav	2015-06-09_08.58.24.340000	30	1
21	0	0	l_nif_3.wav	neg_r_67.wav	2015-06-09_08.58.24.340000	31	0
21	0	0	l_lup_5.wav	neu_r_50.wav	2015-06-09_08.58.24.340000	32	0
21	0	0	neu_l_15.wav	pos_r_6.wav	2015-06-09_08.58.24.340000	33	1
21	1	0	neu_l_72.wav	neu_r_67.wav	2015-06-09_08.58.24.340000	34	0
21	0	1	l_tol_5.wav	neu_r_56.wav	2015-06-09_08.58.24.340000	35	1
21	0	0	l_nif_10.wav	pos_r_28.wav	2015-06-09_08.58.24.340000	36	0
21	0	0	l_lup_4.wav	neu_r_24.wav	2015-06-09_08.58.24.340000	37	0
21	0	1	neu_l_65.wav	r_tol_1.wav	2015-06-09_08.58.24.340000	38	1
21	1	0	neu_l_75.wav	neg_r_42.wav	2015-06-09_08.58.24.340000	39	0
21	0	0	neu_l_43.wav	neu_r_44.wav	2015-06-09_08.58.24.340000	40	0
21	0	1	neu_l_11.wav	r_tol_11.wav	2015-06-09_08.58.24.340000	41	1
21	1	0	neu_l_22.wav	neg_r_16.wav	2015-06-09_08.58.24.340000	42	0
21	0	0	neu_l_2.wav	neu_r_21.wav	2015-06-09_08.58.24.340000	43	0
21	0	0	neu_l_80.wav	neg_r_19.wav	2015-06-09_08.58.24.340000	44	1
21	0	0	neu_l_18.wav	neu_r_21.wav	2015-06-09_08.58.24.340000	45	0
21	0	1	l_tol_5.wav	neu_r_27.wav	2015-06-09_08.58.24.340000	46	1
21	0	0	l_nif_10.wav	pos_r_22.wav	2015-06-09_08.58.24.340000	47	0
21	0	0	l_lup_4.wav	neu_r_46.wav	2015-06-09_08.58.24.340000	48	0
21	0	1	l_tol_17.wav	neu_r_61.wav	2015-06-09_08.58.24.340000	49	1
21	0	0	l_nif_3.wav	neg_r_71.wav	2015-06-09_08.58.24.340000	50	0
21	0	0	l_lup_5.wav	neu_r_44.wav	2015-06-09_08.58.24.340000	51	0
21	0	1	neu_l_20.wav	r_tol_9.wav	2015-06-09_08.58.24.340000	52	1
21	1	0	neu_l_52.wav	pos_r_74.wav	2015-06-09_08.58.24.340000	53	0
21	0	0	neu_l_39.wav	neu_r_55.wav	2015-06-09_08.58.24.340000	54	0
21	0	1	l_tol_7.wav	neu_r_14.wav	2015-06-09_08.58.24.340000	55	1
21	0	0	l_nif_11.wav	neg_r_79.wav	2015-06-09_08.58.24.340000	56	0
21	0	0	l_lup_14.wav	neu_r_3.wav	2015-06-09_08.58.24.340000	57	0
21	0	1	neu_l_62.wav	r_tol_1.wav	2015-06-09_08.58.24.340000	58	1
21	1	0	neu_l_25.wav	neg_r_78.wav	2015-06-09_08.58.24.340000	59	0
21	0	0	neu_l_8.wav	neu_r_69.wav	2015-06-09_08.58.24.340000	60	0
21	0	1	neu_l_40.wav	r_tol_3.wav	2015-06-09_08.58.24.340000	61	1
21	1	0	neu_l_31.wav	pos_r_34.wav	2015-06-09_08.58.24.340000	62	0
21	0	0	neu_l_74.wav	neu_r_24.wav	2015-06-09_08.58.24.340000	63	0
21	0	1	neu_l_9.wav	r_tol_12.wav	2015-06-09_08.58.24.340000	64	1
21	1	0	neu_l_54.wav	neg_r_57.wav	2015-06-09_08.58.24.340000	65	0
21	0	0	neu_l_43.wav	neu_r_41.wav	2015-06-09_08.58.24.340000	66	0
21	0	0	neu_l_45.wav	pos_r_3.wav	2015-06-09_08.58.24.340000	67	1
21	0	0	neu_l_10.wav	neu_r_14.wav	2015-06-09_08.58.24.340000	68	0
21	0	1	neu_l_49.wav	r_tol_19.wav	2015-06-09_08.58.24.340000	69	1
21	1	0	neu_l_43.wav	pos_r_58.wav	2015-06-09_08.58.24.340000	70	0
21	0	0	neu_l_11.wav	neu_r_67.wav	2015-06-09_08.58.24.340000	71	0
21	0	0	neu_l_17.wav	pos_r_45.wav	2015-06-09_08.58.24.340000	72	1
21	0	0	neu_l_11.wav	neu_r_41.wav	2015-06-09_08.58.24.340000	73	0
21	0	1	neu_l_25.wav	r_tol_18.wav	2015-06-09_08.58.24.340000	74	1
21	1	0	neu_l_70.wav	neg_r_3.wav	2015-06-09_08.58.24.340000	75	0
21	0	0	neu_l_28.wav	neu_r_50.wav	2015-06-09_08.58.24.340000	76	0
21	0	1	neu_l_17.wav	r_tol_3.wav	2015-06-09_08.58.24.340000	77	1
21	1	0	neu_l_26.wav	pos_r_4.wav	2015-06-09_08.58.24.340000	78	0
21	0	0	neu_l_11.wav	neu_r_61.wav	2015-06-09_08.58.24.340000	79	0
21	0	0	neu_l_80.wav	neg_r_28.wav	2015-06-09_08.58.24.340000	80	1
21	0	0	neu_l_16.wav	neu_r_21.wav	2015-06-09_08.58.24.340000	81	0
21	0	1	neu_l_35.wav	r_tol_13.wav	2015-06-09_08.58.24.340000	82	1
21	1	0	neu_l_43.wav	pos_r_9.wav	2015-06-09_08.58.24.340000	83	0
21	0	0	neu_l_10.wav	neu_r_41.wav	2015-06-09_08.58.24.340000	84	0
21	0	1	l_tol_17.wav	neu_r_59.wav	2015-06-09_08.58.24.340000	85	1
21	0	0	l_nif_3.wav	neg_r_70.wav	2015-06-09_08.58.24.340000	86	0
21	0	0	l_lup_5.wav	neu_r_68.wav	2015-06-09_08.58.24.340000	87	0
21	0	0	neu_l_16.wav	neg_r_66.wav	2015-06-09_08.58.24.340000	88	1
21	0	0	neu_l_2.wav	neu_r_1.wav	2015-06-09_08.58.24.340000	89	0
21	0	1	neu_l_5.wav	r_tol_13.wav	2015-06-09_08.58.24.340000	90	1
21	1	0	neu_l_26.wav	pos_r_51.wav	2015-06-09_08.58.24.340000	91	0
21	0	0	neu_l_17.wav	neu_r_68.wav	2015-06-09_08.58.24.340000	92	0
21	0	1	neu_l_71.wav	r_tol_13.wav	2015-06-09_08.58.24.340000	93	1
21	1	0	neu_l_45.wav	pos_r_35.wav	2015-06-09_08.58.24.340000	94	0
21	0	0	neu_l_20.wav	neu_r_23.wav	2015-06-09_08.58.24.340000	95	0
21	0	1	neu_l_18.wav	r_tol_19.wav	2015-06-09_08.58.24.340000	96	1
21	1	0	neu_l_73.wav	pos_r_59.wav	2015-06-09_08.58.24.340000	97	0
21	0	0	neu_l_5.wav	neu_r_19.wav	2015-06-09_08.58.24.340000	98	0
21	0	0	neu_l_47.wav	neg_r_54.wav	2015-06-09_08.58.24.340000	99	1
21	0	0	neu_l_54.wav	neu_r_1.wav	2015-06-09_08.58.24.340000	100	0
21	0	1	neu_l_42.wav	r_tol_3.wav	2015-06-09_08.58.24.340000	101	1
21	1	0	neu_l_78.wav	pos_r_64.wav	2015-06-09_08.58.24.340000	102	0
21	0	0	neu_l_51.wav	neu_r_66.wav	2015-06-09_08.58.24.340000	103	0
21	0	1	neu_l_20.wav	r_tol_13.wav	2015-06-09_08.58.24.340000	104	1
21	1	0	neu_l_77.wav	pos_r_75.wav	2015-06-09_08.58.24.340000	105	0
21	0	0	neu_l_47.wav	neu_r_59.wav	2015-06-09_08.58.24.340000	106	0
