ParticipantNumber	SpaceYesNo	IsTarget	LeftOrder	RightOrder	timeStamp	TrialNr	Interval
52	0	1	neu_l_18.wav	r_nif_18.wav	2015-06-16_12.03.36.485000	1	1
52	1	0	neu_l_69.wav	neg_r_72.wav	2015-06-16_12.03.36.485000	2	0
52	0	0	neu_l_8.wav	neu_r_12.wav	2015-06-16_12.03.36.485000	3	0
52	0	0	neu_l_38.wav	pos_r_70.wav	2015-06-16_12.03.36.485000	4	1
52	0	0	neu_l_63.wav	neu_r_13.wav	2015-06-16_12.03.36.485000	5	0
52	0	1	l_nif_10.wav	neu_r_76.wav	2015-06-16_12.03.36.485000	6	1
52	0	0	l_tol_14.wav	neg_r_50.wav	2015-06-16_12.03.36.485000	7	0
52	0	0	l_lup_14.wav	neu_r_49.wav	2015-06-16_12.03.36.485000	8	0
52	0	1	neu_l_6.wav	r_nif_15.wav	2015-06-16_12.03.36.485000	9	1
52	1	0	neu_l_22.wav	pos_r_78.wav	2015-06-16_12.03.36.485000	10	0
52	0	0	neu_l_68.wav	neu_r_66.wav	2015-06-16_12.03.36.485000	11	0
52	0	1	neu_l_46.wav	r_nif_20.wav	2015-06-16_12.03.36.485000	12	1
52	1	0	neu_l_59.wav	neg_r_55.wav	2015-06-16_12.03.36.485000	13	0
52	0	0	neu_l_63.wav	neu_r_66.wav	2015-06-16_12.03.36.485000	14	0
52	0	1	l_nif_3.wav	neu_r_72.wav	2015-06-16_12.03.36.485000	15	1
52	0	0	l_tol_20.wav	pos_r_59.wav	2015-06-16_12.03.36.485000	16	0
52	0	0	l_lup_7.wav	neu_r_31.wav	2015-06-16_12.03.36.485000	17	0
52	0	1	neu_l_23.wav	r_nif_20.wav	2015-06-16_12.03.36.485000	18	1
52	1	0	neu_l_18.wav	neg_r_40.wav	2015-06-16_12.03.36.485000	19	0
52	0	0	neu_l_29.wav	neu_r_20.wav	2015-06-16_12.03.36.485000	20	0
52	0	1	l_nif_10.wav	neu_r_49.wav	2015-06-16_12.03.36.485000	21	1
52	0	0	l_tol_14.wav	neg_r_48.wav	2015-06-16_12.03.36.485000	22	0
52	0	0	l_lup_14.wav	neu_r_9.wav	2015-06-16_12.03.36.485000	23	0
52	0	1	neu_l_68.wav	r_nif_8.wav	2015-06-16_12.03.36.485000	24	1
52	1	0	neu_l_60.wav	neg_r_41.wav	2015-06-16_12.03.36.485000	25	0
52	0	0	neu_l_62.wav	neu_r_51.wav	2015-06-16_12.03.36.485000	26	0
52	0	1	l_nif_3.wav	neu_r_71.wav	2015-06-16_12.03.36.485000	27	1
52	0	0	l_tol_20.wav	pos_r_67.wav	2015-06-16_12.03.36.485000	28	0
52	0	0	l_lup_7.wav	neu_r_79.wav	2015-06-16_12.03.36.485000	29	0
52	0	0	neu_l_69.wav	pos_r_10.wav	2015-06-16_12.03.36.485000	30	1
52	0	0	neu_l_41.wav	neu_r_16.wav	2015-06-16_12.03.36.485000	31	0
52	0	0	neu_l_80.wav	pos_r_8.wav	2015-06-16_12.03.36.485000	32	1
52	0	0	neu_l_40.wav	neu_r_66.wav	2015-06-16_12.03.36.485000	33	0
52	0	0	neu_l_14.wav	neg_r_43.wav	2015-06-16_12.03.36.485000	34	1
52	0	0	neu_l_73.wav	neu_r_31.wav	2015-06-16_12.03.36.485000	35	0
52	0	0	neu_l_8.wav	neg_r_17.wav	2015-06-16_12.03.36.485000	36	1
52	0	0	neu_l_6.wav	neu_r_26.wav	2015-06-16_12.03.36.485000	37	0
52	1	1	neu_l_60.wav	r_nif_8.wav	2015-06-16_12.03.36.485000	38	1
52	0	0	neu_l_43.wav	neg_r_26.wav	2015-06-16_12.03.36.485000	39	0
52	0	0	neu_l_80.wav	neu_r_72.wav	2015-06-16_12.03.36.485000	40	0
52	0	1	neu_l_37.wav	r_nif_20.wav	2015-06-16_12.03.36.485000	41	1
52	1	0	neu_l_10.wav	neg_r_44.wav	2015-06-16_12.03.36.485000	42	0
52	0	0	neu_l_5.wav	neu_r_21.wav	2015-06-16_12.03.36.485000	43	0
52	0	1	l_nif_10.wav	neu_r_34.wav	2015-06-16_12.03.36.485000	44	1
52	0	0	l_tol_14.wav	neg_r_49.wav	2015-06-16_12.03.36.485000	45	0
52	0	0	l_lup_14.wav	neu_r_28.wav	2015-06-16_12.03.36.485000	46	0
52	0	1	neu_l_38.wav	r_nif_7.wav	2015-06-16_12.03.36.485000	47	1
52	1	0	neu_l_27.wav	pos_r_47.wav	2015-06-16_12.03.36.485000	48	0
