ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp	TrialNr
67	21	4.933000	Kennunif	./sounds/cs/ratingcs/nif_5.wav	-1	target	labor1	2015-06-17_16.21.32.549000	1
67	1	3.717000	Hulutol	./sounds/cs/ratingcs/tol_20.wav	1	cs1	labor1	2015-06-17_16.21.32.549000	2
67	10	4.710000	Eekalup	./sounds/cs/ratingcs/lup_11.wav	1	cs3	labor1	2015-06-17_16.21.32.549000	3
67	60	3.680000	Lebbunif	./sounds/cs/ratingcs/nif_3.wav	1	target	labor1	2015-06-17_16.21.32.549000	4
67	10	2.450000	Sesetol	./sounds/cs/ratingcs/tol_9.wav	1	cs2	labor1	2015-06-17_16.21.32.549000	5
67	59	3.205000	Eskannif	./sounds/cs/ratingcs/nif_2.wav	1	target	labor1	2015-06-17_16.21.32.549000	6
67	41	4.120000	Rellnif	./sounds/cs/ratingcs/nif_6.wav	-1	target	labor1	2015-06-17_16.21.32.549000	7
67	11	2.241000	Lalatol	./sounds/cs/ratingcs/tol_1.wav	-1	cs3	labor1	2015-06-17_16.21.32.549000	8
67	59	2.331000	Dattonif	./sounds/cs/ratingcs/nif_12.wav	-1	target	labor1	2015-06-17_16.21.32.549000	9
67	59	1.994000	Missonif	./sounds/cs/ratingcs/nif_10.wav	1	cs3	labor1	2015-06-17_16.21.32.549000	10
67	57	3.249000	Kullonif	./sounds/cs/ratingcs/nif_17.wav	-1	cs1	labor1	2015-06-17_16.21.32.549000	11
67	58	1.936000	Allanif	./sounds/cs/ratingcs/nif_7.wav	1	cs1	labor1	2015-06-17_16.21.32.549000	12
67	54	3.413000	Istennif	./sounds/cs/ratingcs/nif_20.wav	1	target	labor1	2015-06-17_16.21.32.549000	13
67	12	2.805000	Waneelup	./sounds/cs/ratingcs/lup_6.wav	-1	cs1	labor1	2015-06-17_16.21.32.549000	14
67	61	2.295000	Dimmanif	./sounds/cs/ratingcs/nif_11.wav	-1	cs2	labor1	2015-06-17_16.21.32.549000	15
67	60	2.056000	Kissunif	./sounds/cs/ratingcs/nif_16.wav	1	target	labor1	2015-06-17_16.21.32.549000	16
67	11	2.190000	Falatol	./sounds/cs/ratingcs/tol_4.wav	-1	cs2	labor1	2015-06-17_16.21.32.549000	17
67	12	2.119000	Tareelup	./sounds/cs/ratingcs/lup_8.wav	1	cs2	labor1	2015-06-17_16.21.32.549000	18
67	3	2.094000	Deekalup	./sounds/cs/ratingcs/lup_14.wav	-1	cs3	labor1	2015-06-17_16.21.32.549000	19
67	63	1.761000	Lussanif	./sounds/cs/ratingcs/nif_18.wav	1	target	labor1	2015-06-17_16.21.32.549000	20
67	59	1.705000	Cellanif	./sounds/cs/ratingcs/nif_1.wav	-1	target	labor1	2015-06-17_16.21.32.549000	21
67	51	1.663000	Kattanif	./sounds/cs/ratingcs/nif_13.wav	-1	target	labor1	2015-06-17_16.21.32.549000	22
