ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp	TrialNr
52	50	11.315000	Rellnif	./sounds/cs/ratingcs/nif_6.wav	-1	target	labor2	2015-06-16_12.03.36.485000	1
52	88	4.896000	Kaneelup	./sounds/cs/ratingcs/lup_7.wav	1	cs2	labor2	2015-06-16_12.03.36.485000	2
52	27	3.103000	Allanif	./sounds/cs/ratingcs/nif_7.wav	1	target	labor2	2015-06-16_12.03.36.485000	3
52	45	3.286000	Lebbunif	./sounds/cs/ratingcs/nif_3.wav	-1	cs1	labor2	2015-06-16_12.03.36.485000	4
52	91	6.457000	Deekalup	./sounds/cs/ratingcs/lup_14.wav	-1	cs3	labor2	2015-06-16_12.03.36.485000	5
52	24	2.837000	Dullanif	./sounds/cs/ratingcs/nif_14.wav	1	target	labor2	2015-06-16_12.03.36.485000	6
52	26	3.045000	Kullonif	./sounds/cs/ratingcs/nif_17.wav	1	target	labor2	2015-06-16_12.03.36.485000	7
52	53	2.945000	Missonif	./sounds/cs/ratingcs/nif_10.wav	1	cs3	labor2	2015-06-16_12.03.36.485000	8
52	72	2.869000	Dakatol	./sounds/cs/ratingcs/tol_6.wav	1	cs1	labor2	2015-06-16_12.03.36.485000	9
52	43	2.623000	Wenaalup	./sounds/cs/ratingcs/lup_4.wav	-1	cs1	labor2	2015-06-16_12.03.36.485000	10
52	82	3.222000	Teppanif	./sounds/cs/ratingcs/nif_15.wav	1	target	labor2	2015-06-16_12.03.36.485000	11
52	37	3.967000	Befetol	./sounds/cs/ratingcs/tol_14.wav	-1	cs3	labor2	2015-06-16_12.03.36.485000	12
52	8	3.068000	Dimmanif	./sounds/cs/ratingcs/nif_11.wav	-1	target	labor2	2015-06-16_12.03.36.485000	13
52	27	2.507000	Istennif	./sounds/cs/ratingcs/nif_20.wav	-1	target	labor2	2015-06-16_12.03.36.485000	14
52	32	2.529000	Kattanif	./sounds/cs/ratingcs/nif_13.wav	1	cs1	labor2	2015-06-16_12.03.36.485000	15
52	17	2.299000	Zallunif	./sounds/cs/ratingcs/nif_4.wav	1	target	labor2	2015-06-16_12.03.36.485000	16
52	47	4.331000	Mofotol	./sounds/cs/ratingcs/tol_11.wav	-1	cs2	labor2	2015-06-16_12.03.36.485000	17
52	37	2.379000	Lussanif	./sounds/cs/ratingcs/nif_18.wav	-1	target	labor2	2015-06-16_12.03.36.485000	18
52	43	2.387000	Bollanif	./sounds/cs/ratingcs/nif_8.wav	-1	target	labor2	2015-06-16_12.03.36.485000	19
52	67	1.809000	Daanilup	./sounds/cs/ratingcs/lup_17.wav	1	cs3	labor2	2015-06-16_12.03.36.485000	20
52	56	2.620000	Hulutol	./sounds/cs/ratingcs/tol_20.wav	1	cs2	labor2	2015-06-16_12.03.36.485000	21
52	27	2.102000	Kennunif	./sounds/cs/ratingcs/nif_5.wav	-1	cs2	labor2	2015-06-16_12.03.36.485000	22
