ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp	TrialNr
46	86	7.952000	Dullanif	./sounds/cs/ratingcs/nif_14.wav	1	target	labor2	2015-06-15_14.58.40.923000	1
46	14	5.759000	Nanatol	./sounds/cs/ratingcs/tol_3.wav	1	cs1	labor2	2015-06-15_14.58.40.923000	2
46	84	3.661000	Dattonif	./sounds/cs/ratingcs/nif_12.wav	1	target	labor2	2015-06-15_14.58.40.923000	3
46	11	3.488000	Lebbunif	./sounds/cs/ratingcs/nif_3.wav	-1	cs2	labor2	2015-06-15_14.58.40.923000	4
46	8	2.482000	Deekalup	./sounds/cs/ratingcs/lup_14.wav	-1	cs1	labor2	2015-06-15_14.58.40.923000	5
46	72	3.025000	Kennunif	./sounds/cs/ratingcs/nif_5.wav	-1	target	labor2	2015-06-15_14.58.40.923000	6
46	3	3.482000	Unoolup	./sounds/cs/ratingcs/lup_18.wav	1	cs3	labor2	2015-06-15_14.58.40.923000	7
46	83	3.930000	Jessunif	./sounds/cs/ratingcs/nif_19.wav	-1	target	labor2	2015-06-15_14.58.40.923000	8
46	8	2.883000	Cocotol	./sounds/cs/ratingcs/tol_10.wav	-1	cs2	labor2	2015-06-15_14.58.40.923000	9
46	81	2.102000	Kattanif	./sounds/cs/ratingcs/nif_13.wav	1	target	labor2	2015-06-15_14.58.40.923000	10
46	3	3.179000	Rustutol	./sounds/cs/ratingcs/tol_15.wav	1	cs2	labor2	2015-06-15_14.58.40.923000	11
46	9	2.344000	Eekalup	./sounds/cs/ratingcs/lup_11.wav	-1	cs3	labor2	2015-06-15_14.58.40.923000	12
46	9	2.634000	Waneelup	./sounds/cs/ratingcs/lup_6.wav	1	cs2	labor2	2015-06-15_14.58.40.923000	13
46	83	2.366000	Istennif	./sounds/cs/ratingcs/nif_20.wav	-1	cs1	labor2	2015-06-15_14.58.40.923000	14
46	82	2.501000	Zallunif	./sounds/cs/ratingcs/nif_4.wav	-1	target	labor2	2015-06-15_14.58.40.923000	15
46	82	2.653000	Dimmanif	./sounds/cs/ratingcs/nif_11.wav	1	target	labor2	2015-06-15_14.58.40.923000	16
46	79	1.880000	Bollanif	./sounds/cs/ratingcs/nif_8.wav	1	cs1	labor2	2015-06-15_14.58.40.923000	17
46	79	2.054000	Teppanif	./sounds/cs/ratingcs/nif_15.wav	1	target	labor2	2015-06-15_14.58.40.923000	18
46	80	1.903000	Cellanif	./sounds/cs/ratingcs/nif_1.wav	1	cs3	labor2	2015-06-15_14.58.40.923000	19
46	10	2.343000	Zackatol	./sounds/cs/ratingcs/tol_17.wav	-1	cs3	labor2	2015-06-15_14.58.40.923000	20
46	46	2.090000	Missonif	./sounds/cs/ratingcs/nif_10.wav	-1	target	labor2	2015-06-15_14.58.40.923000	21
46	81	1.958000	Kissunif	./sounds/cs/ratingcs/nif_16.wav	-1	target	labor2	2015-06-15_14.58.40.923000	22
