ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp	TrialNr
80	40	9.604000	Lalatol	./sounds/cs/ratingcs/tol_1.wav	-1	cs2	labor5	2015-06-18_13.12.10.749000	1
80	40	11.101000	Rellnif	./sounds/cs/ratingcs/nif_6.wav	1	cs1	labor5	2015-06-18_13.12.10.749000	2
80	40	7.190000	Omeelup	./sounds/cs/ratingcs/lup_3.wav	-1	cs1	labor5	2015-06-18_13.12.10.749000	3
80	40	5.371000	Deekalup	./sounds/cs/ratingcs/lup_14.wav	1	cs2	labor5	2015-06-18_13.12.10.749000	4
80	31	5.803000	Kullonif	./sounds/cs/ratingcs/nif_17.wav	1	target	labor5	2015-06-18_13.12.10.749000	5
80	36	4.368000	Kattanif	./sounds/cs/ratingcs/nif_13.wav	-1	cs2	labor5	2015-06-18_13.12.10.749000	6
80	48	3.683000	Lussanif	./sounds/cs/ratingcs/nif_18.wav	1	target	labor5	2015-06-18_13.12.10.749000	7
80	29	3.111000	Zallunif	./sounds/cs/ratingcs/nif_4.wav	1	cs3	labor5	2015-06-18_13.12.10.749000	8
80	28	2.395000	Daanilup	./sounds/cs/ratingcs/lup_17.wav	-1	cs3	labor5	2015-06-18_13.12.10.749000	9
80	36	3.499000	Cocotol	./sounds/cs/ratingcs/tol_10.wav	-1	cs3	labor5	2015-06-18_13.12.10.749000	10
80	36	2.741000	Piditol	./sounds/cs/ratingcs/tol_13.wav	1	cs1	labor5	2015-06-18_13.12.10.749000	11
80	31	3.312000	Dattonif	./sounds/cs/ratingcs/nif_12.wav	1	target	labor5	2015-06-18_13.12.10.749000	12
80	31	2.325000	Dullanif	./sounds/cs/ratingcs/nif_14.wav	-1	target	labor5	2015-06-18_13.12.10.749000	13
80	27	3.793000	Renetol	./sounds/cs/ratingcs/tol_5.wav	1	cs2	labor5	2015-06-18_13.12.10.749000	14
80	49	4.647000	Missonif	./sounds/cs/ratingcs/nif_10.wav	1	target	labor5	2015-06-18_13.12.10.749000	15
80	34	3.535000	Dimmanif	./sounds/cs/ratingcs/nif_11.wav	-1	target	labor5	2015-06-18_13.12.10.749000	16
80	39	2.760000	Jessunif	./sounds/cs/ratingcs/nif_19.wav	-1	target	labor5	2015-06-18_13.12.10.749000	17
80	45	4.543000	Teppanif	./sounds/cs/ratingcs/nif_15.wav	-1	cs1	labor5	2015-06-18_13.12.10.749000	18
80	18	6.541000	Koleelup	./sounds/cs/ratingcs/lup_16.wav	1	cs3	labor5	2015-06-18_13.12.10.749000	19
80	36	2.826000	Allanif	./sounds/cs/ratingcs/nif_7.wav	-1	target	labor5	2015-06-18_13.12.10.749000	20
80	38	4.827000	Istennif	./sounds/cs/ratingcs/nif_20.wav	1	target	labor5	2015-06-18_13.12.10.749000	21
80	39	3.934000	Lebbunif	./sounds/cs/ratingcs/nif_3.wav	-1	target	labor5	2015-06-18_13.12.10.749000	22
