ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp	TrialNr
2	60	7.333000	Reretol	./sounds/cs/ratingcs/tol_2.wav	1	target	labor2	2015-06-03_10.31.03.576000	1
2	81	5.511000	Lalatol	./sounds/cs/ratingcs/tol_1.wav	0	cs1	labor2	2015-06-03_10.31.03.576000	2
2	79	4.848000	Nanatol	./sounds/cs/ratingcs/tol_3.wav	0	cs1	labor2	2015-06-03_10.31.03.576000	3
2	59	5.882000	Cocotol	./sounds/cs/ratingcs/tol_10.wav	-1	target	labor2	2015-06-03_10.31.03.576000	4
2	91	5.766000	Dilitol	./sounds/cs/ratingcs/tol_8.wav	1	target	labor2	2015-06-03_10.31.03.576000	5
2	38	5.769000	Dattonif	./sounds/cs/ratingcs/nif_12.wav	0	cs3	labor2	2015-06-03_10.31.03.576000	6
2	49	5.258000	Nenetol	./sounds/cs/ratingcs/tol_19.wav	1	target	labor2	2015-06-03_10.31.03.576000	7
2	51	3.538000	Dakatol	./sounds/cs/ratingcs/tol_6.wav	-1	target	labor2	2015-06-03_10.31.03.576000	8
2	42	5.307000	Rustutol	./sounds/cs/ratingcs/tol_15.wav	1	target	labor2	2015-06-03_10.31.03.576000	9
2	41	3.729000	Renetol	./sounds/cs/ratingcs/tol_5.wav	-1	target	labor2	2015-06-03_10.31.03.576000	10
2	29	4.516000	Siritol	./sounds/cs/ratingcs/tol_18.wav	1	target	labor2	2015-06-03_10.31.03.576000	11
2	50	11.801000	Jessunif	./sounds/cs/ratingcs/nif_19.wav	0	cs3	labor2	2015-06-03_10.31.03.576000	12
2	50	6.704000	Teppanif	./sounds/cs/ratingcs/nif_15.wav	0	cs3	labor2	2015-06-03_10.31.03.576000	13
2	29	4.885000	Deretol	./sounds/cs/ratingcs/tol_12.wav	0	cs1	labor2	2015-06-03_10.31.03.576000	14
2	59	9.293000	Nanatol	./sounds/cs/ratingcs/tol_3.wav	1	cs1	labor2	2015-06-03_10.31.03.576000	15
2	78	6.722000	Hulutol	./sounds/cs/ratingcs/tol_20.wav	-1	target	labor2	2015-06-03_10.31.03.576000	16
2	31	3.588000	Deretol	./sounds/cs/ratingcs/tol_12.wav	1	cs1	labor2	2015-06-03_10.31.03.576000	17
2	80	9.875000	Lalatol	./sounds/cs/ratingcs/tol_1.wav	-1	cs1	labor2	2015-06-03_10.31.03.576000	18
2	20	3.185000	Zackatol	./sounds/cs/ratingcs/tol_17.wav	-1	target	labor2	2015-06-03_10.31.03.576000	19
2	59	5.111000	Dimmanif	./sounds/cs/ratingcs/nif_11.wav	0	cs3	labor2	2015-06-03_10.31.03.576000	20
2	70	2.760000	Nomotol	./sounds/cs/ratingcs/tol_7.wav	-1	cs1	labor2	2015-06-03_10.31.03.576000	21
2	70	2.581000	Nomotol	./sounds/cs/ratingcs/tol_7.wav	0	cs1	labor2	2015-06-03_10.31.03.576000	22
