ParticipantNumber	SpaceYesNo	IsTarget	LeftOrder	RightOrder	timeStamp	TrialNr	Interval
18	0	1	neu_l_10.wav	r_nif_13.wav	2015-06-08_11.05.46.039000	1	1
18	1	0	neu_l_5.wav	pos_r_47.wav	2015-06-08_11.05.46.039000	2	0
18	0	0	neu_l_47.wav	neu_r_63.wav	2015-06-08_11.05.46.039000	3	0
18	0	0	neu_l_20.wav	pos_r_76.wav	2015-06-08_11.05.46.039000	4	1
18	0	0	neu_l_10.wav	neu_r_15.wav	2015-06-08_11.05.46.039000	5	0
18	0	1	l_nif_5.wav	neu_r_41.wav	2015-06-08_11.05.46.039000	6	1
18	0	0	l_tol_12.wav	pos_r_25.wav	2015-06-08_11.05.46.039000	7	0
18	0	0	l_lup_11.wav	neu_r_68.wav	2015-06-08_11.05.46.039000	8	0
18	0	1	neu_l_61.wav	r_nif_8.wav	2015-06-08_11.05.46.039000	9	1
18	1	0	neu_l_57.wav	neg_r_13.wav	2015-06-08_11.05.46.039000	10	0
18	0	0	neu_l_34.wav	neu_r_40.wav	2015-06-08_11.05.46.039000	11	0
18	0	1	neu_l_61.wav	r_nif_1.wav	2015-06-08_11.05.46.039000	12	1
18	1	0	neu_l_52.wav	pos_r_79.wav	2015-06-08_11.05.46.039000	13	0
18	0	0	neu_l_32.wav	neu_r_33.wav	2015-06-08_11.05.46.039000	14	0
18	0	0	neu_l_5.wav	neg_r_11.wav	2015-06-08_11.05.46.039000	15	1
18	0	0	neu_l_16.wav	neu_r_70.wav	2015-06-08_11.05.46.039000	16	0
18	0	1	neu_l_43.wav	r_nif_1.wav	2015-06-08_11.05.46.039000	17	1
18	1	0	neu_l_4.wav	pos_r_20.wav	2015-06-08_11.05.46.039000	18	0
18	0	0	neu_l_12.wav	neu_r_17.wav	2015-06-08_11.05.46.039000	19	0
18	0	1	neu_l_57.wav	r_nif_13.wav	2015-06-08_11.05.46.039000	20	1
18	1	0	neu_l_75.wav	pos_r_21.wav	2015-06-08_11.05.46.039000	21	0
18	0	0	neu_l_65.wav	neu_r_79.wav	2015-06-08_11.05.46.039000	22	0
18	0	1	l_nif_4.wav	neu_r_42.wav	2015-06-08_11.05.46.039000	23	1
18	0	0	l_tol_8.wav	neg_r_49.wav	2015-06-08_11.05.46.039000	24	0
18	0	0	l_lup_12.wav	neu_r_70.wav	2015-06-08_11.05.46.039000	25	0
18	0	1	l_nif_10.wav	neu_r_68.wav	2015-06-08_11.05.46.039000	26	1
18	0	0	l_tol_19.wav	neg_r_29.wav	2015-06-08_11.05.46.039000	27	0
18	0	0	l_lup_7.wav	neu_r_62.wav	2015-06-08_11.05.46.039000	28	0
18	0	1	l_nif_10.wav	neu_r_40.wav	2015-06-08_11.05.46.039000	29	1
18	0	0	l_tol_19.wav	neg_r_75.wav	2015-06-08_11.05.46.039000	30	0
18	0	0	l_lup_7.wav	neu_r_36.wav	2015-06-08_11.05.46.039000	31	0
18	0	0	neu_l_37.wav	pos_r_53.wav	2015-06-08_11.05.46.039000	32	1
18	0	0	neu_l_60.wav	neu_r_14.wav	2015-06-08_11.05.46.039000	33	0
18	0	0	neu_l_13.wav	pos_r_41.wav	2015-06-08_11.05.46.039000	34	1
18	0	0	neu_l_11.wav	neu_r_63.wav	2015-06-08_11.05.46.039000	35	0
18	1	1	neu_l_60.wav	r_nif_13.wav	2015-06-08_11.05.46.039000	36	1
18	0	0	neu_l_64.wav	pos_r_68.wav	2015-06-08_11.05.46.039000	37	0
18	0	0	neu_l_51.wav	neu_r_80.wav	2015-06-08_11.05.46.039000	38	0
18	0	1	neu_l_20.wav	r_nif_17.wav	2015-06-08_11.05.46.039000	39	1
18	1	0	neu_l_26.wav	neg_r_36.wav	2015-06-08_11.05.46.039000	40	0
18	0	0	neu_l_6.wav	neu_r_40.wav	2015-06-08_11.05.46.039000	41	0
18	0	1	l_nif_10.wav	neu_r_14.wav	2015-06-08_11.05.46.039000	42	1
18	0	0	l_tol_19.wav	neg_r_5.wav	2015-06-08_11.05.46.039000	43	0
18	0	0	l_lup_7.wav	neu_r_22.wav	2015-06-08_11.05.46.039000	44	0
18	0	0	neu_l_58.wav	pos_r_20.wav	2015-06-08_11.05.46.039000	45	1
18	0	0	neu_l_55.wav	neu_r_8.wav	2015-06-08_11.05.46.039000	46	0
18	0	1	neu_l_52.wav	r_nif_8.wav	2015-06-08_11.05.46.039000	47	1
18	1	0	neu_l_5.wav	neg_r_24.wav	2015-06-08_11.05.46.039000	48	0
18	0	0	neu_l_12.wav	neu_r_56.wav	2015-06-08_11.05.46.039000	49	0
18	0	1	neu_l_66.wav	r_nif_17.wav	2015-06-08_11.05.46.039000	50	1
18	1	0	neu_l_12.wav	neg_r_22.wav	2015-06-08_11.05.46.039000	51	0
18	0	0	neu_l_5.wav	neu_r_25.wav	2015-06-08_11.05.46.039000	52	0
18	0	1	l_nif_5.wav	neu_r_40.wav	2015-06-08_11.05.46.039000	53	1
18	0	0	l_tol_12.wav	pos_r_37.wav	2015-06-08_11.05.46.039000	54	0
18	0	0	l_lup_11.wav	neu_r_72.wav	2015-06-08_11.05.46.039000	55	0
18	0	1	neu_l_37.wav	r_nif_16.wav	2015-06-08_11.05.46.039000	56	1
18	1	0	neu_l_64.wav	pos_r_41.wav	2015-06-08_11.05.46.039000	57	0
18	0	0	neu_l_11.wav	neu_r_79.wav	2015-06-08_11.05.46.039000	58	0
18	0	0	neu_l_57.wav	pos_r_77.wav	2015-06-08_11.05.46.039000	59	1
18	0	0	neu_l_11.wav	neu_r_33.wav	2015-06-08_11.05.46.039000	60	0
18	0	1	neu_l_34.wav	r_nif_13.wav	2015-06-08_11.05.46.039000	61	1
