ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
4	80	5.014000	70b.png	n30.wav	250	1	methexp32	2017-08-17_11.39.34.543000
4	112	3.796000	81b.png	p91.wav	250	2	methexp32	2017-08-17_11.39.34.543000
4	98	3.566000	20b.png	n14.wav	153	3	methexp32	2017-08-17_11.39.34.543000
4	52	3.548000	16b.png	p22.wav	153	4	methexp32	2017-08-17_11.39.34.543000
4	90	2.667000	43.png	p53.wav	250	5	methexp32	2017-08-17_11.39.34.543000
4	91	3.288000	39b.png	n40.wav	153	6	methexp32	2017-08-17_11.39.34.543000
4	70	3.648000	68b.png	p36.wav	153	7	methexp32	2017-08-17_11.39.34.543000
4	68	2.608000	98b.png	n11.wav	250	8	methexp32	2017-08-17_11.39.34.543000
