ParticipantNumber	CS	US	Length	TrialNr	maskTurnsPre	maskTurnsPost	Answer	correctAnswer	computerName	timeStamp
41	68b.png	n40.wav	250	1	270	90	68b.png	1	methexp32	2017-10-12_11.25.32.382000
41	20b.png	p36.wav	250	2	90	0	20b.png	1	methexp32	2017-10-12_11.25.32.382000
41	70b.png	p45.wav	153	3	180	270	98b.png	0	methexp32	2017-10-12_11.25.32.382000
41	39b.png	p73.wav	153	4	90	270	20b.png	0	methexp32	2017-10-12_11.25.32.382000
41	29.png	neu7.wav	170	5	180	90	29.png	1	methexp32	2017-10-12_11.25.32.382000
41	81b.png	n40.wav	250	6	180	90	81b.png	1	methexp32	2017-10-12_11.25.32.382000
41	20b.png	p22.wav	250	7	0	90	20b.png	1	methexp32	2017-10-12_11.25.32.382000
41	50.png	neu8.wav	158	8	90	0	50.png	1	methexp32	2017-10-12_11.25.32.382000
41	81b.png	n11.wav	250	9	180	0	81b.png	1	methexp32	2017-10-12_11.25.32.382000
41	98b.png	n30.wav	153	10	270	180	43.png	0	methexp32	2017-10-12_11.25.32.382000
41	50.png	neu5.wav	158	11	180	270	50.png	1	methexp32	2017-10-12_11.25.32.382000
41	81b.png	n31.wav	250	12	0	270	81b.png	1	methexp32	2017-10-12_11.25.32.382000
41	81b.png	n45.wav	250	13	180	270	81b.png	1	methexp32	2017-10-12_11.25.32.382000
41	39b.png	p45.wav	153	14	0	90	43.png	0	methexp32	2017-10-12_11.25.32.382000
41	81b.png	n46.wav	250	15	180	0	81b.png	1	methexp32	2017-10-12_11.25.32.382000
41	43.png	n50.wav	153	16	270	0	43.png	1	methexp32	2017-10-12_11.25.32.382000
41	68b.png	n31.wav	250	17	270	90	68b.png	1	methexp32	2017-10-12_11.25.32.382000
41	98b.png	n40.wav	153	18	270	0	43.png	0	methexp32	2017-10-12_11.25.32.382000
41	98b.png	n45.wav	153	19	90	180	43.png	0	methexp32	2017-10-12_11.25.32.382000
41	43.png	n31.wav	153	20	0	90	39b.png	0	methexp32	2017-10-12_11.25.32.382000
41	81b.png	n13.wav	250	21	0	270	81b.png	1	methexp32	2017-10-12_11.25.32.382000
41	98b.png	n11.wav	153	22	90	180	43.png	0	methexp32	2017-10-12_11.25.32.382000
41	70b.png	p73.wav	153	23	0	90	39b.png	0	methexp32	2017-10-12_11.25.32.382000
41	16b.png	p89.wav	250	24	180	90	16b.png	1	methexp32	2017-10-12_11.25.32.382000
41	29.png	neu8.wav	170	25	270	0	29.png	1	methexp32	2017-10-12_11.25.32.382000
41	50.png	neu7.wav	158	26	0	90	50.png	1	methexp32	2017-10-12_11.25.32.382000
41	68b.png	n14.wav	250	27	0	180	68b.png	1	methexp32	2017-10-12_11.25.32.382000
41	29.png	neu2.wav	170	28	0	180	29.png	1	methexp32	2017-10-12_11.25.32.382000
41	98b.png	n14.wav	153	29	90	180	68b.png	0	methexp32	2017-10-12_11.25.32.382000
41	70b.png	p91.wav	153	30	90	0	81b.png	0	methexp32	2017-10-12_11.25.32.382000
41	70b.png	p23.wav	153	31	90	270	81b.png	0	methexp32	2017-10-12_11.25.32.382000
41	20b.png	p45.wav	250	32	0	270	20b.png	1	methexp32	2017-10-12_11.25.32.382000
41	39b.png	p22.wav	153	33	180	0	81b.png	0	methexp32	2017-10-12_11.25.32.382000
41	68b.png	n46.wav	250	34	270	90	68b.png	1	methexp32	2017-10-12_11.25.32.382000
41	68b.png	n13.wav	250	35	0	270	68b.png	1	methexp32	2017-10-12_11.25.32.382000
41	43.png	n25.wav	153	36	180	270	81b.png	0	methexp32	2017-10-12_11.25.32.382000
41	81b.png	n14.wav	250	37	0	90	81b.png	1	methexp32	2017-10-12_11.25.32.382000
