ParticipantNumber	CS	US	Length	TrialNr	maskTurns1	maskTurns2	space	computerName	timeStamp	
8	12b.png	neu5.wav	153	1	270	90	NoSpace	methexp32	2017-08-21_10.07.54.414000	
8	14b.png	neu7.wav	153	2	90	0	NoSpace	methexp32	2017-08-21_10.07.54.414000	
8	13b.png	neu6.wav	153	3	0	90	NoSpace	methexp32	2017-08-21_10.07.54.414000	
8	29.png	neu3.wav	158	4	180	0	NoSpace	methexp32	2017-08-21_10.07.54.414000	
8	13b.png	neu9.wav	250	5	180	0	Space	methexp32	2017-08-21_10.07.54.414000	
8	14b.png	neu10.wav	250	6	90	270	NoSpace	methexp32	2017-08-21_10.07.54.414000	
8	29.png	neu2.wav	158	7	180	90	Space	methexp32	2017-08-21_10.07.54.414000	
8	12b.png	neu8.wav	250	8	0	90	NoSpace	methexp32	2017-08-21_10.07.54.414000	
8	29.png	neu4.wav	158	9	90	270	Space	methexp32	2017-08-21_10.07.54.414000	
8	29.png	neu1.wav	158	10	0	270	Space	methexp32	2017-08-21_10.07.54.414000	
