ParticipantNumber	CS	US	Length	TrialNr	maskTurns1	maskTurns2	space	computerName	timeStamp	
152	12b.png	neu8.wav	250	1	90	180	NoSpace	methexp32	2017-11-23_11.59.21.190000	
152	13b.png	neu6.wav	153	2	180	90	NoSpace	methexp32	2017-11-23_11.59.21.190000	
152	29.png	neu1.wav	158	3	180	270	Space	methexp32	2017-11-23_11.59.21.190000	
152	29.png	neu4.wav	158	4	270	180	Space	methexp32	2017-11-23_11.59.21.190000	
152	13b.png	neu9.wav	250	5	270	180	NoSpace	methexp32	2017-11-23_11.59.21.190000	
152	14b.png	neu10.wav	250	6	0	90	NoSpace	methexp32	2017-11-23_11.59.21.190000	
152	14b.png	neu7.wav	153	7	180	270	NoSpace	methexp32	2017-11-23_11.59.21.190000	
152	12b.png	neu5.wav	153	8	90	180	NoSpace	methexp32	2017-11-23_11.59.21.190000	
152	29.png	neu2.wav	158	9	0	180	Space	methexp32	2017-11-23_11.59.21.190000	
152	29.png	neu3.wav	158	10	270	180	Space	methexp32	2017-11-23_11.59.21.190000	
