ParticipantNumber	CS	US	Length	TrialNr	maskTurns1	maskTurns2	space	computerName	timeStamp	
19	12b.png	neu8.wav	250	1	180	0	NoSpace	methexp32	2017-09-15_14.02.06.294000	
19	29.png	neu4.wav	158	2	180	270	Space	methexp32	2017-09-15_14.02.06.294000	
19	29.png	neu1.wav	158	3	270	0	NoSpace	methexp32	2017-09-15_14.02.06.294000	
19	13b.png	neu9.wav	250	4	270	0	NoSpace	methexp32	2017-09-15_14.02.06.294000	
19	14b.png	neu10.wav	250	5	180	90	NoSpace	methexp32	2017-09-15_14.02.06.294000	
19	13b.png	neu6.wav	153	6	90	0	NoSpace	methexp32	2017-09-15_14.02.06.294000	
19	29.png	neu3.wav	158	7	0	90	Space	methexp32	2017-09-15_14.02.06.294000	
19	14b.png	neu7.wav	153	8	90	0	NoSpace	methexp32	2017-09-15_14.02.06.294000	
19	29.png	neu2.wav	158	9	0	90	Space	methexp32	2017-09-15_14.02.06.294000	
19	12b.png	neu5.wav	153	10	0	180	NoSpace	methexp32	2017-09-15_14.02.06.294000	
