US	CS	Time	PCName	timeStamp
neu9.wav	29.png	158	methexp32	2017-10-19_11.57.30.931000
n31.wav	70b.png	153	methexp32	2017-10-19_11.57.30.931000
p53.wav	20b.png	153	methexp32	2017-10-19_11.57.30.931000
n14.wav	70b.png	153	methexp32	2017-10-19_11.57.30.931000
n50.wav	39b.png	250	methexp32	2017-10-19_11.57.30.931000
p73.wav	20b.png	153	methexp32	2017-10-19_11.57.30.931000
p23.wav	81b.png	250	methexp32	2017-10-19_11.57.30.931000
n13.wav	39b.png	250	methexp32	2017-10-19_11.57.30.931000
p52.wav	20b.png	153	methexp32	2017-10-19_11.57.30.931000
p89.wav	81b.png	250	methexp32	2017-10-19_11.57.30.931000
n31.wav	43.png	153	methexp32	2017-10-19_11.57.30.931000
p73.wav	68b.png	153	methexp32	2017-10-19_11.57.30.931000
n11.wav	16b.png	250	methexp32	2017-10-19_11.57.30.931000
n45.wav	70b.png	153	methexp32	2017-10-19_11.57.30.931000
p45.wav	98b.png	250	methexp32	2017-10-19_11.57.30.931000
p45.wav	81b.png	250	methexp32	2017-10-19_11.57.30.931000
neu1.wav	50.png	170	methexp32	2017-10-19_11.57.30.931000
n46.wav	39b.png	250	methexp32	2017-10-19_11.57.30.931000
p89.wav	20b.png	153	methexp32	2017-10-19_11.57.30.931000
p21.wav	68b.png	153	methexp32	2017-10-19_11.57.30.931000
n50.wav	43.png	153	methexp32	2017-10-19_11.57.30.931000
neu5.wav	29.png	158	methexp32	2017-10-19_11.57.30.931000
n11.wav	39b.png	250	methexp32	2017-10-19_11.57.30.931000
n45.wav	39b.png	250	methexp32	2017-10-19_11.57.30.931000
p45.wav	68b.png	153	methexp32	2017-10-19_11.57.30.931000
n46.wav	16b.png	250	methexp32	2017-10-19_11.57.30.931000
p36.wav	20b.png	153	methexp32	2017-10-19_11.57.30.931000
p91.wav	98b.png	250	methexp32	2017-10-19_11.57.30.931000
neu3.wav	29.png	158	methexp32	2017-10-19_11.57.30.931000
p91.wav	68b.png	153	methexp32	2017-10-19_11.57.30.931000
p53.wav	68b.png	153	methexp32	2017-10-19_11.57.30.931000
n11.wav	43.png	153	methexp32	2017-10-19_11.57.30.931000
n40.wav	39b.png	250	methexp32	2017-10-19_11.57.30.931000
p89.wav	68b.png	153	methexp32	2017-10-19_11.57.30.931000
p22.wav	20b.png	153	methexp32	2017-10-19_11.57.30.931000
p89.wav	98b.png	250	methexp32	2017-10-19_11.57.30.931000
neu7.wav	29.png	158	methexp32	2017-10-19_11.57.30.931000
p21.wav	81b.png	250	methexp32	2017-10-19_11.57.30.931000
neu1.wav	29.png	158	methexp32	2017-10-19_11.57.30.931000
n30.wav	43.png	153	methexp32	2017-10-19_11.57.30.931000
neu6.wav	29.png	158	methexp32	2017-10-19_11.57.30.931000
n40.wav	16b.png	250	methexp32	2017-10-19_11.57.30.931000
neu8.wav	50.png	170	methexp32	2017-10-19_11.57.30.931000
n40.wav	43.png	153	methexp32	2017-10-19_11.57.30.931000
p73.wav	81b.png	250	methexp32	2017-10-19_11.57.30.931000
p36.wav	68b.png	153	methexp32	2017-10-19_11.57.30.931000
p53.wav	81b.png	250	methexp32	2017-10-19_11.57.30.931000
p73.wav	98b.png	250	methexp32	2017-10-19_11.57.30.931000
n31.wav	16b.png	250	methexp32	2017-10-19_11.57.30.931000
n30.wav	39b.png	250	methexp32	2017-10-19_11.57.30.931000
n14.wav	43.png	153	methexp32	2017-10-19_11.57.30.931000
